F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	4.00
mode-change-delay()	
multiplier(V)	810
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/05/04 18:10:33.335	0.00000000004901990000	2023/05/04 18:10:33.535	0.00000000000171999000	2023/05/04 18:10:33.735	0.00000000000182749000	2023/05/04 18:10:33.935	0.00000000000150499000	2023/05/04 18:10:34.135	0.00000000000150499000	2023/05/04 18:10:34.335	0.00000000000204249000	2023/05/04 18:10:34.536	0.00000000000161249000	2023/05/04 18:10:34.736	0.00000000000171999000	2023/05/04 18:10:34.936	0.00000000000150499000	2023/05/04 18:10:35.136	0.00000000000171999000
2023/05/04 18:10:35.478	0.00000000004908970000	2023/05/04 18:10:35.678	0.00000000000221987000	2023/05/04 18:10:35.878	0.00000000000209087000	2023/05/04 18:10:36.078	0.00000000000213387000	2023/05/04 18:10:36.278	0.00000000000223062000	2023/05/04 18:10:36.478	0.00000000000267137000	2023/05/04 18:10:36.679	0.00000000000161249000	2023/05/04 18:10:36.879	0.00000000000128999000	2023/05/04 18:10:37.080	0.00000000000128999000	2023/05/04 18:10:37.280	0.00000000000128999000
2023/05/04 18:10:40.623	0.00000000004837330000	2023/05/04 18:10:40.823	0.00000000000121206000	2023/05/04 18:10:41.023	0.00000000000014673700	2023/05/04 18:10:41.223	0.00000000000013276200	2023/05/04 18:10:41.423	0.00000000000020586200	2023/05/04 18:10:41.623	0.00000000000065843600	2023/05/04 18:10:42.325	0.00000000000139749000	2023/05/04 18:10:42.525	0.00000000000128999000	2023/05/04 18:10:42.725	0.00000000000107499000	2023/05/04 18:10:42.925	0.00000000000139749000
2023/05/04 18:10:46.268	0.00000000004926340000	2023/05/04 18:10:46.468	0.00000000000115390000	2023/05/04 18:10:46.668	0.00000000000008320480	2023/05/04 18:10:46.868	0.00000000000007954980	2023/05/04 18:10:47.068	0.00000000000013824400	2023/05/04 18:10:47.268	0.00000000000059554900	2023/05/04 18:10:47.970	0.00000000000171999000	2023/05/04 18:10:48.170	0.00000000000139749000	2023/05/04 18:10:48.370	0.00000000000139749000	2023/05/04 18:10:48.570	0.00000000000118249000
2023/05/04 18:10:51.913	0.00000000004925580000	2023/05/04 18:10:52.113	0.00000000000112724000	2023/05/04 18:10:52.313	0.00000000000005729740	2023/05/04 18:10:52.513	0.00000000000006193060	2023/05/04 18:10:52.713	0.00000000000013292300	2023/05/04 18:10:52.913	0.00000000000059506500	2023/05/04 18:10:53.615	0.00000000000150499000	2023/05/04 18:10:53.815	0.00000000000107499000	2023/05/04 18:10:54.015	0.00000000000150499000	2023/05/04 18:10:54.215	0.00000000000150499000
2023/05/04 18:10:57.558	0.00000000004905270000	2023/05/04 18:10:57.758	0.00000000000109972000	2023/05/04 18:10:57.958	0.00000000000000807968	2023/05/04 18:10:58.158	0.00000000000002514950	2023/05/04 18:10:58.358	0.00000000000012964400	2023/05/04 18:10:58.559	0.00000000000059600000	2023/05/04 18:10:59.260	0.00000000000139749000	2023/05/04 18:10:59.460	0.00000000000128999000	2023/05/04 18:10:59.660	0.00000000000128999000	2023/05/04 18:10:59.860	0.00000000000139749000
2023/05/04 18:11:03.203	0.00000000004956440000	2023/05/04 18:11:03.403	0.00000000000109510000	2023/05/04 18:11:03.803	0.00000000000001295910	2023/05/04 18:11:04.003	0.00000000000010570400	2023/05/04 18:11:04.204	0.00000000000059452700	2023/05/04 18:11:04.905	0.00000000000150499000	2023/05/04 18:11:05.105	0.00000000000161249000	2023/05/04 18:11:05.305	0.00000000000150499000	2023/05/04 18:11:05.505	0.00000000000182749000
2023/05/04 18:11:08.848	0.00000000004929560000	2023/05/04 18:11:09.048	0.00000000000108467000	2023/05/04 18:11:09.448	0.00000000000001082300	2023/05/04 18:11:09.648	0.00000000000009812580	2023/05/04 18:11:09.849	0.00000000000058371300	2023/05/04 18:11:10.550	0.00000000000182749000	2023/05/04 18:11:10.750	0.00000000000150499000	2023/05/04 18:11:10.950	0.00000000000139749000	2023/05/04 18:11:11.150	0.00000000000150499000
2023/05/04 18:11:14.493	0.00000000004881510000	2023/05/04 18:11:14.693	0.00000000000109907000	2023/05/04 18:11:14.893	0.00000000000000597806	2023/05/04 18:11:15.093	0.00000000000000661984	2023/05/04 18:11:15.293	0.00000000000007534660	2023/05/04 18:11:15.494	0.00000000000056650200	2023/05/04 18:11:16.195	0.00000000000128999000	2023/05/04 18:11:16.395	0.00000000000128999000	2023/05/04 18:11:16.595	0.00000000000085999800	2023/05/04 18:11:16.795	0.00000000000128999000
2023/05/04 18:11:20.138	0.00000000004838830000	2023/05/04 18:11:20.338	0.00000000000108230000	2023/05/04 18:11:20.538	0.00000000000000778728	2023/05/04 18:11:20.738	0.00000000000000091052	2023/05/04 18:11:20.938	0.00000000000002747370	2023/05/04 18:11:21.139	0.00000000000054633500	2023/05/04 18:11:21.840	0.00000000000150499000	2023/05/04 18:11:22.040	0.00000000000128999000	2023/05/04 18:11:22.240	0.00000000000128999000	2023/05/04 18:11:22.440	0.00000000000128999000
2023/05/04 18:11:25.783	0.00000000004801740000	2023/05/04 18:11:25.983	0.00000000000107564000	2023/05/04 18:11:26.183	0.00000000000001457260	2023/05/04 18:11:26.383	0.00000000000001216460	2023/05/04 18:11:26.583	0.00000000000004748370	2023/05/04 18:11:26.784	0.00000000000054382000	2023/05/04 18:11:27.485	0.00000000000150499000	2023/05/04 18:11:27.685	0.00000000000118249000	2023/05/04 18:11:27.885	0.00000000000118249000	2023/05/04 18:11:28.085	0.00000000000139749000
2023/05/04 18:11:31.428	0.00000000004752290000	2023/05/04 18:11:31.628	0.00000000000106177000	2023/05/04 18:11:31.828	0.00000000000001533160	2023/05/04 18:11:32.028	0.00000000000002076570	2023/05/04 18:11:32.228	0.00000000000004961860	2023/05/04 18:11:32.429	0.00000000000055478500	2023/05/04 18:11:33.130	0.00000000000139749000	2023/05/04 18:11:33.330	0.00000000000128999000	2023/05/04 18:11:33.530	0.00000000000118249000	2023/05/04 18:11:33.730	0.00000000000107499000
2023/05/04 18:11:37.073	0.00000000004711340000	2023/05/04 18:11:37.273	0.00000000000103683000	2023/05/04 18:11:37.673	0.00000000000001002650	2023/05/04 18:11:37.873	0.00000000000005368540	2023/05/04 18:11:38.074	0.00000000000057084500	2023/05/04 18:11:38.775	0.00000000000128999000	2023/05/04 18:11:38.975	0.00000000000107499000	2023/05/04 18:11:39.175	0.00000000000085999800	2023/05/04 18:11:39.375	0.00000000000107499000
2023/05/04 18:11:42.718	0.00000000004669840000	2023/05/04 18:11:42.918	0.00000000000100662000	2023/05/04 18:11:43.518	0.00000000000004620770	2023/05/04 18:11:43.719	0.00000000000055690200	2023/05/04 18:11:44.420	0.00000000000128999000	2023/05/04 18:11:44.620	0.00000000000096749800	2023/05/04 18:11:44.820	0.00000000000107499000	2023/05/04 18:11:45.020	0.00000000000128999000
2023/05/04 18:11:48.363	0.00000000004625770000	2023/05/04 18:11:48.563	0.00000000000099867300	2023/05/04 18:11:49.163	0.00000000000004262360	2023/05/04 18:11:49.364	0.00000000000054258300	2023/05/04 18:11:50.065	0.00000000000118249000	2023/05/04 18:11:50.265	0.00000000000085999800	2023/05/04 18:11:50.465	0.00000000000096749800	2023/05/04 18:11:50.665	0.00000000000107499000
2023/05/04 18:11:54.008	0.00000000004587390000	2023/05/04 18:11:54.208	0.00000000000101125000	2023/05/04 18:11:54.808	0.00000000000003218110	2023/05/04 18:11:55.009	0.00000000000054039000	2023/05/04 18:11:55.710	0.00000000000128999000	2023/05/04 18:11:55.910	0.00000000000107499000	2023/05/04 18:11:56.110	0.00000000000118249000	2023/05/04 18:11:56.310	0.00000000000118249000
2023/05/04 18:11:59.653	0.00000000004545890000	2023/05/04 18:11:59.853	0.00000000000100673000	2023/05/04 18:12:00.053	0.00000000000000322607	2023/05/04 18:12:00.453	0.00000000000001543480	2023/05/04 18:12:00.653	0.00000000000052339500	2023/05/04 18:12:01.355	0.00000000000171999000	2023/05/04 18:12:01.555	0.00000000000139749000	2023/05/04 18:12:01.755	0.00000000000118249000	2023/05/04 18:12:01.955	0.00000000000139749000
2023/05/04 18:12:05.298	0.00000000004502570000	2023/05/04 18:12:05.498	0.00000000000099147100	2023/05/04 18:12:05.698	0.00000000000001514560	2023/05/04 18:12:05.898	0.00000000000000767871	2023/05/04 18:12:06.098	0.00000000000004243770	2023/05/04 18:12:06.299	0.00000000000052649100	2023/05/04 18:12:07.000	0.00000000000161249000	2023/05/04 18:12:07.200	0.00000000000107499000	2023/05/04 18:12:07.400	0.00000000000139749000	2023/05/04 18:12:07.600	0.00000000000128999000
2023/05/04 18:12:10.943	0.00000000004472470000	2023/05/04 18:12:11.143	0.00000000000097362600	2023/05/04 18:12:11.343	0.00000000000000188877	2023/05/04 18:12:11.543	0.00000000000000188124	2023/05/04 18:12:11.743	0.00000000000004991960	2023/05/04 18:12:11.944	0.00000000000052892000	2023/05/04 18:12:12.645	0.00000000000128999000	2023/05/04 18:12:12.845	0.00000000000128999000	2023/05/04 18:12:13.045	0.00000000000128999000	2023/05/04 18:12:13.245	0.00000000000150499000
2023/05/04 18:12:16.588	0.00000000004433450000	2023/05/04 18:12:16.788	0.00000000000095954300	2023/05/04 18:12:17.188	0.00000000000000325939	2023/05/04 18:12:17.388	0.00000000000004834800	2023/05/04 18:12:17.589	0.00000000000054382000	2023/05/04 18:12:18.290	0.00000000000107499000	2023/05/04 18:12:18.490	0.00000000000085999800	2023/05/04 18:12:18.690	0.00000000000096749800	2023/05/04 18:12:18.890	0.00000000000107499000
2023/05/04 18:12:22.233	0.00000000004388840000	2023/05/04 18:12:22.433	0.00000000000092568100	2023/05/04 18:12:23.033	0.00000000000004167120	2023/05/04 18:12:23.234	0.00000000000053901400	2023/05/04 18:12:23.935	0.00000000000128999000	2023/05/04 18:12:24.135	0.00000000000107499000	2023/05/04 18:12:24.335	0.00000000000085999800	2023/05/04 18:12:24.535	0.00000000000118249000
2023/05/04 18:12:27.878	0.00000000004351750000	2023/05/04 18:12:28.078	0.00000000000093299100	2023/05/04 18:12:28.678	0.00000000000005201590	2023/05/04 18:12:28.879	0.00000000000054172300	2023/05/04 18:12:29.580	0.00000000000085999800	2023/05/04 18:12:29.780	0.00000000000075249800	2023/05/04 18:12:29.980	0.00000000000096749800	2023/05/04 18:12:30.180	0.00000000000085999800
2023/05/04 18:12:33.523	0.00000000004312830000	2023/05/04 18:12:33.723	0.00000000000092686300	2023/05/04 18:12:34.323	0.00000000000002858520	2023/05/04 18:12:34.524	0.00000000000051880400	2023/05/04 18:12:35.225	0.00000000000107499000	2023/05/04 18:12:35.425	0.00000000000085999800	2023/05/04 18:12:35.625	0.00000000000096749800	2023/05/04 18:12:35.825	0.00000000000107499000
2023/05/04 18:12:39.168	0.00000000004279620000	2023/05/04 18:12:39.368	0.00000000000091342600	2023/05/04 18:12:39.968	0.00000000000003788720	2023/05/04 18:12:40.169	0.00000000000051207500	2023/05/04 18:12:40.870	0.00000000000107499000	2023/05/04 18:12:41.070	0.00000000000085999800	2023/05/04 18:12:41.270	0.00000000000096749800	2023/05/04 18:12:41.470	0.00000000000085999800
2023/05/04 18:12:44.813	0.00000000004245750000	2023/05/04 18:12:45.013	0.00000000000092729300	2023/05/04 18:12:45.613	0.00000000000004554660	2023/05/04 18:12:45.814	0.00000000000051182800	2023/05/04 18:12:46.515	0.00000000000107499000	2023/05/04 18:12:46.715	0.00000000000096749800	2023/05/04 18:12:46.915	0.00000000000085999800	2023/05/04 18:12:47.115	0.00000000000085999800
2023/05/04 18:12:50.458	0.00000000004213500000	2023/05/04 18:12:50.658	0.00000000000092374600	2023/05/04 18:12:50.858	0.00000000000000370229	2023/05/04 18:12:51.058	0.00000000000000237897	2023/05/04 18:12:51.258	0.00000000000003297120	2023/05/04 18:12:51.459	0.00000000000050537800	2023/05/04 18:12:52.160	0.00000000000128999000	2023/05/04 18:12:52.360	0.00000000000128999000	2023/05/04 18:12:52.560	0.00000000000096749800	2023/05/04 18:12:52.760	0.00000000000107499000
2023/05/04 18:12:56.103	0.00000000004168780000	2023/05/04 18:12:56.303	0.00000000000090815800	2023/05/04 18:12:56.903	0.00000000000004260860	2023/05/04 18:12:57.104	0.00000000000051690200	2023/05/04 18:12:57.805	0.00000000000107499000	2023/05/04 18:12:58.005	0.00000000000118249000	2023/05/04 18:12:58.205	0.00000000000096749800	2023/05/04 18:12:58.405	0.00000000000107499000
2023/05/04 18:13:01.748	0.00000000004126430000	2023/05/04 18:13:01.948	0.00000000000087999300	2023/05/04 18:13:02.548	0.00000000000004636570	2023/05/04 18:13:02.749	0.00000000000051967500	2023/05/04 18:13:03.450	0.00000000000085999800	2023/05/04 18:13:03.650	0.00000000000085999800	2023/05/04 18:13:03.850	0.00000000000096749800	2023/05/04 18:13:04.050	0.00000000000096749800
2023/05/04 18:13:07.393	0.00000000004096330000	2023/05/04 18:13:07.593	0.00000000000066875600	2023/05/04 18:13:08.193	0.00000000000004195930	2023/05/04 18:13:08.394	0.00000000000052531900	2023/05/04 18:13:09.095	0.00000000000107499000	2023/05/04 18:13:09.295	0.00000000000096749800	2023/05/04 18:13:09.495	0.00000000000085999800	2023/05/04 18:13:09.695	0.00000000000096749800
