F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	12.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 44.0_time	mass 44.0_value
2023/03/01 16:02:44.564	0.00000000124216000000	2023/03/01 16:02:45.164	0.00000000000322500000	2023/03/01 16:02:45.765	0.00000000000247250000	2023/03/01 16:02:46.365	0.00000000003182000000	2023/03/01 16:02:46.966	0.00000000007428250000	2023/03/01 16:02:47.566	0.00000000000000000000	2023/03/01 16:02:48.167	0.00000000000483750000
2023/03/01 16:02:48.838	0.00000000122152000000	2023/03/01 16:02:49.438	0.00000000000331100000	2023/03/01 16:02:50.039	0.00000000000263375000	2023/03/01 16:02:50.639	0.00000000003100300000	2023/03/01 16:02:51.039	0.00000000007303550000	2023/03/01 16:02:51.640	0.00000000000017200000	2023/03/01 16:02:52.241	0.00000000000494500000
2023/03/01 16:02:52.912	0.00000000121668000000	2023/03/01 16:02:56.513	0.00000000000310782000	2023/03/01 16:02:57.113	0.00000000000223600000	2023/03/01 16:02:57.714	0.00000000003067720000	2023/03/01 16:02:58.314	0.00000000007201320000	2023/03/01 16:02:58.914	0.00000000000006450000	2023/03/01 16:03:00.016	0.00000000000462250000
2023/03/01 16:03:00.687	0.00000000120357000000	2023/03/01 16:03:04.288	0.00000000000311664000	2023/03/01 16:03:04.888	0.00000000000230211000	2023/03/01 16:03:05.489	0.00000000003013540000	2023/03/01 16:03:06.089	0.00000000007138430000	2023/03/01 16:03:06.689	0.00000000000009718000	2023/03/01 16:03:07.791	0.00000000000451500000
2023/03/01 16:03:08.462	0.00000000118862000000	2023/03/01 16:03:12.063	0.00000000000303999000	2023/03/01 16:03:12.663	0.00000000000221482000	2023/03/01 16:03:13.264	0.00000000003006990000	2023/03/01 16:03:13.864	0.00000000007162940000	2023/03/01 16:03:14.465	0.00000000000004909520	2023/03/01 16:03:15.566	0.00000000000516000000
2023/03/01 16:03:16.237	0.00000000118207000000	2023/03/01 16:03:19.838	0.00000000000314512000	2023/03/01 16:03:20.438	0.00000000000218268000	2023/03/01 16:03:21.039	0.00000000003017520000	2023/03/01 16:03:21.639	0.00000000007171110000	2023/03/01 16:03:22.840	0.00000000000003476870	2023/03/01 16:03:23.941	0.00000000000451500000
2023/03/01 16:03:24.612	0.00000000117185000000	2023/03/01 16:03:28.213	0.00000000000304461000	2023/03/01 16:03:28.813	0.00000000000225900000	2023/03/01 16:03:29.414	0.00000000003016550000	2023/03/01 16:03:30.014	0.00000000007184220000	2023/03/01 16:03:30.815	0.00000000000001087790	2023/03/01 16:03:31.916	0.00000000000462250000
2023/03/01 16:03:32.587	0.00000000115917000000	2023/03/01 16:03:36.188	0.00000000000325563000	2023/03/01 16:03:36.788	0.00000000000234694000	2023/03/01 16:03:37.389	0.00000000002994730000	2023/03/01 16:03:37.989	0.00000000007183900000	2023/03/01 16:03:38.589	0.00000000000001872650	2023/03/01 16:03:39.691	0.00000000000505250000
2023/03/01 16:03:40.362	0.00000000115143000000	2023/03/01 16:03:43.963	0.00000000000304214000	2023/03/01 16:03:44.563	0.00000000000230275000	2023/03/01 16:03:45.164	0.00000000003033000000	2023/03/01 16:03:45.764	0.00000000007189600000	2023/03/01 16:03:46.364	0.00000000000000478482	2023/03/01 16:03:47.466	0.00000000000494500000
2023/03/01 16:03:48.137	0.00000000114143000000	2023/03/01 16:03:51.739	0.00000000000306106000	2023/03/01 16:03:52.339	0.00000000000239252000	2023/03/01 16:03:52.940	0.00000000003017630000	2023/03/01 16:03:53.541	0.00000000007194330000	2023/03/01 16:03:54.141	0.00000000000000988570	2023/03/01 16:03:55.242	0.00000000000462250000
