F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	18.00
mode-change-delay()	
multiplier(V)	810
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/05/11 10:55:27.081	0.00000000000150500000	2023/05/11 10:55:27.281	0.00000000000000000000	2023/05/11 10:55:28.282	0.00000000000000000000
2023/05/11 10:55:29.154	0.00000000000154800000	2023/05/11 10:55:29.354	0.00000000000009675000
2023/05/11 10:55:34.228	0.00000000000153886000	2023/05/11 10:55:34.428	0.00000000000003708750	2023/05/11 10:55:34.628	0.00000000000001236250	2023/05/11 10:55:35.028	0.00000000000000806250	2023/05/11 10:55:35.228	0.00000000000009406250	2023/05/11 10:55:35.930	0.00000000000053750000	2023/05/11 10:55:36.130	0.00000000000043000000	2023/05/11 10:55:36.330	0.00000000000032250000	2023/05/11 10:55:36.530	0.00000000000032250000
2023/05/11 10:55:39.802	0.00000000000158444000	2023/05/11 10:55:40.002	0.00000000000010148000	2023/05/11 10:55:40.202	0.00000000000010836000	2023/05/11 10:55:40.402	0.00000000000003407750	2023/05/11 10:55:40.602	0.00000000000006643500	2023/05/11 10:55:40.802	0.00000000000010750000	2023/05/11 10:55:41.504	0.00000000000010750000	2023/05/11 10:55:41.904	0.00000000000010750000	2023/05/11 10:55:42.105	0.00000000000010750000
2023/05/11 10:55:45.377	0.00000000000160422000	2023/05/11 10:55:45.577	0.00000000000009163300	2023/05/11 10:55:45.777	0.00000000000006710150	2023/05/11 10:55:45.977	0.00000000000007241200	2023/05/11 10:55:46.177	0.00000000000012466700	2023/05/11 10:55:46.377	0.00000000000013062300	2023/05/11 10:55:47.079	0.00000000000010750000	2023/05/11 10:55:47.279	0.00000000000000000000	2023/05/11 10:55:47.479	0.00000000000010750000	2023/05/11 10:55:47.680	0.00000000000010750000
2023/05/11 10:55:50.952	0.00000000000158594000	2023/05/11 10:55:51.152	0.00000000000010366200	2023/05/11 10:55:51.352	0.00000000000004399970	2023/05/11 10:55:51.552	0.00000000000002681690	2023/05/11 10:55:51.752	0.00000000000009765300	2023/05/11 10:55:51.953	0.00000000000012214100	2023/05/11 10:55:52.654	0.00000000000010750000	2023/05/11 10:55:53.054	0.00000000000010750000	2023/05/11 10:55:53.255	0.00000000000000000000
2023/05/11 10:55:56.527	0.00000000000159132000	2023/05/11 10:55:56.727	0.00000000000011641100	2023/05/11 10:55:56.927	0.00000000000004356870	2023/05/11 10:55:57.127	0.00000000000003258540	2023/05/11 10:55:57.327	0.00000000000012440900	2023/05/11 10:55:57.528	0.00000000000015495000	2023/05/11 10:55:58.229	0.00000000000010750000	2023/05/11 10:55:58.629	0.00000000000000000000	2023/05/11 10:55:58.830	0.00000000000000000000
2023/05/11 10:56:02.102	0.00000000000160863000	2023/05/11 10:56:02.302	0.00000000000010161900	2023/05/11 10:56:02.502	0.00000000000004567350	2023/05/11 10:56:02.702	0.00000000000004404270	2023/05/11 10:56:02.902	0.00000000000009123530	2023/05/11 10:56:03.103	0.00000000000013410600	2023/05/11 10:56:03.804	0.00000000000010750000	2023/05/11 10:56:04.004	0.00000000000021500000	2023/05/11 10:56:04.204	0.00000000000000000000	2023/05/11 10:56:04.405	0.00000000000010750000
2023/05/11 10:56:07.677	0.00000000000158304000	2023/05/11 10:56:07.877	0.00000000000009520200	2023/05/11 10:56:08.077	0.00000000000004708820	2023/05/11 10:56:08.277	0.00000000000004439320	2023/05/11 10:56:08.477	0.00000000000014623200	2023/05/11 10:56:08.678	0.00000000000013373000	2023/05/11 10:56:09.379	0.00000000000032250000	2023/05/11 10:56:09.579	0.00000000000021500000	2023/05/11 10:56:09.779	0.00000000000021500000	2023/05/11 10:56:09.980	0.00000000000010750000
2023/05/11 10:56:13.252	0.00000000000156358000	2023/05/11 10:56:13.452	0.00000000000011453000	2023/05/11 10:56:13.652	0.00000000000003224140	2023/05/11 10:56:13.852	0.00000000000003325720	2023/05/11 10:56:14.052	0.00000000000008177520	2023/05/11 10:56:14.253	0.00000000000014359800	2023/05/11 10:56:14.954	0.00000000000010750000	2023/05/11 10:56:15.154	0.00000000000010750000	2023/05/11 10:56:15.354	0.00000000000021500000	2023/05/11 10:56:15.555	0.00000000000010750000
