F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	4.00
mode-change-delay()	
multiplier(V)	810
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/05/05 16:10:01.890	0.00000000002397250000	2023/05/05 16:10:02.090	0.00000000002257500000	2023/05/05 16:10:02.290	0.00000000002246750000	2023/05/05 16:10:02.490	0.00000000002236000000	2023/05/05 16:10:02.690	0.00000000002236000000	2023/05/05 16:10:02.890	0.00000000002236000000	2023/05/05 16:10:03.091	0.00000000002246750000	2023/05/05 16:10:03.291	0.00000000002236000000	2023/05/05 16:10:03.491	0.00000000002214500000	2023/05/05 16:10:03.692	0.00000000002246750000
2023/05/05 16:10:03.963	0.00000000003389470000	2023/05/05 16:10:04.163	0.00000000003217470000	2023/05/05 16:10:04.363	0.00000000003229300000	2023/05/05 16:10:04.563	0.00000000003266920000	2023/05/05 16:10:04.763	0.00000000003255100000	2023/05/05 16:10:04.964	0.00000000003277670000	2023/05/05 16:10:05.164	0.00000000002279000000	2023/05/05 16:10:05.364	0.00000000002268250000	2023/05/05 16:10:05.565	0.00000000002279000000	2023/05/05 16:10:05.765	0.00000000002268250000
2023/05/05 16:10:09.037	0.00000000000172752000	2023/05/05 16:10:09.237	0.00000000000004192500	2023/05/05 16:10:09.437	0.00000000000000860000	2023/05/05 16:10:09.837	0.00000000000003225000	2023/05/05 16:10:10.037	0.00000000000013975000	2023/05/05 16:10:10.739	0.00000000002279000000	2023/05/05 16:10:10.939	0.00000000002289750000	2023/05/05 16:10:11.139	0.00000000002246750000	2023/05/05 16:10:11.340	0.00000000002257500000
2023/05/05 16:10:14.612	0.00000000000181094000	2023/05/05 16:10:14.812	0.00000000000012706500	2023/05/05 16:10:15.012	0.00000000000004396750	2023/05/05 16:10:15.212	0.00000000000005858750	2023/05/05 16:10:15.412	0.00000000000011405700	2023/05/05 16:10:15.612	0.00000000000022779200	2023/05/05 16:10:16.314	0.00000000002279000000	2023/05/05 16:10:16.514	0.00000000002268250000	2023/05/05 16:10:16.714	0.00000000002236000000	2023/05/05 16:10:16.915	0.00000000002257500000
2023/05/05 16:10:20.187	0.00000000000180729000	2023/05/05 16:10:20.387	0.00000000000011577700	2023/05/05 16:10:20.587	0.00000000000008192580	2023/05/05 16:10:20.787	0.00000000000010661800	2023/05/05 16:10:20.987	0.00000000000010885400	2023/05/05 16:10:21.187	0.00000000000026288000	2023/05/05 16:10:21.889	0.00000000002300500000	2023/05/05 16:10:22.089	0.00000000002279000000	2023/05/05 16:10:22.289	0.00000000002289750000	2023/05/05 16:10:22.490	0.00000000002300500000
2023/05/05 16:10:25.762	0.00000000000180030000	2023/05/05 16:10:25.962	0.00000000000012267900	2023/05/05 16:10:26.162	0.00000000000002063460	2023/05/05 16:10:26.362	0.00000000000006346800	2023/05/05 16:10:26.562	0.00000000000010605900	2023/05/05 16:10:26.763	0.00000000000027239400	2023/05/05 16:10:27.464	0.00000000002311250000	2023/05/05 16:10:27.664	0.00000000002311250000	2023/05/05 16:10:27.864	0.00000000002311250000	2023/05/05 16:10:28.065	0.00000000002300500000
2023/05/05 16:10:31.337	0.00000000000179245000	2023/05/05 16:10:31.537	0.00000000000012384000	2023/05/05 16:10:31.737	0.00000000000003738200	2023/05/05 16:10:31.937	0.00000000000002517970	2023/05/05 16:10:32.137	0.00000000000012094800	2023/05/05 16:10:32.338	0.00000000000025688200	2023/05/05 16:10:33.039	0.00000000002311250000	2023/05/05 16:10:33.239	0.00000000002311250000	2023/05/05 16:10:33.439	0.00000000002289750000	2023/05/05 16:10:33.640	0.00000000002289750000
2023/05/05 16:10:36.912	0.00000000000179245000	2023/05/05 16:10:37.112	0.00000000000014432900	2023/05/05 16:10:37.312	0.00000000000004373310	2023/05/05 16:10:37.512	0.00000000000002490560	2023/05/05 16:10:37.712	0.00000000000010297400	2023/05/05 16:10:37.913	0.00000000000025671000	2023/05/05 16:10:38.614	0.00000000002289750000	2023/05/05 16:10:38.814	0.00000000002311250000	2023/05/05 16:10:39.014	0.00000000002311250000	2023/05/05 16:10:39.215	0.00000000002322000000
2023/05/05 16:10:42.487	0.00000000000181320000	2023/05/05 16:10:42.687	0.00000000000013349300	2023/05/05 16:10:42.887	0.00000000000004055440	2023/05/05 16:10:43.087	0.00000000000004805890	2023/05/05 16:10:43.287	0.00000000000014898400	2023/05/05 16:10:43.488	0.00000000000026351400	2023/05/05 16:10:44.189	0.00000000002268250000	2023/05/05 16:10:44.389	0.00000000002289750000	2023/05/05 16:10:44.589	0.00000000002300500000	2023/05/05 16:10:44.790	0.00000000002257500000
2023/05/05 16:10:48.062	0.00000000000182911000	2023/05/05 16:10:48.262	0.00000000000012023800	2023/05/05 16:10:48.462	0.00000000000004046080	2023/05/05 16:10:48.662	0.00000000000005179240	2023/05/05 16:10:48.862	0.00000000000012903200	2023/05/05 16:10:49.063	0.00000000000025447400	2023/05/05 16:10:49.764	0.00000000002279000000	2023/05/05 16:10:49.964	0.00000000002246750000	2023/05/05 16:10:50.164	0.00000000002268250000	2023/05/05 16:10:50.365	0.00000000002279000000
