F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	18.00
mode-change-delay()	
multiplier(V)	810
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/05/08 16:41:15.599	0.00000000000107500000	2023/05/08 16:41:15.799	0.00000000000010750000	2023/05/08 16:41:15.999	0.00000000000000000000	2023/05/08 16:41:16.200	0.00000000000000000000	2023/05/08 16:41:16.400	0.00000000000000000000	2023/05/08 16:41:16.600	0.00000000000021500000	2023/05/08 16:41:16.800	0.00000000000000000000	2023/05/08 16:41:17.401	0.00000000000000000000
2023/05/08 16:41:17.672	0.00000000000077400000	2023/05/08 16:41:18.273	0.00000000000004300000	2023/05/08 16:41:18.673	0.00000000000005375000	2023/05/08 16:41:18.873	0.00000000000000000000
2023/05/08 16:41:22.746	0.00000000000104866000	2023/05/08 16:41:22.946	0.00000000000001988750	2023/05/08 16:41:23.146	0.00000000000004031250	2023/05/08 16:41:23.346	0.00000000000002311250	2023/05/08 16:41:23.546	0.00000000000001558750	2023/05/08 16:41:23.746	0.00000000000013061200	2023/05/08 16:41:24.448	0.00000000000010750000	2023/05/08 16:41:24.648	0.00000000000010750000	2023/05/08 16:41:24.848	0.00000000000021500000
2023/05/08 16:41:28.320	0.00000000000109972000	2023/05/08 16:41:28.520	0.00000000000010244700	2023/05/08 16:41:28.720	0.00000000000005009500	2023/05/08 16:41:28.920	0.00000000000008460250	2023/05/08 16:41:29.120	0.00000000000007557250	2023/05/08 16:41:29.320	0.00000000000020521700	2023/05/08 16:41:30.022	0.00000000000021500000	2023/05/08 16:41:30.623	0.00000000000000000000
2023/05/08 16:41:33.895	0.00000000000108929000	2023/05/08 16:41:34.095	0.00000000000011469100	2023/05/08 16:41:34.295	0.00000000000011395000	2023/05/08 16:41:34.495	0.00000000000004909520	2023/05/08 16:41:34.695	0.00000000000012882800	2023/05/08 16:41:34.895	0.00000000000014244800	2023/05/08 16:41:35.597	0.00000000000010750000	2023/05/08 16:41:35.797	0.00000000000021500000	2023/05/08 16:41:35.997	0.00000000000000000000	2023/05/08 16:41:36.198	0.00000000000021500000
2023/05/08 16:41:39.470	0.00000000000108962000	2023/05/08 16:41:39.670	0.00000000000011060600	2023/05/08 16:41:39.870	0.00000000000005350270	2023/05/08 16:41:40.070	0.00000000000003404310	2023/05/08 16:41:40.270	0.00000000000011177800	2023/05/08 16:41:40.471	0.00000000000020017500	2023/05/08 16:41:41.172	0.00000000000000000000	2023/05/08 16:41:41.372	0.00000000000010750000	2023/05/08 16:41:41.572	0.00000000000032250000
2023/05/08 16:41:45.045	0.00000000000110843000	2023/05/08 16:41:45.245	0.00000000000008479600	2023/05/08 16:41:45.445	0.00000000000004274310	2023/05/08 16:41:45.645	0.00000000000004247650	2023/05/08 16:41:45.845	0.00000000000009464300	2023/05/08 16:41:46.046	0.00000000000020824900	2023/05/08 16:41:46.747	0.00000000000021500000	2023/05/08 16:41:46.947	0.00000000000021500000	2023/05/08 16:41:47.147	0.00000000000021500000
2023/05/08 16:41:50.620	0.00000000000110768000	2023/05/08 16:41:50.820	0.00000000000007098550	2023/05/08 16:41:51.020	0.00000000000005714910	2023/05/08 16:41:51.220	0.00000000000005412730	2023/05/08 16:41:51.420	0.00000000000006989650	2023/05/08 16:41:51.621	0.00000000000018603900	2023/05/08 16:41:52.322	0.00000000000021500000	2023/05/08 16:41:52.522	0.00000000000010750000	2023/05/08 16:41:52.722	0.00000000000032250000	2023/05/08 16:41:52.923	0.00000000000021500000
2023/05/08 16:41:56.195	0.00000000000110929000	2023/05/08 16:41:56.395	0.00000000000004331710	2023/05/08 16:41:56.595	0.00000000000003234890	2023/05/08 16:41:56.795	0.00000000000003582000	2023/05/08 16:41:56.995	0.00000000000003079230	2023/05/08 16:41:57.195	0.00000000000021023700	2023/05/08 16:41:57.897	0.00000000000010750000	2023/05/08 16:41:58.097	0.00000000000010750000	2023/05/08 16:41:58.297	0.00000000000010750000	2023/05/08 16:41:58.498	0.00000000000000000000
2023/05/08 16:42:01.770	0.00000000000112595000	2023/05/08 16:42:01.970	0.00000000000003575770	2023/05/08 16:42:02.170	0.00000000000002946360	2023/05/08 16:42:02.370	0.00000000000004972630	2023/05/08 16:42:02.570	0.00000000000002472930	2023/05/08 16:42:02.771	0.00000000000017695500	2023/05/08 16:42:03.472	0.00000000000010750000	2023/05/08 16:42:03.672	0.00000000000021500000	2023/05/08 16:42:03.872	0.00000000000000000000	2023/05/08 16:42:04.073	0.00000000000010750000
2023/05/08 16:42:07.345	0.00000000000115508000	2023/05/08 16:42:07.545	0.00000000000004929090	2023/05/08 16:42:07.745	0.00000000000004625620	2023/05/08 16:42:07.945	0.00000000000004835560	2023/05/08 16:42:08.145	0.00000000000002830040	2023/05/08 16:42:08.346	0.00000000000018781300	2023/05/08 16:42:09.047	0.00000000000032250000	2023/05/08 16:42:09.247	0.00000000000032250000	2023/05/08 16:42:09.447	0.00000000000021500000	2023/05/08 16:42:09.648	0.00000000000021500000
2023/05/08 16:42:12.920	0.00000000000112810000	2023/05/08 16:42:13.120	0.00000000000002920880	2023/05/08 16:42:13.320	0.00000000000003795710	2023/05/08 16:42:13.520	0.00000000000003411400	2023/05/08 16:42:13.720	0.00000000000005371990	2023/05/08 16:42:13.921	0.00000000000019595100	2023/05/08 16:42:14.622	0.00000000000010750000	2023/05/08 16:42:14.822	0.00000000000021500000	2023/05/08 16:42:15.022	0.00000000000010750000
2023/05/08 16:42:18.495	0.00000000000110682000	2023/05/08 16:42:18.695	0.00000000000003664350	2023/05/08 16:42:18.895	0.00000000000001999820	2023/05/08 16:42:19.095	0.00000000000005321140	2023/05/08 16:42:19.295	0.00000000000006378510	2023/05/08 16:42:19.495	0.00000000000017180600	2023/05/08 16:42:20.197	0.00000000000032250000	2023/05/08 16:42:20.397	0.00000000000032250000	2023/05/08 16:42:20.597	0.00000000000000000000	2023/05/08 16:42:20.798	0.00000000000010750000
2023/05/08 16:42:24.070	0.00000000000110606000	2023/05/08 16:42:24.270	0.00000000000004561870	2023/05/08 16:42:24.470	0.00000000000007225720	2023/05/08 16:42:24.670	0.00000000000004682700	2023/05/08 16:42:24.870	0.00000000000003484720	2023/05/08 16:42:25.071	0.00000000000014724200	2023/05/08 16:42:25.772	0.00000000000010750000	2023/05/08 16:42:25.972	0.00000000000000000000	2023/05/08 16:42:26.172	0.00000000000000000000	2023/05/08 16:42:26.373	0.00000000000010750000
2023/05/08 16:42:29.645	0.00000000000110252000	2023/05/08 16:42:29.845	0.00000000000004017060	2023/05/08 16:42:30.045	0.00000000000003076540	2023/05/08 16:42:30.245	0.00000000000001990570	2023/05/08 16:42:30.445	0.00000000000006036770	2023/05/08 16:42:30.645	0.00000000000016328100	2023/05/08 16:42:31.347	0.00000000000043000000	2023/05/08 16:42:31.547	0.00000000000064500000	2023/05/08 16:42:31.747	0.00000000000064500000	2023/05/08 16:42:31.948	0.00000000000075250000
2023/05/08 16:42:35.220	0.00000000000112606000	2023/05/08 16:42:35.420	0.00000000000004838470	2023/05/08 16:42:35.620	0.00000000000003874730	2023/05/08 16:42:35.820	0.00000000000002531190	2023/05/08 16:42:36.020	0.00000000000006198230	2023/05/08 16:42:36.221	0.00000000000019803600	2023/05/08 16:42:36.922	0.00000000000064500000	2023/05/08 16:42:37.122	0.00000000000010750000	2023/05/08 16:42:37.322	0.00000000000021500000	2023/05/08 16:42:37.523	0.00000000000021500000
2023/05/08 16:42:40.795	0.00000000000109886000	2023/05/08 16:42:40.995	0.00000000000006600930	2023/05/08 16:42:41.195	0.00000000000007067370	2023/05/08 16:42:41.395	0.00000000000003351520	2023/05/08 16:42:41.595	0.00000000000001655500	2023/05/08 16:42:41.796	0.00000000000020595900	2023/05/08 16:42:42.497	0.00000000000021500000	2023/05/08 16:42:42.697	0.00000000000021500000	2023/05/08 16:42:42.897	0.00000000000021500000	2023/05/08 16:42:43.098	0.00000000000000000000
2023/05/08 16:42:46.370	0.00000000000113283000	2023/05/08 16:42:46.570	0.00000000000004138420	2023/05/08 16:42:46.770	0.00000000000002668040	2023/05/08 16:42:46.970	0.00000000000005319100	2023/05/08 16:42:47.170	0.00000000000005404350	2023/05/08 16:42:47.371	0.00000000000022197600	2023/05/08 16:42:48.072	0.00000000000021500000	2023/05/08 16:42:48.272	0.00000000000032250000	2023/05/08 16:42:48.472	0.00000000000000000000	2023/05/08 16:42:48.673	0.00000000000000000000
2023/05/08 16:42:51.945	0.00000000000115680000	2023/05/08 16:42:52.145	0.00000000000005406070	2023/05/08 16:42:52.345	0.00000000000004048020	2023/05/08 16:42:52.545	0.00000000000003684340	2023/05/08 16:42:52.745	0.00000000000005602150	2023/05/08 16:42:52.945	0.00000000000016727000	2023/05/08 16:42:53.647	0.00000000000043000000	2023/05/08 16:42:53.847	0.00000000000032250000	2023/05/08 16:42:54.047	0.00000000000000000000	2023/05/08 16:42:54.248	0.00000000000000000000
2023/05/08 16:42:57.520	0.00000000000114025000	2023/05/08 16:42:57.720	0.00000000000004732690	2023/05/08 16:42:57.920	0.00000000000005655360	2023/05/08 16:42:58.120	0.00000000000004033500	2023/05/08 16:42:58.320	0.00000000000003862370	2023/05/08 16:42:58.521	0.00000000000017618100	2023/05/08 16:42:59.222	0.00000000000010750000	2023/05/08 16:42:59.422	0.00000000000010750000	2023/05/08 16:42:59.622	0.00000000000021500000	2023/05/08 16:42:59.823	0.00000000000010750000
2023/05/08 16:43:03.095	0.00000000000113434000	2023/05/08 16:43:03.295	0.00000000000004847070	2023/05/08 16:43:03.495	0.00000000000004924470	2023/05/08 16:43:03.695	0.00000000000003268530	2023/05/08 16:43:03.895	0.00000000000004852440	2023/05/08 16:43:04.096	0.00000000000018715700	2023/05/08 16:43:04.797	0.00000000000021500000	2023/05/08 16:43:04.997	0.00000000000010750000	2023/05/08 16:43:05.197	0.00000000000000000000	2023/05/08 16:43:05.398	0.00000000000032250000
