F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	810
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/06/06 16:39:53.076	0.00000000000107500000	2023/06/06 16:39:53.276	0.00000000000021500000	2023/06/06 16:39:53.476	0.00000000000032250000	2023/06/06 16:39:53.676	0.00000000000032250000	2023/06/06 16:39:54.076	0.00000000000000000000	2023/06/06 16:39:54.677	0.00000000000010750000
2023/06/06 16:39:55.148	0.00000000000136525000	2023/06/06 16:39:55.348	0.00000000000050525000	2023/06/06 16:39:55.549	0.00000000000043000000	2023/06/06 16:39:55.749	0.00000000000065575000	2023/06/06 16:39:55.949	0.00000000000058050000	2023/06/06 16:39:56.149	0.00000000000043000000	2023/06/06 16:39:56.349	0.00000000000000000000	2023/06/06 16:39:56.549	0.00000000000021500000	2023/06/06 16:39:56.950	0.00000000000010750000
2023/06/06 16:40:00.222	0.00000000000073852500	2023/06/06 16:40:00.422	0.00000000000002580000	2023/06/06 16:40:01.222	0.00000000000001827500	2023/06/06 16:40:01.924	0.00000000000000000000
2023/06/06 16:40:05.796	0.00000000000068886000	2023/06/06 16:40:06.796	0.00000000000005762000	2023/06/06 16:40:07.498	0.00000000000000000000
2023/06/06 16:40:11.371	0.00000000000075954100	2023/06/06 16:40:11.571	0.00000000000004466620	2023/06/06 16:40:11.771	0.00000000000001520050	2023/06/06 16:40:11.971	0.00000000000002333820	2023/06/06 16:40:12.371	0.00000000000007331500	2023/06/06 16:40:13.273	0.00000000000000000000
2023/06/06 16:40:16.946	0.00000000000073709500	2023/06/06 16:40:17.146	0.00000000000001830720	2023/06/06 16:40:17.346	0.00000000000001054460	2023/06/06 16:40:17.546	0.00000000000001783960	2023/06/06 16:40:17.746	0.00000000000001452860	2023/06/06 16:40:17.946	0.00000000000002631270	2023/06/06 16:40:18.648	0.00000000000000000000
2023/06/06 16:40:22.521	0.00000000000073813800	2023/06/06 16:40:22.721	0.00000000000002685350	2023/06/06 16:40:22.921	0.00000000000001887700	2023/06/06 16:40:23.121	0.00000000000003994910	2023/06/06 16:40:23.321	0.00000000000002774890	2023/06/06 16:40:23.522	0.00000000000003557820
2023/06/06 16:40:28.096	0.00000000000075046800	2023/06/06 16:40:28.296	0.00000000000003000430	2023/06/06 16:40:28.496	0.00000000000002030130	2023/06/06 16:40:28.696	0.00000000000001406740	2023/06/06 16:40:28.896	0.00000000000002498190	2023/06/06 16:40:29.096	0.00000000000004478990
2023/06/06 16:40:33.671	0.00000000000077122600	2023/06/06 16:40:33.871	0.00000000000002178050	2023/06/06 16:40:34.071	0.00000000000003030310	2023/06/06 16:40:34.271	0.00000000000001082410	2023/06/06 16:40:34.471	0.00000000000003441070	2023/06/06 16:40:34.671	0.00000000000003785820
2023/06/06 16:40:39.246	0.00000000000077437600	2023/06/06 16:40:39.446	0.00000000000001945750	2023/06/06 16:40:39.646	0.00000000000002291570	2023/06/06 16:40:39.846	0.00000000000000536210	2023/06/06 16:40:40.046	0.00000000000002998390	2023/06/06 16:40:40.246	0.00000000000004357940	2023/06/06 16:40:41.549	0.00000000000000000000
