F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	6.40
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/14 16:43:04.933	0.00000000002574620000	2022/11/14 16:43:05.433	0.00000000000064500000	2022/11/14 16:43:05.684	0.00000000000102125000	2022/11/14 16:43:05.934	0.00000000000161250000	2022/11/14 16:43:06.184	0.00000000000284875000	2022/11/14 16:43:06.434	0.00000000000043000000	2022/11/14 16:43:06.684	0.00000000000026875000	2022/11/14 16:43:06.934	0.00000000000161250000
2022/11/14 16:43:07.256	0.00000000002507970000	2022/11/14 16:43:08.007	0.00000000000009675000	2022/11/14 16:43:08.257	0.00000000000070412500	2022/11/14 16:43:08.507	0.00000000000271437000	2022/11/14 16:43:09.258	0.00000000000095675000
2022/11/14 16:43:12.580	0.00000000002561080000	2022/11/14 16:43:12.830	0.00000000000123463000	2022/11/14 16:43:13.080	0.00000000000045848700	2022/11/14 16:43:13.330	0.00000000000082183800	2022/11/14 16:43:13.580	0.00000000000139158000	2022/11/14 16:43:13.830	0.00000000000294657000	2022/11/14 16:43:14.081	0.00000000000018167500	2022/11/14 16:43:14.331	0.00000000000002741250	2022/11/14 16:43:14.581	0.00000000000128838000
2022/11/14 16:43:14.903	0.00000000002552640000	2022/11/14 16:43:15.153	0.00000000000120179000	2022/11/14 16:43:15.403	0.00000000000048004100	2022/11/14 16:43:15.654	0.00000000000080743300	2022/11/14 16:43:15.904	0.00000000000129376000	2022/11/14 16:43:16.154	0.00000000000288363000	2022/11/14 16:43:16.404	0.00000000000016732300	2022/11/14 16:43:16.654	0.00000000000002467120	2022/11/14 16:43:16.905	0.00000000000127828000
2022/11/14 16:43:17.226	0.00000000002515120000	2022/11/14 16:43:17.476	0.00000000000120593000	2022/11/14 16:43:17.727	0.00000000000043393400	2022/11/14 16:43:17.977	0.00000000000077109200	2022/11/14 16:43:18.227	0.00000000000134719000	2022/11/14 16:43:18.477	0.00000000000297721000	2022/11/14 16:43:18.727	0.00000000000014514100	2022/11/14 16:43:18.978	0.00000000000002936360	2022/11/14 16:43:19.228	0.00000000000129037000
2022/11/14 16:43:19.549	0.00000000002518180000	2022/11/14 16:43:19.799	0.00000000000119115000	2022/11/14 16:43:20.049	0.00000000000045263900	2022/11/14 16:43:20.299	0.00000000000075272600	2022/11/14 16:43:20.549	0.00000000000133531000	2022/11/14 16:43:20.800	0.00000000000300505000	2022/11/14 16:43:21.050	0.00000000000015923900	2022/11/14 16:43:21.550	0.00000000000131225000
2022/11/14 16:43:21.871	0.00000000002521360000	2022/11/14 16:43:22.121	0.00000000000123345000	2022/11/14 16:43:22.372	0.00000000000038302200	2022/11/14 16:43:22.622	0.00000000000072795200	2022/11/14 16:43:22.872	0.00000000000133859000	2022/11/14 16:43:23.122	0.00000000000299516000	2022/11/14 16:43:23.372	0.00000000000017616500	2022/11/14 16:43:23.873	0.00000000000125361000
2022/11/14 16:43:24.194	0.00000000002502060000	2022/11/14 16:43:24.444	0.00000000000120039000	2022/11/14 16:43:24.694	0.00000000000043047300	2022/11/14 16:43:24.944	0.00000000000075632200	2022/11/14 16:43:25.194	0.00000000000135815000	2022/11/14 16:43:25.445	0.00000000000302037000	2022/11/14 16:43:25.695	0.00000000000015722900	2022/11/14 16:43:26.195	0.00000000000125285000
2022/11/14 16:43:26.516	0.00000000002498400000	2022/11/14 16:43:26.766	0.00000000000117347000	2022/11/14 16:43:27.017	0.00000000000041526700	2022/11/14 16:43:27.267	0.00000000000076737800	2022/11/14 16:43:27.517	0.00000000000133644000	2022/11/14 16:43:27.767	0.00000000000293265000	2022/11/14 16:43:28.017	0.00000000000015469200	2022/11/14 16:43:28.518	0.00000000000129327000
2022/11/14 16:43:28.839	0.00000000002511520000	2022/11/14 16:43:29.089	0.00000000000116051000	2022/11/14 16:43:29.339	0.00000000000043000000	2022/11/14 16:43:29.589	0.00000000000075441900	2022/11/14 16:43:29.839	0.00000000000132359000	2022/11/14 16:43:30.090	0.00000000000289046000	2022/11/14 16:43:30.340	0.00000000000016613500	2022/11/14 16:43:30.840	0.00000000000129612000
