F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	18.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/15 14:16:04.603	0.00000000000682625000	2022/11/15 14:16:04.853	0.00000000000005375000	2022/11/15 14:16:05.103	0.00000000000021500000	2022/11/15 14:16:05.354	0.00000000000026875000	2022/11/15 14:16:05.604	0.00000000000086000000	2022/11/15 14:16:05.854	0.00000000000053750000	2022/11/15 14:16:06.104	0.00000000000010750000	2022/11/15 14:16:06.354	0.00000000000005375000	2022/11/15 14:16:06.604	0.00000000000048375000
2022/11/15 14:16:06.926	0.00000000000744437000	2022/11/15 14:16:07.176	0.00000000000035475000	2022/11/15 14:16:07.426	0.00000000000033862500	2022/11/15 14:16:07.676	0.00000000000052675000	2022/11/15 14:16:07.926	0.00000000000080087500	2022/11/15 14:16:08.176	0.00000000000083312500	2022/11/15 14:16:08.427	0.00000000000008600000	2022/11/15 14:16:08.677	0.00000000000029562500	2022/11/15 14:16:08.927	0.00000000000058050000
2022/11/15 14:16:12.249	0.00000000000713101000	2022/11/15 14:16:12.499	0.00000000000034937500	2022/11/15 14:16:12.749	0.00000000000010588700	2022/11/15 14:16:12.999	0.00000000000030046200	2022/11/15 14:16:13.249	0.00000000000058265000	2022/11/15 14:16:13.499	0.00000000000052513700	2022/11/15 14:16:13.750	0.00000000000005160000	2022/11/15 14:16:14.000	0.00000000000000322500	2022/11/15 14:16:14.251	0.00000000000024241200
2022/11/15 14:16:14.572	0.00000000000706651000	2022/11/15 14:16:14.822	0.00000000000034244100	2022/11/15 14:16:15.072	0.00000000000009793250	2022/11/15 14:16:15.322	0.00000000000025843000	2022/11/15 14:16:15.572	0.00000000000058168200	2022/11/15 14:16:15.823	0.00000000000048928600	2022/11/15 14:16:16.073	0.00000000000003456120	2022/11/15 14:16:16.574	0.00000000000021908500
2022/11/15 14:16:16.895	0.00000000000713762000	2022/11/15 14:16:17.145	0.00000000000030807300	2022/11/15 14:16:17.395	0.00000000000008978400	2022/11/15 14:16:17.646	0.00000000000025150100	2022/11/15 14:16:17.896	0.00000000000054382100	2022/11/15 14:16:18.146	0.00000000000047853600	2022/11/15 14:16:18.396	0.00000000000002209660	2022/11/15 14:16:18.896	0.00000000000023154400
2022/11/15 14:16:19.218	0.00000000000705582000	2022/11/15 14:16:19.468	0.00000000000030655200	2022/11/15 14:16:19.969	0.00000000000024811500	2022/11/15 14:16:20.219	0.00000000000055661900	2022/11/15 14:16:20.469	0.00000000000046032600	2022/11/15 14:16:21.220	0.00000000000022822800
2022/11/15 14:16:21.541	0.00000000000697288000	2022/11/15 14:16:21.791	0.00000000000029624800	2022/11/15 14:16:22.291	0.00000000000024886800	2022/11/15 14:16:22.541	0.00000000000053400100	2022/11/15 14:16:22.792	0.00000000000045806800	2022/11/15 14:16:23.542	0.00000000000020658800
2022/11/15 14:16:23.863	0.00000000000697960000	2022/11/15 14:16:24.113	0.00000000000030062900	2022/11/15 14:16:24.614	0.00000000000025488200	2022/11/15 14:16:24.864	0.00000000000055059900	2022/11/15 14:16:25.114	0.00000000000046690500	2022/11/15 14:16:25.865	0.00000000000020390600
2022/11/15 14:16:26.186	0.00000000000698642000	2022/11/15 14:16:26.436	0.00000000000031524900	2022/11/15 14:16:26.686	0.00000000000000239026	2022/11/15 14:16:26.936	0.00000000000023801000	2022/11/15 14:16:27.186	0.00000000000057122800	2022/11/15 14:16:27.437	0.00000000000048315900	2022/11/15 14:16:28.187	0.00000000000021145800
2022/11/15 14:16:28.508	0.00000000000686678000	2022/11/15 14:16:28.758	0.00000000000029595300	2022/11/15 14:16:29.259	0.00000000000025080800	2022/11/15 14:16:29.509	0.00000000000052721200	2022/11/15 14:16:29.759	0.00000000000045141400	2022/11/15 14:16:30.510	0.00000000000021043100
2022/11/15 14:16:30.831	0.00000000000694289000	2022/11/15 14:16:31.081	0.00000000000030983600	2022/11/15 14:16:31.581	0.00000000000026195000	2022/11/15 14:16:31.831	0.00000000000055057200	2022/11/15 14:16:32.082	0.00000000000044846800	2022/11/15 14:16:32.832	0.00000000000021425800
2022/11/15 14:16:33.153	0.00000000000691795000	2022/11/15 14:16:33.403	0.00000000000030490200	2022/11/15 14:16:33.904	0.00000000000025585000	2022/11/15 14:16:34.154	0.00000000000053075400	2022/11/15 14:16:34.404	0.00000000000045949800	2022/11/15 14:16:35.155	0.00000000000020828600
2022/11/15 14:16:35.476	0.00000000000689645000	2022/11/15 14:16:35.726	0.00000000000030325200	2022/11/15 14:16:36.226	0.00000000000027065200	2022/11/15 14:16:36.476	0.00000000000054428800	2022/11/15 14:16:36.727	0.00000000000045456400	2022/11/15 14:16:37.477	0.00000000000021162400
2022/11/15 14:16:37.798	0.00000000000694735000	2022/11/15 14:16:38.048	0.00000000000030276300	2022/11/15 14:16:38.549	0.00000000000023755900	2022/11/15 14:16:38.799	0.00000000000052491200	2022/11/15 14:16:39.049	0.00000000000047332800	2022/11/15 14:16:39.800	0.00000000000020842100
2022/11/15 14:16:40.121	0.00000000000696132000	2022/11/15 14:16:40.371	0.00000000000029637200	2022/11/15 14:16:40.871	0.00000000000023442500	2022/11/15 14:16:41.121	0.00000000000054092400	2022/11/15 14:16:41.372	0.00000000000046569000	2022/11/15 14:16:42.122	0.00000000000023176400
