F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	18.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/15 15:30:06.754	0.00000000000714875000	2022/11/15 15:30:07.004	0.00000000000016125000	2022/11/15 15:30:07.254	0.00000000000037625000	2022/11/15 15:30:07.505	0.00000000000043000000	2022/11/15 15:30:07.755	0.00000000000064500000	2022/11/15 15:30:08.005	0.00000000000059125000	2022/11/15 15:30:08.255	0.00000000000037625000	2022/11/15 15:30:08.505	0.00000000000037625000	2022/11/15 15:30:08.755	0.00000000000059125000
2022/11/15 15:30:09.077	0.00000000000667575000	2022/11/15 15:30:09.327	0.00000000000007525000	2022/11/15 15:30:09.828	0.00000000000002687500	2022/11/15 15:30:10.078	0.00000000000043000000	2022/11/15 15:30:10.328	0.00000000000024187500	2022/11/15 15:30:10.578	0.00000000000001075000	2022/11/15 15:30:11.079	0.00000000000018275000
2022/11/15 15:30:14.401	0.00000000000699556000	2022/11/15 15:30:14.651	0.00000000000032948700	2022/11/15 15:30:14.901	0.00000000000012255000	2022/11/15 15:30:15.151	0.00000000000024241200	2022/11/15 15:30:15.401	0.00000000000057297500	2022/11/15 15:30:15.651	0.00000000000048912500	2022/11/15 15:30:15.902	0.00000000000003440000	2022/11/15 15:30:16.152	0.00000000000003762500	2022/11/15 15:30:16.402	0.00000000000022736200
2022/11/15 15:30:16.724	0.00000000000694380000	2022/11/15 15:30:16.974	0.00000000000034287100	2022/11/15 15:30:17.224	0.00000000000008401130	2022/11/15 15:30:17.475	0.00000000000025912800	2022/11/15 15:30:17.725	0.00000000000055131400	2022/11/15 15:30:17.975	0.00000000000044897400	2022/11/15 15:30:18.225	0.00000000000001908120	2022/11/15 15:30:18.726	0.00000000000021827800
2022/11/15 15:30:19.047	0.00000000000688876000	2022/11/15 15:30:19.297	0.00000000000028912100	2022/11/15 15:30:19.547	0.00000000000007412120	2022/11/15 15:30:19.798	0.00000000000025110400	2022/11/15 15:30:20.048	0.00000000000057273800	2022/11/15 15:30:20.298	0.00000000000044812400	2022/11/15 15:30:20.548	0.00000000000003315830	2022/11/15 15:30:21.049	0.00000000000021475200
2022/11/15 15:30:21.370	0.00000000000690005000	2022/11/15 15:30:21.620	0.00000000000030975000	2022/11/15 15:30:22.120	0.00000000000026143400	2022/11/15 15:30:22.370	0.00000000000056970100	2022/11/15 15:30:22.621	0.00000000000045326800	2022/11/15 15:30:23.371	0.00000000000020694800
2022/11/15 15:30:23.692	0.00000000000690886000	2022/11/15 15:30:23.942	0.00000000000029609200	2022/11/15 15:30:24.443	0.00000000000024440600	2022/11/15 15:30:24.693	0.00000000000056137000	2022/11/15 15:30:24.943	0.00000000000044241600	2022/11/15 15:30:25.694	0.00000000000026281000
2022/11/15 15:30:26.015	0.00000000000694348000	2022/11/15 15:30:26.265	0.00000000000030387000	2022/11/15 15:30:26.765	0.00000000000026262200	2022/11/15 15:30:27.015	0.00000000000054297700	2022/11/15 15:30:27.266	0.00000000000047196800	2022/11/15 15:30:28.016	0.00000000000020415800
2022/11/15 15:30:28.337	0.00000000000694729000	2022/11/15 15:30:28.587	0.00000000000030116100	2022/11/15 15:30:29.088	0.00000000000027474800	2022/11/15 15:30:29.338	0.00000000000049793400	2022/11/15 15:30:29.588	0.00000000000045021500	2022/11/15 15:30:30.339	0.00000000000018741500
2022/11/15 15:30:30.660	0.00000000000689715000	2022/11/15 15:30:30.910	0.00000000000030283800	2022/11/15 15:30:31.410	0.00000000000025318900	2022/11/15 15:30:31.660	0.00000000000055871000	2022/11/15 15:30:31.911	0.00000000000047113500	2022/11/15 15:30:32.661	0.00000000000020596400
2022/11/15 15:30:32.982	0.00000000000694912000	2022/11/15 15:30:33.232	0.00000000000030528400	2022/11/15 15:30:33.733	0.00000000000024757800	2022/11/15 15:30:33.983	0.00000000000054102600	2022/11/15 15:30:34.233	0.00000000000047237600	2022/11/15 15:30:34.984	0.00000000000020003600
2022/11/15 15:30:35.305	0.00000000000691058000	2022/11/15 15:30:35.555	0.00000000000031314700	2022/11/15 15:30:36.055	0.00000000000024699200	2022/11/15 15:30:36.305	0.00000000000055497900	2022/11/15 15:30:36.556	0.00000000000046113200	2022/11/15 15:30:37.306	0.00000000000018322300
2022/11/15 15:30:37.627	0.00000000000694735000	2022/11/15 15:30:37.877	0.00000000000030445000	2022/11/15 15:30:38.378	0.00000000000024259000	2022/11/15 15:30:38.628	0.00000000000056345600	2022/11/15 15:30:38.878	0.00000000000045573500	2022/11/15 15:30:39.629	0.00000000000019325200
2022/11/15 15:30:39.950	0.00000000000694595000	2022/11/15 15:30:40.200	0.00000000000031485100	2022/11/15 15:30:40.700	0.00000000000024517000	2022/11/15 15:30:40.950	0.00000000000054057400	2022/11/15 15:30:41.201	0.00000000000045016700	2022/11/15 15:30:41.951	0.00000000000021897200
2022/11/15 15:30:42.272	0.00000000000688623000	2022/11/15 15:30:42.522	0.00000000000029375400	2022/11/15 15:30:43.023	0.00000000000024257300	2022/11/15 15:30:43.273	0.00000000000055211400	2022/11/15 15:30:43.523	0.00000000000045245100	2022/11/15 15:30:44.274	0.00000000000020650700
2022/11/15 15:30:44.595	0.00000000000681389000	2022/11/15 15:30:44.845	0.00000000000029280800	2022/11/15 15:30:45.345	0.00000000000025269500	2022/11/15 15:30:45.595	0.00000000000057553900	2022/11/15 15:30:45.846	0.00000000000046931300	2022/11/15 15:30:46.596	0.00000000000021135500
2022/11/15 15:30:46.917	0.00000000000690709000	2022/11/15 15:30:47.167	0.00000000000030300500	2022/11/15 15:30:47.668	0.00000000000025759100	2022/11/15 15:30:47.918	0.00000000000056280000	2022/11/15 15:30:48.168	0.00000000000046888300	2022/11/15 15:30:48.919	0.00000000000019534900
2022/11/15 15:30:49.240	0.00000000000688038000	2022/11/15 15:30:49.490	0.00000000000031787200	2022/11/15 15:30:49.990	0.00000000000025369400	2022/11/15 15:30:50.240	0.00000000000053808600	2022/11/15 15:30:50.491	0.00000000000043880400	2022/11/15 15:30:51.241	0.00000000000024167600
2022/11/15 15:30:51.562	0.00000000000694531000	2022/11/15 15:30:51.812	0.00000000000031357700	2022/11/15 15:30:52.313	0.00000000000025837600	2022/11/15 15:30:52.563	0.00000000000052655600	2022/11/15 15:30:52.813	0.00000000000039716900	2022/11/15 15:30:53.564	0.00000000000019720800
2022/11/15 15:30:53.885	0.00000000000684673000	2022/11/15 15:30:54.135	0.00000000000029654400	2022/11/15 15:30:54.635	0.00000000000025373700	2022/11/15 15:30:54.885	0.00000000000053981600	2022/11/15 15:30:55.136	0.00000000000046924800	2022/11/15 15:30:55.886	0.00000000000021225300
2022/11/15 15:30:56.207	0.00000000000689489000	2022/11/15 15:30:56.457	0.00000000000030593400	2022/11/15 15:30:56.958	0.00000000000024896400	2022/11/15 15:30:57.208	0.00000000000054971700	2022/11/15 15:30:57.458	0.00000000000046073400	2022/11/15 15:30:58.209	0.00000000000024820100
2022/11/15 15:30:58.530	0.00000000000689854000	2022/11/15 15:30:58.780	0.00000000000031502800	2022/11/15 15:30:59.280	0.00000000000026323000	2022/11/15 15:30:59.530	0.00000000000052849100	2022/11/15 15:30:59.781	0.00000000000045710600	2022/11/15 15:31:00.531	0.00000000000026018700
2022/11/15 15:31:00.852	0.00000000000695364000	2022/11/15 15:31:01.102	0.00000000000031073900	2022/11/15 15:31:01.603	0.00000000000025485500	2022/11/15 15:31:01.853	0.00000000000052278800	2022/11/15 15:31:02.103	0.00000000000047721900	2022/11/15 15:31:02.854	0.00000000000020529800
2022/11/15 15:31:03.175	0.00000000000691214000	2022/11/15 15:31:03.425	0.00000000000029831800	2022/11/15 15:31:03.925	0.00000000000026371900	2022/11/15 15:31:04.175	0.00000000000055284500	2022/11/15 15:31:04.426	0.00000000000046617900	2022/11/15 15:31:05.176	0.00000000000024155800
2022/11/15 15:31:05.497	0.00000000000695219000	2022/11/15 15:31:05.747	0.00000000000030065000	2022/11/15 15:31:06.248	0.00000000000026015000	2022/11/15 15:31:06.498	0.00000000000056459500	2022/11/15 15:31:06.748	0.00000000000046519000	2022/11/15 15:31:07.499	0.00000000000021416700
2022/11/15 15:31:07.820	0.00000000000687000000	2022/11/15 15:31:08.070	0.00000000000031521700	2022/11/15 15:31:08.570	0.00000000000025285000	2022/11/15 15:31:08.820	0.00000000000054749200	2022/11/15 15:31:09.071	0.00000000000046986100	2022/11/15 15:31:09.821	0.00000000000022573400
2022/11/15 15:31:10.142	0.00000000000685221000	2022/11/15 15:31:10.392	0.00000000000029252900	2022/11/15 15:31:10.893	0.00000000000024369700	2022/11/15 15:31:11.143	0.00000000000055913400	2022/11/15 15:31:11.393	0.00000000000044801700	2022/11/15 15:31:12.144	0.00000000000022782400
2022/11/15 15:31:12.465	0.00000000000688677000	2022/11/15 15:31:12.715	0.00000000000031483500	2022/11/15 15:31:13.215	0.00000000000026225100	2022/11/15 15:31:13.465	0.00000000000052589500	2022/11/15 15:31:13.716	0.00000000000047085500	2022/11/15 15:31:14.466	0.00000000000021245700
2022/11/15 15:31:14.787	0.00000000000692590000	2022/11/15 15:31:15.037	0.00000000000029335600	2022/11/15 15:31:15.538	0.00000000000024278800	2022/11/15 15:31:15.788	0.00000000000055470500	2022/11/15 15:31:16.038	0.00000000000044454500	2022/11/15 15:31:16.789	0.00000000000022434100
2022/11/15 15:31:17.110	0.00000000000697600000	2022/11/15 15:31:17.360	0.00000000000031883400	2022/11/15 15:31:17.860	0.00000000000022301400	2022/11/15 15:31:18.110	0.00000000000056446600	2022/11/15 15:31:18.361	0.00000000000046102400	2022/11/15 15:31:19.111	0.00000000000021360800
2022/11/15 15:31:19.432	0.00000000000701561000	2022/11/15 15:31:19.682	0.00000000000028505200	2022/11/15 15:31:20.183	0.00000000000025380200	2022/11/15 15:31:20.433	0.00000000000057409300	2022/11/15 15:31:20.683	0.00000000000043934700	2022/11/15 15:31:21.434	0.00000000000021596700
2022/11/15 15:31:21.755	0.00000000000695627000	2022/11/15 15:31:22.005	0.00000000000031537200	2022/11/15 15:31:22.505	0.00000000000025780100	2022/11/15 15:31:22.755	0.00000000000056352600	2022/11/15 15:31:23.006	0.00000000000046495900	2022/11/15 15:31:23.756	0.00000000000020422800
2022/11/15 15:31:24.077	0.00000000000696858000	2022/11/15 15:31:24.327	0.00000000000030486400	2022/11/15 15:31:24.828	0.00000000000022409400	2022/11/15 15:31:25.078	0.00000000000052304100	2022/11/15 15:31:25.328	0.00000000000046652300	2022/11/15 15:31:26.079	0.00000000000018922100
2022/11/15 15:31:26.400	0.00000000000692262000	2022/11/15 15:31:26.650	0.00000000000029166900	2022/11/15 15:31:27.150	0.00000000000025110900	2022/11/15 15:31:27.400	0.00000000000058675600	2022/11/15 15:31:27.651	0.00000000000047089800	2022/11/15 15:31:28.401	0.00000000000021302700
2022/11/15 15:31:28.722	0.00000000000699830000	2022/11/15 15:31:28.972	0.00000000000029989200	2022/11/15 15:31:29.473	0.00000000000024560500	2022/11/15 15:31:29.723	0.00000000000054863100	2022/11/15 15:31:29.973	0.00000000000039915800	2022/11/15 15:31:30.724	0.00000000000020110500
2022/11/15 15:31:31.045	0.00000000000702652000	2022/11/15 15:31:31.295	0.00000000000031838200	2022/11/15 15:31:31.795	0.00000000000024852900	2022/11/15 15:31:32.045	0.00000000000057392600	2022/11/15 15:31:32.296	0.00000000000044482900	2022/11/15 15:31:33.046	0.00000000000021817600
2022/11/15 15:31:33.367	0.00000000000696347000	2022/11/15 15:31:33.617	0.00000000000031342700	2022/11/15 15:31:34.118	0.00000000000023621500	2022/11/15 15:31:34.368	0.00000000000057203400	2022/11/15 15:31:34.618	0.00000000000044730700	2022/11/15 15:31:35.369	0.00000000000020974800
2022/11/15 15:31:35.690	0.00000000000706415000	2022/11/15 15:31:35.940	0.00000000000031655000	2022/11/15 15:31:36.440	0.00000000000027892500	2022/11/15 15:31:36.690	0.00000000000054997000	2022/11/15 15:31:36.941	0.00000000000045201600	2022/11/15 15:31:37.691	0.00000000000022077200
