F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	5.50
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/17 16:09:44.759	0.00000000001822120000	2022/11/17 16:09:45.759	0.00000000000037625000	2022/11/17 16:09:46.009	0.00000000000198875000	2022/11/17 16:09:46.760	0.00000000000043000000
2022/11/17 16:09:47.081	0.00000000001935100000	2022/11/17 16:09:47.331	0.00000000000021607500	2022/11/17 16:09:47.581	0.00000000000064607500	2022/11/17 16:09:47.832	0.00000000000112445000	2022/11/17 16:09:48.082	0.00000000000131795000	2022/11/17 16:09:48.332	0.00000000000278532000	2022/11/17 16:09:48.582	0.00000000000033970000	2022/11/17 16:09:48.832	0.00000000000044182500	2022/11/17 16:09:49.083	0.00000000000151682000
2022/11/17 16:09:52.405	0.00000000001912670000	2022/11/17 16:09:52.655	0.00000000000088719800	2022/11/17 16:09:52.905	0.00000000000034916000	2022/11/17 16:09:53.155	0.00000000000073347200	2022/11/17 16:09:53.405	0.00000000000111241000	2022/11/17 16:09:53.655	0.00000000000258838000	2022/11/17 16:09:53.906	0.00000000000014329700	2022/11/17 16:09:54.156	0.00000000000000569750	2022/11/17 16:09:54.406	0.00000000000085817300
2022/11/17 16:09:54.728	0.00000000001892300000	2022/11/17 16:09:54.978	0.00000000000088952000	2022/11/17 16:09:55.228	0.00000000000035121300	2022/11/17 16:09:55.479	0.00000000000077970800	2022/11/17 16:09:55.729	0.00000000000107291000	2022/11/17 16:09:55.979	0.00000000000267821000	2022/11/17 16:09:56.229	0.00000000000012702200	2022/11/17 16:09:56.479	0.00000000000005171820	2022/11/17 16:09:56.730	0.00000000000087033100
2022/11/17 16:09:57.051	0.00000000001897990000	2022/11/17 16:09:57.301	0.00000000000052405900	2022/11/17 16:09:57.552	0.00000000000034629200	2022/11/17 16:09:57.802	0.00000000000071895100	2022/11/17 16:09:58.052	0.00000000000115300000	2022/11/17 16:09:58.302	0.00000000000261156000	2022/11/17 16:09:58.552	0.00000000000017571600	2022/11/17 16:09:59.053	0.00000000000083020900
2022/11/17 16:09:59.374	0.00000000001899390000	2022/11/17 16:09:59.624	0.00000000000051591100	2022/11/17 16:09:59.874	0.00000000000038584100	2022/11/17 16:10:00.124	0.00000000000067967100	2022/11/17 16:10:00.374	0.00000000000114015000	2022/11/17 16:10:00.625	0.00000000000255216000	2022/11/17 16:10:00.875	0.00000000000013435000	2022/11/17 16:10:01.375	0.00000000000083173000
2022/11/17 16:10:01.696	0.00000000001881330000	2022/11/17 16:10:01.946	0.00000000000051848000	2022/11/17 16:10:02.197	0.00000000000037289800	2022/11/17 16:10:02.447	0.00000000000072066100	2022/11/17 16:10:02.697	0.00000000000109420000	2022/11/17 16:10:02.947	0.00000000000261677000	2022/11/17 16:10:03.197	0.00000000000016600900	2022/11/17 16:10:03.448	0.00000000000000214419	2022/11/17 16:10:03.698	0.00000000000078432800
2022/11/17 16:10:04.019	0.00000000001872360000	2022/11/17 16:10:04.269	0.00000000000052332300	2022/11/17 16:10:04.519	0.00000000000033457900	2022/11/17 16:10:04.769	0.00000000000072341800	2022/11/17 16:10:05.019	0.00000000000112763000	2022/11/17 16:10:05.270	0.00000000000259484000	2022/11/17 16:10:05.520	0.00000000000012933000	2022/11/17 16:10:05.770	0.00000000000000319877	2022/11/17 16:10:06.020	0.00000000000085734700
2022/11/17 16:10:06.341	0.00000000001890360000	2022/11/17 16:10:06.591	0.00000000000052685900	2022/11/17 16:10:06.842	0.00000000000032600600	2022/11/17 16:10:07.092	0.00000000000072448800	2022/11/17 16:10:07.342	0.00000000000109618000	2022/11/17 16:10:07.592	0.00000000000265144000	2022/11/17 16:10:07.842	0.00000000000015884900	2022/11/17 16:10:08.093	0.00000000000000034626	2022/11/17 16:10:08.343	0.00000000000077242200
2022/11/17 16:10:08.664	0.00000000001882510000	2022/11/17 16:10:08.914	0.00000000000052939600	2022/11/17 16:10:09.164	0.00000000000032350200	2022/11/17 16:10:09.414	0.00000000000070948100	2022/11/17 16:10:09.664	0.00000000000110280000	2022/11/17 16:10:09.915	0.00000000000257512000	2022/11/17 16:10:10.165	0.00000000000015570500	2022/11/17 16:10:10.665	0.00000000000082796200
