	mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2	2023/01/16 13:30:13.729	1.15342e-10	2023/01/16 13:30:16.980	6.4e-15	2023/01/16 13:30:17.230	2.445e-13	2023/01/16 13:30:17.480	1.118e-13	2023/01/16 13:30:17.730	6.261e-13	2023/01/16 13:30:17.980	1.7033e-12	2023/01/16 13:30:18.230	1.5727e-12	2023/01/16 13:30:18.481	1.01e-13	2023/01/16 13:30:18.731	1.82e-14	2023/01/16 13:30:18.981	2.4295e-11	2023/01/16 13:30:19.733	
3	2023/01/16 13:30:20.125	1.15068e-10	2023/01/16 13:30:23.376	1.079e-13	2023/01/16 13:30:23.626	9.78e-14	2023/01/16 13:30:23.876	3.22e-13	2023/01/16 13:30:24.127	1.782e-13	2023/01/16 13:30:24.377	6.948e-13	2023/01/16 13:30:24.627	1.8453e-12	2023/01/16 13:30:24.877	1.6658e-12	2023/01/16 13:30:25.127	1.975e-13	2023/01/16 13:30:25.377	8.54e-14	2023/01/16 13:30:26.129	2.37037e-11
4	2023/01/16 13:30:26.521	1.1417e-10	2023/01/16 13:30:29.772	1.021e-13	2023/01/16 13:30:30.022	1.1e-13	2023/01/16 13:30:30.272	3.3e-13	2023/01/16 13:30:30.522	2.024e-13	2023/01/16 13:30:30.772	6.987e-13	2023/01/16 13:30:31.022	1.7739e-12	2023/01/16 13:30:31.273	1.661e-12	2023/01/16 13:30:31.523	1.641e-13	2023/01/16 13:30:31.773	1.13e-13	2023/01/16 13:30:32.524	2.3865e-11
5	2023/01/16 13:30:32.916	1.13541e-10	2023/01/16 13:30:36.167	1.3e-13	2023/01/16 13:30:36.417	1.061e-13	2023/01/16 13:30:36.667	3.329e-13	2023/01/16 13:30:36.917	1.897e-13	2023/01/16 13:30:37.167	7.262e-13	2023/01/16 13:30:37.417	1.7026e-12	2023/01/16 13:30:37.668	1.7001e-12	2023/01/16 13:30:37.918	1.787e-13	2023/01/16 13:30:38.168	1.061e-13	2023/01/16 13:30:38.919	2.3865e-11
6	2023/01/16 13:30:39.311	1.1338e-10	2023/01/16 13:30:42.562	1.048e-13	2023/01/16 13:30:42.812	1.199e-13	2023/01/16 13:30:43.062	3.187e-13	2023/01/16 13:30:43.312	1.77e-13	2023/01/16 13:30:43.562	7.049e-13	2023/01/16 13:30:43.812	1.7214e-12	2023/01/16 13:30:44.063	1.6808e-12	2023/01/16 13:30:44.313	1.851e-13	2023/01/16 13:30:44.563	1.008e-13	2023/01/16 13:30:45.314	2.38112e-11
7	2023/01/16 13:30:45.706	1.1367e-10	2023/01/16 13:30:48.957	1.206e-13	2023/01/16 13:30:49.207	8.22e-14	2023/01/16 13:30:49.457	3.229e-13	2023/01/16 13:30:49.707	1.893e-13	2023/01/16 13:30:49.957	7.1e-13	2023/01/16 13:30:50.207	1.7617e-12	2023/01/16 13:30:50.458	1.6483e-12	2023/01/16 13:30:50.708	1.784e-13	2023/01/16 13:30:50.958	9.79e-14	2023/01/16 13:30:51.709	2.39725e-11
8	2023/01/16 13:30:52.101	1.13342e-10	2023/01/16 13:30:55.352	1.162e-13	2023/01/16 13:30:55.602	2.86e-14	2023/01/16 13:30:55.852	3.182e-13	2023/01/16 13:30:56.102	1.853e-13	2023/01/16 13:30:56.352	6.951e-13	2023/01/16 13:30:56.602	1.7169e-12	2023/01/16 13:30:56.853	1.6352e-12	2023/01/16 13:30:57.103	1.887e-13	2023/01/16 13:30:57.353	1.117e-13	2023/01/16 13:30:58.104	2.39725e-11
9	2023/01/16 13:30:58.496	1.13014e-10	2023/01/16 13:31:01.747	8.34e-14	2023/01/16 13:31:01.997	4.12e-14	2023/01/16 13:31:02.247	3.41e-13	2023/01/16 13:31:02.497	1.651e-13	2023/01/16 13:31:02.747	7.38e-13	2023/01/16 13:31:02.997	1.7474e-12	2023/01/16 13:31:03.248	1.6839e-12	2023/01/16 13:31:03.498	1.818e-13	2023/01/16 13:31:03.748	1.006e-13	2023/01/16 13:31:04.499	2.39725e-11
10	2023/01/16 13:31:04.891	1.13095e-10	2023/01/16 13:31:08.142	1.89e-14	2023/01/16 13:31:08.392	1.96e-14	2023/01/16 13:31:08.642	3.222e-13	2023/01/16 13:31:08.892	1.589e-13	2023/01/16 13:31:09.142	7.13e-13	2023/01/16 13:31:09.392	1.7626e-12	2023/01/16 13:31:09.643	1.6774e-12	2023/01/16 13:31:09.893	1.938e-13	2023/01/16 13:31:10.143	1.079e-13	2023/01/16 13:31:10.894	2.41337e-11
11	2023/01/16 13:31:11.286	1.13197e-10	2023/01/16 13:31:14.537	3.48e-14	2023/01/16 13:31:14.787	5.03e-14	2023/01/16 13:31:15.037	3.376e-13	2023/01/16 13:31:15.287	1.916e-13	2023/01/16 13:31:15.537	7.231e-13	2023/01/16 13:31:15.787	1.7351e-12	2023/01/16 13:31:16.038	1.6636e-12	2023/01/16 13:31:16.288	1.931e-13	2023/01/16 13:31:16.538	1.128e-13	2023/01/16 13:31:17.289	2.44562e-11
12	2023/01/16 13:31:17.681	1.13159e-10	2023/01/16 13:31:20.932	2.1e-14	2023/01/16 13:31:21.182	3.19e-14	2023/01/16 13:31:21.432	3.204e-13	2023/01/16 13:31:21.682	1.73e-13	2023/01/16 13:31:21.932	7.05e-13	2023/01/16 13:31:22.182	1.7381e-12	2023/01/16 13:31:22.433	1.6297e-12	2023/01/16 13:31:22.683	1.732e-13	2023/01/16 13:31:22.933	1.093e-13	2023/01/16 13:31:23.684	2.38112e-11
13	2023/01/16 13:31:24.076	1.1267e-10	2023/01/16 13:31:27.327	2.77e-14	2023/01/16 13:31:27.577	4.04e-14	2023/01/16 13:31:27.827	3.283e-13	2023/01/16 13:31:28.077	1.74e-13	2023/01/16 13:31:28.327	6.895e-13	2023/01/16 13:31:28.577	1.7412e-12	2023/01/16 13:31:28.828	1.5926e-12	2023/01/16 13:31:29.078	1.88e-13	2023/01/16 13:31:29.328	1.133e-13	2023/01/16 13:31:30.079	2.39725e-11
14	2023/01/16 13:31:30.471	1.12552e-10	2023/01/16 13:31:33.722	3.74e-14	2023/01/16 13:31:33.972	3.29e-14	2023/01/16 13:31:34.222	3.443e-13	2023/01/16 13:31:34.472	1.995e-13	2023/01/16 13:31:34.722	7.055e-13	2023/01/16 13:31:34.972	1.7113e-12	2023/01/16 13:31:35.223	1.655e-12	2023/01/16 13:31:35.473	1.789e-13	2023/01/16 13:31:35.723	9.9e-14	2023/01/16 13:31:36.474	2.408e-11
15	2023/01/16 13:31:36.866	1.1231e-10	2023/01/16 13:31:40.117	3.55e-14	2023/01/16 13:31:40.367	2.3e-14	2023/01/16 13:31:40.617	3.371e-13	2023/01/16 13:31:40.867	1.989e-13	2023/01/16 13:31:41.117	7.356e-13	2023/01/16 13:31:41.367	1.691e-12	2023/01/16 13:31:41.618	1.627e-12	2023/01/16 13:31:41.868	1.848e-13	2023/01/16 13:31:42.118	9.11e-14	2023/01/16 13:31:42.869	2.408e-11
16	2023/01/16 13:31:43.261	1.12127e-10	2023/01/16 13:31:46.512	2.6e-14	2023/01/16 13:31:46.762	1.72e-14	2023/01/16 13:31:47.012	3.61e-13	2023/01/16 13:31:47.262	1.878e-13	2023/01/16 13:31:47.512	7.009e-13	2023/01/16 13:31:47.762	1.7548e-12	2023/01/16 13:31:48.013	1.6123e-12	2023/01/16 13:31:48.263	1.906e-13	2023/01/16 13:31:48.513	1.05e-13	2023/01/16 13:31:49.264	2.3865e-11
