	Live comments	Time	Elapsed time	injection 100mbar	Barion_2	Barion_1	DUAL experiment	DUAL insulation	injection 1mbar	helium	T-platinum	T-CERNOX	I_emission	I_grid
0		2023-01-16 14:21:17	0.0	68.018	2.72e-09	2.95e-09	4.996e-09	4.015e-07	1.1	237.0	-5.275	4296.952		
1		2023-01-16 14:21:24	7.0	68.018	2.52e-09	2.78e-09	4.996e-09	4.015e-07	1.1	238.0	-5.163	4296.952		
2		2023-01-16 14:21:31	14.0	68.018	2.46e-09	2.73e-09	4.996e-09	4.015e-07	1.1	237.0	-5.163	4296.728		
3		2023-01-16 14:21:38	21.0	68.018	2.43e-09	2.7e-09	4.996e-09	4.015e-07	1.1	237.0	-5.163	4296.952		
4		2023-01-16 14:21:46	29.000000000000004	68.015	2.4e-09	2.68e-09	4.996e-09	4.015e-07	1.1	237.0	-5.163	4297.177		
5		2023-01-16 14:21:53	36.0	68.015	2.39e-09	2.66e-09	4.996e-09	4.015e-07	1.1	237.0	-5.163	4297.177		
6		2023-01-16 14:22:00	43.0	68.018	2.37e-09	2.64e-09	4.996e-09	4.015e-07	1.1	237.0	-5.163	4297.177		
7		2023-01-16 14:22:07	50.0	68.014	2.36e-09	2.63e-09	4.996e-09	4.015e-07	1.1	237.0	-5.163	4297.289		
8		2023-01-16 14:22:14	57.0	68.014	2.34e-09	2.62e-09	4.996e-09	4.015e-07	1.1	237.0	-5.275	4297.065		
9		2023-01-16 14:22:21	64.0	68.018	2.33e-09	2.62e-09	4.996e-09	4.015e-07	1.1	237.0	-5.275	4297.177		
10		2023-01-16 14:22:29	72.0	68.014	2.33e-09	2.61e-09	4.996e-09	4.015e-07	1.1	237.0	-5.163	4297.401		
11		2023-01-16 14:22:36	79.0	68.015	2.32e-09	2.6e-09	4.996e-09	4.015e-07	1.1	237.0	-5.163	4297.177		
12		2023-01-16 14:22:43	86.0	68.013	2.3e-09	2.59e-09	4.996e-09	4.015e-07	1.1	237.0	-5.163	4297.177		
13		2023-01-16 14:22:50	93.0	68.014	2.29e-09	2.59e-09	4.996e-09	4.015e-07	1.1	236.0	-5.275	4297.401		
14		2023-01-16 14:22:57	100.0	68.014	2.29e-09	2.58e-09	4.996e-09	4.015e-07	1.1	237.0	-5.163	4297.626		
15		2023-01-16 14:23:04	107.0	68.014	2.29e-09	2.57e-09	4.996e-09	4.015e-07	1.1	236.0	-5.163	4297.401		
16		2023-01-16 14:23:12	115.00000000000001	68.014	2.28e-09	2.57e-09	4.996e-09	4.015e-07	1.1	236.0	-5.163	4297.626		
17		2023-01-16 14:23:19	122.00000000000001	68.014	2.27e-09	2.57e-09	4.996e-09	4.015e-07	1.1	236.0	-5.275	4297.514		
18		2023-01-16 14:23:26	129.0	68.014	2.26e-09	2.56e-09	4.996e-09	4.015e-07	1.1	236.0	-5.05	4297.514		
19		2023-01-16 14:23:33	136.0	68.014	2.26e-09	2.56e-09	4.996e-09	4.015e-07	1.1	236.0	-5.05	4297.626		
20		2023-01-16 14:23:40	143.0	68.014	2.26e-09	2.55e-09	4.996e-09	4.015e-07	1.1	236.0	-5.163	4297.738		
21		2023-01-16 14:23:47	150.0	68.013	2.26e-09	2.55e-09	4.996e-09	4.015e-07	1.1	236.0	-5.163	4297.85		
22		2023-01-16 14:23:55	158.0	68.014	2.25e-09	2.55e-09	4.996e-09	4.015e-07	1.1	235.0	-5.163	4297.738		
23		2023-01-16 14:24:02	165.0	68.013	2.24e-09	2.54e-09	4.996e-09	4.015e-07	1.1	236.0	-5.163	4297.738		
24		2023-01-16 14:24:09	172.0	68.014	2.24e-09	2.54e-09	4.996e-09	4.015e-07	1.1	236.0	-5.275	4297.85		
25	starting injection	2023-01-16 14:24:16	179.0	68.014	2.23e-09	2.54e-09	4.996e-09	4.015e-07	1.1	236.0	-5.163	4297.85		
26		2023-01-16 14:24:23	186.0	68.014	2.23e-09	2.53e-09	4.996e-09	4.015e-07	1.1	235.0	-5.05	4297.963		
27		2023-01-16 14:24:30	193.0	68.014	2.23e-09	2.54e-09	4.996e-09	4.015e-07	1.1	236.0	-5.163	4298.075		
28		2023-01-16 14:24:38	201.0	68.014	2.23e-09	2.53e-09	4.996e-09	4.015e-07	1.1	235.0	-4.938	4298.187		
29		2023-01-16 14:24:45	208.0	68.014	2.22e-09	2.53e-09	4.996e-09	4.015e-07	1.1	236.0	-5.275	4298.075		
30		2023-01-16 14:24:52	215.0	68.013	2.22e-09	2.53e-09	4.996e-09	4.015e-07	1.1	235.0	-5.275	4298.187		
31		2023-01-16 14:24:59	222.0	68.014	2.21e-09	2.52e-09	4.996e-09	4.015e-07	1.1	235.0	-5.387	4298.299		
32		2023-01-16 14:25:06	229.00000000000003	68.014	2.22e-09	2.53e-09	4.996e-09	4.015e-07	1.1	235.0	-5.163	4298.412		
33		2023-01-16 14:25:13	236.00000000000003	68.014	2.24e-09	2.55e-09	4.996e-09	4.015e-07	1.1	235.0	-5.163	4298.187		
34		2023-01-16 14:25:21	244.00000000000003	68.014	2.31e-09	2.61e-09	4.996e-09	4.015e-07	1.1	235.0	-5.163	4298.412		
35		2023-01-16 14:25:28	251.00000000000003	68.014	2.49e-09	2.83e-09	4.996e-09	4.015e-07	1.1	234.0	-5.163	4298.299		
36		2023-01-16 14:25:35	258.0	68.014	3.43e-09	3.93e-09	4.996e-09	4.015e-07	1.1	235.0	-5.05	4298.524		
37		2023-01-16 14:25:42	265.0	68.014	8.31e-09	8.53e-09	5.499e-09	4.015e-07	1.1	234.0	-5.05	4298.299		
38		2023-01-16 14:25:49	272.0	68.014	1.05e-08	1.07e-08	6.429e-09	4.015e-07	1.1	234.0	-5.163	4298.636		
39		2023-01-16 14:25:57	280.0	68.014	1.12e-08	1.13e-08	6.917e-09	4.015e-07	1.1	235.0	-5.163	4298.636		
40		2023-01-16 14:26:04	287.0	68.014	1.37e-08	1.39e-08	1.005e-08	4.015e-07	1.1	235.0	-5.275	4298.636		
41		2023-01-16 14:26:11	294.0	68.014	3.57e-08	3.58e-08	2.284e-08	4.015e-07	1.1	234.0	-5.163	4298.748		
42		2023-01-16 14:26:18	301.0	68.013	3.66e-08	3.92e-08	7.903e-08	4.015e-07	1.1	234.0	-5.163	4298.748		
43		2023-01-16 14:26:25	308.0	68.013	1.11e-07	1.05e-07	8.056e-08	4.015e-07	1.1	234.0	-5.163	4298.748		
44		2023-01-16 14:26:32	315.0	68.01	2.53e-07	2.59e-07	2.303e-07	4.015e-07	1.1	234.0	-5.163	4299.085		
45		2023-01-16 14:26:39	322.0	68.01	2.85e-07	3.04e-07	7.363e-07	4.015e-07	1.1	234.0	-5.163	4298.973		
46		2023-01-16 14:26:47	330.0	68.002	9.88e-07	1.1e-06	2.187e-06	4.015e-07	1.1	234.0	-5.163	4299.197		
