datetime	Cumulative charge	Cumulative n. of electrons emitted from EGA	Cumulative electron dose on the HL sample	mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value	p_h2	mass 2, corr	Date	Elapsed time	Time	VMon1	VMon2	VMon3	VMon4	VMon5	VMon6	VMon7	VMon8	IMon1	IMon2	IMon3	IMon4	IMon5	IMon6	IMon7	IMon8	Comment	Unnamed: 19	hv_grid	I_em
2022-12-13 17:38:32	0.0	0.0	0.0	2022/12/13 17:38:31.708	2.04018e-11	2022/12/13 17:38:31.958	1.0145e-12	2022/12/13 17:38:32.208	1.3e-14	2022/12/13 17:38:32.458	1.804e-13	2022/12/13 17:38:32.708	4.8e-14	2022/12/13 17:38:32.959	4.423e-13	2022/12/13 17:38:33.209	8.57e-13	2022/12/13 17:38:33.460	8.763e-13	2022/12/13 17:38:33.710	3.41e-14	2022/12/13 17:38:33.960	1.63e-14			2.077059401083833e-12	1.4865454545455325e-13	13/12/2022	509.19000000000005	17:38:32.688	0.04	99.3	0.08	0.0	0.0	0.0	0.0	0.02	-0.0006	0.2789	0.2416	0.1715	0.1065	-0.0149	-0.0275	-0.011			5.999999999999999e-10	2.789e-07
2022-12-13 17:38:38	1.5116195500000014e-05	94347871384573.03	307656102340.999	2022/12/13 17:38:38.033	2.04422e-11	2022/12/13 17:38:38.283	9.752e-13	2022/12/13 17:38:38.533	1.69e-14	2022/12/13 17:38:38.783	1.923e-13	2022/12/13 17:38:39.033	2.25e-14	2022/12/13 17:38:39.284	4.441e-13	2022/12/13 17:38:39.534	8.691e-13	2022/12/13 17:38:39.785	9.406e-13	2022/12/13 17:38:40.035	2.68e-14	2022/12/13 17:38:40.285	2.09e-14			2.641543988804957e-12	1.8905454545455215e-13	13/12/2022	514.6850000000001	17:38:38.183	0.04	100.04	441.1	170.88	0.0	0.0	0.0	0.02	-0.0006	2.7509	8.7914	8.253	7.2076	-0.0149	-0.0275	-0.011			5.999999999999999e-10	2.7509e-06
2022-12-13 17:38:44	3.7594694499999955e-05	234647626873329.84	765155305021.7278	2022/12/13 17:38:44.358	2.05292e-11	2022/12/13 17:38:44.608	9.961e-13	2022/12/13 17:38:44.858	1.65e-14	2022/12/13 17:38:45.108	1.819e-13	2022/12/13 17:38:45.358	3.38e-14	2022/12/13 17:38:45.609	4.432e-13	2022/12/13 17:38:45.859	8.397e-13	2022/12/13 17:38:46.110	9.263e-13	2022/12/13 17:38:46.360	2.49e-14	2022/12/13 17:38:46.610	1.65e-14			3.85714198711533e-12	2.760545454545521e-13	13/12/2022	520.75	17:38:44.248	0.08	100.16	998.42	762.8	0.0	0.0	0.0	0.02	-0.0006	1.2139	18.1883	18.0336	17.601	-0.0149	-0.0275	-0.0114			5.999999999999999e-10	1.2139e-06
2022-12-13 17:38:52	6.30759230999999e-05	393688946408638.6	1283768303506.4304	2022/12/13 17:38:50.683	2.04884e-11	2022/12/13 17:38:50.933	1.0113e-12	2022/12/13 17:38:51.183	1.27e-14	2022/12/13 17:38:51.433	1.764e-13	2022/12/13 17:38:51.683	3.76e-14	2022/12/13 17:38:51.934	4.308e-13	2022/12/13 17:38:52.184	7.932e-13	2022/12/13 17:38:52.434	8.994e-13	2022/12/13 17:38:52.685	2.32e-14	2022/12/13 17:38:52.935	1.52e-14			3.2870684430801147e-12	2.352545454545517e-13	13/12/2022	528.654	17:38:52.152	0.08	100.12	999.66	999.66	541.68	0.0	0.0	0.02	-0.0006	0.3799	24.9311	24.9099	24.8876	-0.0149	-0.0272	-0.0114			5.999999999999999e-10	3.799e-07
2022-12-13 17:38:58	9.050372009999984e-05	564879790276605.9	1841999316119.367	2022/12/13 17:38:57.008	2.13495e-11	2022/12/13 17:38:57.258	1.0559e-12	2022/12/13 17:38:57.508	1.18e-14	2022/12/13 17:38:57.758	1.923e-13	2022/12/13 17:38:58.008	2.66e-14	2022/12/13 17:38:58.259	4.261e-13	2022/12/13 17:38:58.509	8.61e-13	2022/12/13 17:38:58.759	8.376e-13	2022/12/13 17:38:59.010	2.27e-14	2022/12/13 17:38:59.260	2.44e-14			1.5318694148195818e-11	1.0963545454545542e-12	13/12/2022	534.688	17:38:58.186	0.1	100.1	999.74	999.72	999.74	0.0	0.0	0.02	-0.0577	0.3226	29.8618	29.8374	29.848	-0.0149	-0.0271	-0.0114			5.77e-08	3.226e-07
2022-12-13 17:39:04	0.00011992094829999978	748487687032388.6	2440720718583.876	2022/12/13 17:39:03.333	2.10178e-11	2022/12/13 17:39:03.583	1.0167e-12	2022/12/13 17:39:03.833	1.85e-14	2022/12/13 17:39:04.083	1.865e-13	2022/12/13 17:39:04.333	2.43e-14	2022/12/13 17:39:04.584	4.181e-13	2022/12/13 17:39:04.834	8.555e-13	2022/12/13 17:39:05.084	8.764e-13	2022/12/13 17:39:05.335	4.29e-14	2022/12/13 17:39:05.585	1.6e-14			1.0684052124752663e-11	7.646545454545514e-13	13/12/2022	540.702	17:39:04.200	0.1	100.1	999.78	999.76	999.74	0.0	0.0	0.02	-0.051	0.3308	29.8916	29.8982	29.8914	-0.0149	-0.0271	-0.0114			5.0999999999999993e-08	3.3079999999999997e-07
2022-12-13 17:39:10	0.00015129096929999974	944283957769913.1	3079186818814.934	2022/12/13 17:39:09.658	2.08668e-11	2022/12/13 17:39:09.908	1.0196e-12	2022/12/13 17:39:10.158	1.39e-14	2022/12/13 17:39:10.408	1.745e-13	2022/12/13 17:39:10.658	1.9e-14	2022/12/13 17:39:10.909	4.191e-13	2022/12/13 17:39:11.159	8.531e-13	2022/12/13 17:39:11.409	8.978e-13	2022/12/13 17:39:11.660	2.22e-14	2022/12/13 17:39:11.910	1.29e-14			8.574221116190984e-12	6.136545454545518e-13	13/12/2022	546.6940000000001	17:39:10.192	0.06	100.1	999.78	999.8	999.72	0.0	0.0	0.02	-0.085	0.3259	29.9704	29.9795	29.9755	-0.0149	-0.0271	-0.0114			8.500000000000001e-08	3.259e-07
2022-12-13 17:39:16	0.0001846735413999997	1152641584460903.5	3758613862372.5117	2022/12/13 17:39:15.983	2.08324e-11	2022/12/13 17:39:16.233	1.0322e-12	2022/12/13 17:39:16.483	1.88e-14	2022/12/13 17:39:16.733	1.621e-13	2022/12/13 17:39:16.983	1.87e-14	2022/12/13 17:39:17.234	4.409e-13	2022/12/13 17:39:17.484	7.937e-13	2022/12/13 17:39:17.734	8.866e-13	2022/12/13 17:39:17.985	2.41e-14	2022/12/13 17:39:18.235	1.59e-14			8.093570873180919e-12	5.792545454545526e-13	13/12/2022	552.707	17:39:16.205	0.12	100.1	999.8	999.8	999.72	0.0	0.0	0.02	-0.1119	0.3347	30.0503	30.0621	30.0536	-0.0149	-0.0258	-0.0114			1.1189999999999999e-07	3.347e-07
2022-12-13 17:39:22	0.00022008091689999966	1373637039946993.0	4479251217218.455	2022/12/13 17:39:22.308	2.08824e-11	2022/12/13 17:39:22.558	9.994e-13	2022/12/13 17:39:22.808	1.3e-14	2022/12/13 17:39:23.058	1.867e-13	2022/12/13 17:39:23.308	3.3e-14	2022/12/13 17:39:23.559	4.514e-13	2022/12/13 17:39:23.809	8.615e-13	2022/12/13 17:39:24.059	8.851e-13	2022/12/13 17:39:24.310	2.17e-14	2022/12/13 17:39:24.560	1.96e-14			8.792190412439742e-12	6.292545454545518e-13	13/12/2022	558.6940000000001	17:39:22.192	0.1	100.1	999.8	999.82	999.76	0.0	0.0	0.02	-0.064	0.3382	30.1237	30.1366	30.1277	-0.0149	-0.0258	-0.0114			6.4e-08	3.382e-07
2022-12-13 17:39:29	0.0002579983386999996	1610298972191848.8	5250974909321.246	2022/12/13 17:39:28.633	2.06948e-11	2022/12/13 17:39:28.883	1.0181e-12	2022/12/13 17:39:29.133	1.55e-14	2022/12/13 17:39:29.383	1.821e-13	2022/12/13 17:39:29.633	3.76e-14	2022/12/13 17:39:29.884	4.274e-13	2022/12/13 17:39:30.134	8.476e-13	2022/12/13 17:39:30.385	9.415e-13	2022/12/13 17:39:30.635	3.5e-14	2022/12/13 17:39:30.885	2.09e-14			6.170969901140605e-12	4.416545454545529e-13	13/12/2022	565.913	17:39:29.411	0.1	100.1	999.82	999.86	999.78	0.0	0.0	0.02	-0.0605	0.3477	30.2146	30.2277	30.2173	-0.0149	-0.0258	-0.0118			6.049999999999999e-08	3.4769999999999997e-07
