F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/01/12 17:14:25.719	0.00000000008944000000	2023/01/12 17:14:25.969	0.00000000002461750000	2023/01/12 17:14:26.220	0.00000000002467120000	2023/01/12 17:14:26.470	0.00000000002488620000	2023/01/12 17:14:26.720	0.00000000002483250000	2023/01/12 17:14:26.971	0.00000000002526250000	2023/01/12 17:14:27.221	0.00000000002590750000	2023/01/12 17:14:27.471	0.00000000002682120000	2023/01/12 17:14:27.721	0.00000000002477870000	2023/01/12 17:14:27.971	0.00000000002456370000	2023/01/12 17:14:28.222	0.00000000002499370000
2023/01/12 17:14:28.543	0.00000000009509990000	2023/01/12 17:14:28.793	0.00000000003352920000	2023/01/12 17:14:29.044	0.00000000003354530000	2023/01/12 17:14:29.294	0.00000000003350230000	2023/01/12 17:14:29.544	0.00000000003329270000	2023/01/12 17:14:29.794	0.00000000003386250000	2023/01/12 17:14:30.044	0.00000000003471710000	2023/01/12 17:14:30.294	0.00000000003527610000	2023/01/12 17:14:30.545	0.00000000003329810000	2023/01/12 17:14:30.795	0.00000000003342710000	2023/01/12 17:14:31.045	0.00000000002515500000
2023/01/12 17:14:31.367	0.00000000009361100000	2023/01/12 17:14:34.618	0.00000000000002580000	2023/01/12 17:14:34.868	0.00000000000000483750	2023/01/12 17:14:35.118	0.00000000000024940000	2023/01/12 17:14:35.369	0.00000000000010212500	2023/01/12 17:14:35.619	0.00000000000051868700	2023/01/12 17:14:35.869	0.00000000000122442000	2023/01/12 17:14:36.119	0.00000000000190705000	2023/01/12 17:14:36.369	0.00000000000011018700	2023/01/12 17:14:37.371	0.00000000002504750000
2023/01/12 17:14:37.692	0.00000000009281010000	2023/01/12 17:14:40.943	0.00000000000009949130	2023/01/12 17:14:41.193	0.00000000000007600250	2023/01/12 17:14:41.443	0.00000000000029170100	2023/01/12 17:14:41.694	0.00000000000018060000	2023/01/12 17:14:41.944	0.00000000000060581600	2023/01/12 17:14:42.194	0.00000000000128408000	2023/01/12 17:14:42.444	0.00000000000201417000	2023/01/12 17:14:42.694	0.00000000000018946800	2023/01/12 17:14:42.945	0.00000000000010293100	2023/01/12 17:14:43.696	0.00000000002499370000
2023/01/12 17:14:44.017	0.00000000009198780000	2023/01/12 17:14:47.268	0.00000000000009852380	2023/01/12 17:14:47.518	0.00000000000011248800	2023/01/12 17:14:47.768	0.00000000000030421900	2023/01/12 17:14:48.019	0.00000000000017253200	2023/01/12 17:14:48.269	0.00000000000058791200	2023/01/12 17:14:48.519	0.00000000000129376000	2023/01/12 17:14:48.769	0.00000000000199794000	2023/01/12 17:14:49.019	0.00000000000021218900	2023/01/12 17:14:49.270	0.00000000000009216510	2023/01/12 17:14:50.021	0.00000000002434870000
2023/01/12 17:14:50.342	0.00000000009152550000	2023/01/12 17:14:53.593	0.00000000000007819010	2023/01/12 17:14:53.843	0.00000000000009555680	2023/01/12 17:14:54.093	0.00000000000031295900	2023/01/12 17:14:54.344	0.00000000000019368200	2023/01/12 17:14:54.594	0.00000000000060241900	2023/01/12 17:14:54.844	0.00000000000129747000	2023/01/12 17:14:55.094	0.00000000000196225000	2023/01/12 17:14:55.344	0.00000000000020349700	2023/01/12 17:14:55.595	0.00000000000009578790	2023/01/12 17:14:56.346	0.00000000002467120000
2023/01/12 17:14:56.667	0.00000000009081060000	2023/01/12 17:14:59.918	0.00000000000002974680	2023/01/12 17:15:00.168	0.00000000000011501900	2023/01/12 17:15:00.418	0.00000000000030270900	2023/01/12 17:15:00.669	0.00000000000018456100	2023/01/12 17:15:00.919	0.00000000000059379800	2023/01/12 17:15:01.169	0.00000000000129736000	2023/01/12 17:15:01.419	0.00000000000198611000	2023/01/12 17:15:01.669	0.00000000000019546100	2023/01/12 17:15:01.920	0.00000000000009214360	2023/01/12 17:15:02.671	0.00000000002456370000
2023/01/12 17:15:02.992	0.00000000009095040000	2023/01/12 17:15:06.243	0.00000000000002846170	2023/01/12 17:15:06.493	0.00000000000010313500	2023/01/12 17:15:06.743	0.00000000000032764900	2023/01/12 17:15:06.994	0.00000000000018145400	2023/01/12 17:15:07.244	0.00000000000061318000	2023/01/12 17:15:07.494	0.00000000000128532000	2023/01/12 17:15:07.744	0.00000000000196617000	2023/01/12 17:15:07.994	0.00000000000019372000	2023/01/12 17:15:08.245	0.00000000000009300900	2023/01/12 17:15:08.996	0.00000000002472500000
2023/01/12 17:15:09.317	0.00000000009028390000	2023/01/12 17:15:12.568	0.00000000000002224120	2023/01/12 17:15:12.818	0.00000000000012607600	2023/01/12 17:15:13.068	0.00000000000032276300	2023/01/12 17:15:13.319	0.00000000000018739400	2023/01/12 17:15:13.569	0.00000000000060574600	2023/01/12 17:15:13.819	0.00000000000126511000	2023/01/12 17:15:14.069	0.00000000000191753000	2023/01/12 17:15:14.319	0.00000000000018809200	2023/01/12 17:15:14.570	0.00000000000011737900	2023/01/12 17:15:15.321	0.00000000002429500000
2023/01/12 17:15:15.642	0.00000000009045590000	2023/01/12 17:15:18.893	0.00000000000003317070	2023/01/12 17:15:19.143	0.00000000000012145300	2023/01/12 17:15:19.393	0.00000000000029554400	2023/01/12 17:15:19.644	0.00000000000018212100	2023/01/12 17:15:19.894	0.00000000000057063100	2023/01/12 17:15:20.144	0.00000000000123888000	2023/01/12 17:15:20.394	0.00000000000194924000	2023/01/12 17:15:20.644	0.00000000000019076900	2023/01/12 17:15:20.895	0.00000000000010273700	2023/01/12 17:15:21.646	0.00000000002477870000
