datetime	Date	Elapsed time	Time	VMon1	VMon2	VMon3	VMon4	VMon5	VMon6	VMon7	VMon8	IMon1	IMon2	IMon3	IMon4	IMon5	IMon6	IMon7	IMon8	Comment	hv_grid	em
2023-01-12 17:14:31	12/01/2023	9.439	17:14:31.799	0.0	0.08	0.22	0.18	0.08	0.04	0.0	0.04	0.0021	0.0069	0.0191	0.0021	-0.0342	0.0328	-0.0226	-0.0159		2.0999999999999998e-09	6.9e-09
2023-01-12 17:14:38	12/01/2023	16.525000000000002	17:14:38.885	0.02	0.1	0.26	0.16	0.06	0.04	0.0	0.04	0.0008	0.0069	0.0198	-0.0343	0.0019	0.0372	-0.0226	-0.0159		8e-10	6.9e-09
2023-01-12 17:14:44	12/01/2023	22.424000000000003	17:14:44.784	0.02	0.1	0.2	0.2	0.1	0.06	0.0	0.04	0.0002	0.0069	0.0247	-0.036	-0.0581	-0.0348	-0.0226	-0.0159		2e-10	6.9e-09
2023-01-12 17:14:50	12/01/2023	28.319000000000003	17:14:50.679	0.02	0.1	0.22	0.16	0.1	0.06	0.0	0.04	0.0	0.0069	0.0287	0.0254	0.023	0.028	-0.0226	-0.0159		0.0	6.9e-09
2023-01-12 17:14:57	12/01/2023	35.402	17:14:57.762	0.02	0.1	0.26	0.14	0.08	0.04	0.0	0.04	-0.0005	0.0078	0.0189	0.0353	0.0171	0.026	-0.0226	-0.0159		5e-10	7.799999999999999e-09
2023-01-12 17:15:03	12/01/2023	41.303000000000004	17:15:03.663	0.02	0.1	0.18	0.16	0.1	0.06	0.0	0.04	0.0001	0.0078	0.0186	-0.0413	-0.0435	-0.0235	-0.0226	-0.0159		1e-10	7.799999999999999e-09
2023-01-12 17:15:09	12/01/2023	47.209	17:15:09.569	0.02	0.1	0.22	0.14	0.06	0.04	0.0	0.04	-0.0004	0.0078	0.0185	0.0358	0.0351	0.0335	-0.0222	-0.0159		4e-10	7.799999999999999e-09
2023-01-12 17:15:16	12/01/2023	54.291000000000004	17:15:16.651	0.02	0.1	0.16	0.12	0.1	0.04	0.0	0.04	0.0019	0.0081	0.0151	0.0448	-0.0336	0.0353	-0.0215	-0.0159		1.9e-09	8.1e-09
2023-01-12 17:15:22	12/01/2023	60.202000000000005	17:15:22.562	0.02	0.1	0.18	0.18	0.06	0.04	0.0	0.04	0.0019	0.0093	0.0139	0.0332	0.0278	0.033	-0.0214	-0.0159		1.9e-09	9.299999999999999e-09
2023-01-12 17:15:28	12/01/2023	66.10600000000001	17:15:28.466	0.02	0.1	0.22	0.16	0.12	0.08	0.0	0.04	-0.0013	0.0101	0.0149	-0.022	0.0203	0.0264	-0.0214	-0.0159		1.2999999999999999e-09	1.01e-08
2023-01-12 17:15:35	12/01/2023	73.184	17:15:35.544	0.02	0.1	0.22	0.18	0.06	0.02	0.0	0.04	-0.0013	0.0093	0.0163	0.0204	0.0358	0.0388	-0.0214	-0.0159		1.2999999999999999e-09	9.299999999999999e-09
2023-01-12 17:15:41	12/01/2023	79.107	17:15:41.467	0.02	0.1	0.2	0.16	0.1	0.04	0.0	0.04	-0.0019	0.0099	0.0195	-0.0279	0.0213	0.0306	-0.0214	-0.0159		1.9e-09	9.900000000000001e-09
2023-01-12 17:15:50	12/01/2023	88.551	17:15:50.911	0.02	0.08	0.22	0.14	0.12	0.02	0.0	0.04	-0.0029	0.0099	0.0177	0.0415	0.0175	0.0295	-0.0214	-0.0159		2.8999999999999995e-09	9.900000000000001e-09
2023-01-12 17:15:57	12/01/2023	95.641	17:15:58.001	0.02	0.08	0.18	0.14	0.06	0.06	0.0	0.04	-0.0017	0.0099	0.0189	0.0272	0.0282	0.0271	-0.0214	-0.0159		1.7e-09	9.900000000000001e-09
2023-01-12 17:16:03	12/01/2023	101.53500000000001	17:16:03.895	0.02	0.08	0.22	0.16	0.06	0.04	0.0	0.04	-0.0013	0.0099	0.0187	0.0289	0.0197	0.0271	-0.0214	-0.0159		1.2999999999999999e-09	9.900000000000001e-09
2023-01-12 17:16:09	12/01/2023	107.43900000000001	17:16:09.799	0.02	0.08	0.16	0.18	0.08	0.06	0.0	0.04	-0.0013	0.0102	0.0243	-0.0274	0.0219	-0.0321	-0.0214	-0.0159		1.2999999999999999e-09	1.02e-08
2023-01-12 17:16:16	12/01/2023	114.521	17:16:16.881	0.02	0.08	0.2	0.12	0.12	0.02	0.0	0.04	-0.0029	0.0111	0.0218	0.0429	0.0154	0.0419	-0.0214	-0.0157		2.8999999999999995e-09	1.11e-08
2023-01-12 17:16:22	12/01/2023	120.433	17:16:22.793	0.02	0.08	0.2	0.12	0.12	0.04	0.0	0.04	-0.0029	0.0134	0.0218	0.0375	0.015	-0.0219	-0.0214	-0.0157		2.8999999999999995e-09	1.34e-08
2023-01-12 17:16:28	12/01/2023	126.33800000000001	17:16:28.698	0.02	0.08	0.2	0.12	0.1	0.06	0.0	0.04	-0.0029	0.0131	0.0218	0.0331	0.0154	-0.0335	-0.0214	-0.0157		2.8999999999999995e-09	1.31e-08
2023-01-12 17:16:35	12/01/2023	133.42600000000002	17:16:35.786	0.02	0.08	0.2	0.14	0.1	0.04	0.0	0.04	-0.0042	0.0131	0.0217	0.0295	0.0102	0.0175	-0.0217	-0.0157		4.1999999999999996e-09	1.31e-08
2023-01-12 17:16:41	12/01/2023	139.33700000000002	17:16:41.697	0.02	0.08	0.2	0.14	0.08	0.04	0.0	0.04	-0.0042	0.0131	0.0217	0.0298	0.0167	0.0252	-0.0217	-0.0157		4.1999999999999996e-09	1.31e-08
2023-01-12 17:16:47	12/01/2023	145.23100000000002	17:16:47.591	0.02	0.08	0.2	0.12	0.08	0.04	0.0	0.04	-0.0042	0.0118	0.0206	0.0297	0.0149	0.0272	-0.0217	-0.0155		4.1999999999999996e-09	1.18e-08
