	Timestamp, mass 2	mass 2.0_value	Timestamp, mass 4	mass 4.0_value	Timestamp, mass 5.5	mass 5.5_value	Timestamp, mass 12	mass 12.0_value	Timestamp, mass 15	mass 15.0_value	Timestamp, mass 16	mass 16.0_value	Timestamp, mass 18	mass 18.0_value	Timestamp, mass 28	mass 28.0_value	Timestamp, mass 32	mass 32.0_value	Timestamp, mass 40	mass 40.0_value	Timestamp, mass 44	mass 44.0_value
0	2023-01-12 17:14:44.017		2023-01-12 17:14:44.017		2023-01-12 17:14:44.017		2023-01-12 17:14:44.017		2023-01-12 17:14:44.017		2023-01-12 17:14:44.017		2023-01-12 17:14:44.017		2023-01-12 17:14:44.017		2023-01-12 17:14:44.017		2023-01-12 17:14:44.017		2023-01-12 17:14:44.017	
1	2023-01-12 17:14:50.342		2023-01-12 17:14:50.342		2023-01-12 17:14:50.342		2023-01-12 17:14:50.342		2023-01-12 17:14:50.342		2023-01-12 17:14:50.342		2023-01-12 17:14:50.342		2023-01-12 17:14:50.342		2023-01-12 17:14:50.342		2023-01-12 17:14:49.591		2023-01-12 17:14:44.017	
2	2023-01-12 17:14:56.667	9.3611e-11	2023-01-12 17:14:56.667	2.58e-14	2023-01-12 17:14:56.667	4.8e-15	2023-01-12 17:14:56.667	2.494e-13	2023-01-12 17:14:56.667	1.021e-13	2023-01-12 17:14:56.667	5.186e-13	2023-01-12 17:14:56.667	1.2244e-12	2023-01-12 17:14:56.667	1.907e-12	2023-01-12 17:14:56.667	1.101e-13	2023-01-12 17:14:55.916	2.50475e-11	2023-01-12 17:14:44.017	
3	2023-01-12 17:15:02.992	9.28101e-11	2023-01-12 17:15:02.992	9.94e-14	2023-01-12 17:15:02.992	7.6e-14	2023-01-12 17:15:02.992	2.917e-13	2023-01-12 17:15:02.992	1.806e-13	2023-01-12 17:15:02.992	6.058e-13	2023-01-12 17:15:02.992	1.284e-12	2023-01-12 17:15:02.992	2.0141e-12	2023-01-12 17:15:02.992	1.894e-13	2023-01-12 17:15:02.241	1.029e-13	2023-01-12 17:14:44.017	2.49937e-11
4	2023-01-12 17:15:09.317	9.19878e-11	2023-01-12 17:15:09.317	9.85e-14	2023-01-12 17:15:09.317	1.124e-13	2023-01-12 17:15:09.317	3.042e-13	2023-01-12 17:15:09.317	1.725e-13	2023-01-12 17:15:09.317	5.879e-13	2023-01-12 17:15:09.317	1.2937e-12	2023-01-12 17:15:09.317	1.9979e-12	2023-01-12 17:15:09.317	2.121e-13	2023-01-12 17:15:08.566	9.21e-14	2023-01-12 17:14:44.017	2.43487e-11
5	2023-01-12 17:15:15.642	9.15255e-11	2023-01-12 17:15:15.642	7.81e-14	2023-01-12 17:15:15.642	9.55e-14	2023-01-12 17:15:15.642	3.129e-13	2023-01-12 17:15:15.642	1.936e-13	2023-01-12 17:15:15.642	6.024e-13	2023-01-12 17:15:15.642	1.2974e-12	2023-01-12 17:15:15.642	1.9622e-12	2023-01-12 17:15:15.642	2.034e-13	2023-01-12 17:15:14.891	9.57e-14	2023-01-12 17:14:44.017	2.46712e-11
6	2023-01-12 17:15:21.967	9.08106e-11	2023-01-12 17:15:21.967	2.97e-14	2023-01-12 17:15:21.967	1.15e-13	2023-01-12 17:15:21.967	3.027e-13	2023-01-12 17:15:21.967	1.845e-13	2023-01-12 17:15:21.967	5.937e-13	2023-01-12 17:15:21.967	1.2973e-12	2023-01-12 17:15:21.967	1.9861e-12	2023-01-12 17:15:21.967	1.954e-13	2023-01-12 17:15:21.216	9.21e-14	2023-01-12 17:14:44.017	2.45637e-11
7	2023-01-12 17:15:28.292	9.09504e-11	2023-01-12 17:15:28.292	2.84e-14	2023-01-12 17:15:28.292	1.031e-13	2023-01-12 17:15:28.292	3.276e-13	2023-01-12 17:15:28.292	1.814e-13	2023-01-12 17:15:28.292	6.131e-13	2023-01-12 17:15:28.292	1.2853e-12	2023-01-12 17:15:28.292	1.9661e-12	2023-01-12 17:15:28.292	1.937e-13	2023-01-12 17:15:27.541	9.3e-14	2023-01-12 17:14:44.017	2.4725e-11
8	2023-01-12 17:15:34.617	9.02839e-11	2023-01-12 17:15:34.617	2.22e-14	2023-01-12 17:15:34.617	1.26e-13	2023-01-12 17:15:34.617	3.227e-13	2023-01-12 17:15:34.617	1.873e-13	2023-01-12 17:15:34.617	6.057e-13	2023-01-12 17:15:34.617	1.2651e-12	2023-01-12 17:15:34.617	1.9175e-12	2023-01-12 17:15:34.617	1.88e-13	2023-01-12 17:15:33.866	1.173e-13	2023-01-12 17:14:44.017	2.4295e-11
9	2023-01-12 17:15:40.942	9.04559e-11	2023-01-12 17:15:40.942	3.31e-14	2023-01-12 17:15:40.942	1.214e-13	2023-01-12 17:15:40.942	2.955e-13	2023-01-12 17:15:40.942	1.821e-13	2023-01-12 17:15:40.942	5.706e-13	2023-01-12 17:15:40.942	1.2388e-12	2023-01-12 17:15:40.942	1.9492e-12	2023-01-12 17:15:40.942	1.907e-13	2023-01-12 17:15:40.191	1.027e-13	2023-01-12 17:14:44.017	2.47787e-11
