	Live comments	Time	Elapsed time	injection 100mbar	Barion_2	Barion_1	DUAL experiment	DUAL insulation	injection 1mbar	helium	T-platinum	T-CERNOX	I_emission	I_grid
0		2023-01-12 14:57:04	0.0	-0.018483	1.9e-09	1e-09	4.996e-09	4.528e-07	0.00056937	235.0	-5.163	4249.253		
1		2023-01-12 14:57:11	7.0	-0.014883	1.9e-09	1e-09	4.996e-09	4.533e-07	0.00057185	235.0	-5.163	4249.702		
2		2023-01-12 14:57:18	14.0	-0.015426	1.9e-09	9.97e-10	4.996e-09	4.533e-07	0.00057137	235.0	-5.163	4250.039		
3		2023-01-12 14:57:26	22.0	-0.014883	1.89e-09	9.89e-10	4.996e-09	4.533e-07	0.00060588	235.0	-5.05	4250.264		
4		2023-01-12 14:57:33	29.000000000000004	-0.017521	1.89e-09	9.92e-10	4.996e-09	4.533e-07	0.00056937	234.0	-5.275	4250.039		
5		2023-01-12 14:57:40	36.0	-0.018877	1.89e-09	9.96e-10	4.996e-09	4.533e-07	0.00056913	235.0	-5.163	4250.488		
6		2023-01-12 14:57:47	43.0	-0.017029	1.88e-09	9.98e-10	4.996e-09	4.539e-07	0.00040862	235.0	-5.163	4250.6		
7		2023-01-12 14:57:54	50.0	-0.014809	1.88e-09	9.98e-10	4.996e-09	4.533e-07	0.00032407	235.0	-5.275	4250.825		
8		2023-01-12 14:58:02	58.00000000000001	-0.014564	1.88e-09	1e-09	4.996e-09	4.533e-07	0.0003258	235.0	-5.275	4250.937		
9		2023-01-12 14:58:09	65.0	-0.018212	1.87e-09	9.97e-10	4.996e-09	4.539e-07	0.00032726	234.0	-5.163	4251.161		
10		2023-01-12 14:58:16	72.0	-0.014538	1.87e-09	9.93e-10	4.996e-09	4.539e-07	0.00031692	234.0	-5.275	4251.386		
11		2023-01-12 14:58:23	79.0	-0.014439	1.86e-09	9.83e-10	4.996e-09	4.539e-07	0.67623	235.0	-5.05	4251.274		
12		2023-01-12 14:58:30	86.0	-0.015008	1.86e-09	9.96e-10	4.996e-09	4.544e-07	0.67641	234.0	-5.275	4251.835		
13		2023-01-12 14:58:37	93.0	-0.014439	1.85e-09	9.93e-10	4.996e-09	4.544e-07	0.67642	235.0	-5.275	4251.835		
14		2023-01-12 14:58:45	101.0	-0.019494	1.86e-09	9.92e-10	4.996e-09	4.549e-07	0.67665	234.0	-5.163	4252.059		
15		2023-01-12 14:58:52	108.0	-0.01508	1.84e-09	9.84e-10	4.996e-09	4.549e-07	0.6767	234.0	-5.163	4251.947		
16		2023-01-12 14:58:59	115.00000000000001	-0.01508	1.85e-09	9.83e-10	4.996e-09	4.555e-07	0.67667	234.0	-5.275	4252.172		
17		2023-01-12 14:59:06	122.00000000000001	-0.018707	1.85e-09	9.89e-10	4.996e-09	4.555e-07	0.67665	234.0	-5.163	4252.396		
18		2023-01-12 14:59:13	129.0	-0.015426	1.85e-09	9.91e-10	4.996e-09	4.56e-07	0.67665	235.0	-5.05	4252.508		
19		2023-01-12 14:59:21	137.0	-0.01471	1.85e-09	9.92e-10	4.996e-09	4.56e-07	0.67662	235.0	-5.275	4252.62		
20		2023-01-12 14:59:28	144.0	-0.018114	1.84e-09	9.88e-10	4.996e-09	4.56e-07	0.67662	234.0	-5.05	4252.733		
21		2023-01-12 14:59:35	151.0	-0.015303	1.84e-09	9.82e-10	4.996e-09	4.56e-07	0.67658	234.0	-5.05	4252.957		
22		2023-01-12 14:59:42	158.0	-0.016585	1.83e-09	9.88e-10	4.996e-09	4.571e-07	0.67655	234.0	-5.275	4253.069		
23		2023-01-12 14:59:49	165.0	-0.018927	1.83e-09	9.86e-10	4.996e-09	4.571e-07	0.67655	234.0	-5.163	4252.957		
24		2023-01-12 14:59:56	172.0	-0.0191	1.84e-09	9.96e-10	4.996e-09	4.571e-07	0.67654	234.0	-5.163	4252.957		
25		2023-01-12 15:00:04	180.0	-0.01528	1.86e-09	1.04e-09	4.996e-09	4.571e-07	0.67653	234.0	-5.275	4253.182		
26		2023-01-12 15:00:11	187.0	-0.014883	1.99e-09	1.39e-09	4.996e-09	4.577e-07	0.67651	234.0	-5.275	4253.294		
27		2023-01-12 15:00:18	194.0	-0.014836	2.87e-09	3.35e-09	4.996e-09	4.582e-07	0.6765	233.0	-5.163	4253.406		
28		2023-01-12 15:00:25	201.0	-0.015008	2.94e-09	3.45e-09	4.996e-09	4.582e-07	0.6765	233.0	-5.387	4253.518		
29	closed turbo valve	2023-01-12 15:00:32	208.0	-0.015476	2.95e-09	3.47e-09	4.996e-09	4.582e-07	0.67649	234.0	-5.275	4253.631		
30		2023-01-12 15:00:39	215.0	-0.018877	2.96e-09	3.49e-09	4.996e-09	4.588e-07	0.67646	234.0	-5.275	4253.518		
31	starting injection	2023-01-12 15:00:47	223.0	-0.014809	2.97e-09	3.5e-09	4.996e-09	4.588e-07	0.67646	234.0	-5.387	4253.855		
32		2023-01-12 15:00:54	230.00000000000003	-0.014859	2.97e-09	3.51e-09	4.996e-09	4.593e-07	0.67645	233.0	-5.275	4253.855		
33		2023-01-12 15:01:01	237.00000000000003	-0.015524	2.98e-09	3.52e-09	4.996e-09	4.593e-07	0.67646	234.0	-5.163	4253.967		
34		2023-01-12 15:01:08	244.00000000000003	-0.015032	2.98e-09	3.53e-09	4.996e-09	4.588e-07	0.62235	233.0	-5.387	4254.08		
35		2023-01-12 15:01:15	251.00000000000003	-0.014096	1.18e-05	1.07e-05	7.781e-06	4.593e-07	0.51179	233.0	-5.275	4254.192		
36		2023-01-12 15:01:22	258.0	-0.018805	6.66e-06	4.77e-06	3.656e-06	4.599e-07	0.45096	233.0	-5.275	4254.304		
37		2023-01-12 15:01:30	266.0	-0.015154	3.87e-06	3.67e-06	3.394e-06	4.599e-07	0.4054	234.0	-5.275	4254.528		
38		2023-01-12 15:01:37	273.0	-0.015131	3.76e-06	3.65e-06	1.122e-06	4.599e-07	0.38045	234.0	-5.275	4254.416		
39		2023-01-12 15:01:44	280.0	-0.014958	1.84e-08	1.84e-08	1.15e-08	4.599e-07	0.38045	233.0	-4.938	4254.416		
40		2023-01-12 15:01:51	287.0	-0.014934	1.16e-08	1.19e-08	8.721e-09	4.604e-07	0.38045	234.0	-5.163	4254.641		
41		2023-01-12 15:01:58	294.0	-0.015327	9.48e-09	9.94e-09	7.633e-09	4.615e-07	0.38046	234.0	-5.163	4254.641		
42		2023-01-12 15:02:05	301.0	-0.018731	8.38e-09	8.89e-09	6.934e-09	4.615e-07	0.38046	233.0	-5.275	4254.753		
43		2023-01-12 15:02:12	308.0	-0.015402	7.68e-09	8.18e-09	6.834e-09	4.621e-07	0.38045	233.0	-5.275	4254.753		
44		2023-01-12 15:02:20	316.0	-0.015008	7.17e-09	7.73e-09	6.231e-09	4.621e-07	0.38045	233.0	-5.275	4254.641		
45		2023-01-12 15:02:27	323.0	-0.015181	6.82e-09	7.35e-09	6.321e-09	4.626e-07	0.38046	233.0	-5.163	4255.09		
46		2023-01-12 15:02:34	330.0	-0.016117	6.49e-09	7.08e-09	6.098e-09	4.626e-07	0.38046	233.0	-5.275	4254.865		
47		2023-01-12 15:02:41	337.0	-0.014761	6.28e-09	6.86e-09	5.91e-09	4.626e-07	0.38046	233.0	-5.387	4255.09		
48		2023-01-12 15:02:48	344.0	-0.014785	6.08e-09	6.65e-09	5.91e-09	4.626e-07	0.38046	233.0	-5.275	4255.09		
49		2023-01-12 15:02:55	351.0	-0.018853	5.91e-09	6.52e-09	5.833e-09	4.632e-07	0.38046	233.0	-5.275	4254.977		
50		2023-01-12 15:03:03	359.0	-0.018707	5.79e-09	6.32e-09	5.376e-09	4.632e-07	0.38045	233.0	-5.163	4255.202		
51		2023-01-12 15:03:10	366.0	-0.014639	5.62e-09	6.24e-09	5.742e-09	4.632e-07	0.38045	233.0	-5.275	4255.202		
52		2023-01-12 15:03:17	373.0	-0.017744	5.51e-09	6.08e-09	5.414e-09	4.632e-07	0.38046	233.0	-5.163	4255.314		
53		2023-01-12 15:03:24	380.0	-0.015107	5.43e-09	6.05e-09	5.427e-09	4.632e-07	0.38045	233.0	-5.275	4255.314		
54		2023-01-12 15:03:31	387.0	-0.015131	5.34e-09	5.93e-09	4.996e-09	4.632e-07	0.38047	233.0	-5.275	4255.426		
55		2023-01-12 15:03:39	395.0	-0.015131	5.34e-09	5.96e-09	5.192e-09	4.638e-07	0.38045	233.0	-5.163	4255.314		
56		2023-01-12 15:03:46	402.0	-0.017595	5.98e-09	7.27e-09	7.319e-09	4.632e-07	0.38041	233.0	-5.163	4255.426		
57		2023-01-12 15:03:53	409.0	-0.016561	1.47e-08	1.71e-08	3.043e-08	4.638e-07	0.37993	233.0	-5.275	4255.651		
58		2023-01-12 15:04:00	416.0	-0.01528	9.89e-08	9.76e-08	7.452e-08	4.638e-07	0.3785	233.0	-5.05	4255.763		
59		2023-01-12 15:04:07	423.0	-0.014836	2.79e-07	2.79e-07	2.744e-07	4.638e-07	0.37472	233.0	-5.387	4255.763		
60		2023-01-12 15:04:14	430.0	-0.015995	4.55e-07	4.42e-07	5.917e-07	4.649e-07	0.36766	232.0	-5.275	4255.651		
61		2023-01-12 15:04:22	438.0	-0.015107	9.17e-07	9.01e-07	7.222e-07	4.671e-07	0.35709	233.0	-5.275	4255.763		
62		2023-01-12 15:04:29	445.0	-0.017226	8.75e-07	8.55e-07	7.188e-07	4.677e-07	0.34458	232.0	-5.387	4255.875		
63		2023-01-12 15:04:36	452.0	-0.014934	1.94e-06	1.91e-06	1.572e-06	4.677e-07	0.32167	232.0	-5.275	4255.763		
64		2023-01-12 15:04:43	459.00000000000006	-0.019124	1.89e-06	1.84e-06	1.486e-06	4.677e-07	0.29997	232.0	-5.387	4256.1		
65		2023-01-12 15:04:50	466.00000000000006	-0.018951	1.77e-06	1.73e-06	1.399e-06	4.677e-07	0.27992	232.0	-5.387	4255.875		
66		2023-01-12 15:04:57	473.00000000000006	-0.014958	1.66e-06	1.61e-06	1.32e-06	4.677e-07	0.26019	233.0	-5.275	4255.875		
67		2023-01-12 15:05:05	481.00000000000006	-0.017497	1.78e-06	1.69e-06	1.233e-06	4.682e-07	0.24102	232.0	-5.387	4255.987		
68		2023-01-12 15:05:12	488.00000000000006	-0.017351	1.37e-06	3.57e-07	3.67e-08	4.682e-07	0.23236	232.0	-5.163	4255.987		
69		2023-01-12 15:05:19	495.00000000000006	-0.01905	1.73e-08	1.73e-08	1.012e-08	4.677e-07	0.23236	232.0	-5.275	4255.875		
70		2023-01-12 15:05:26	502.00000000000006	-0.015378	1.28e-08	1.32e-08	8.372e-09	4.682e-07	0.23235	232.0	-5.163	4255.987		
