F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	28.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/30 15:07:12.654	0.00000000006299500000	2022/11/30 15:07:13.154	0.00000000000155875000	2022/11/30 15:07:13.404	0.00000000000215000000	2022/11/30 15:07:13.654	0.00000000000311750000	2022/11/30 15:07:13.904	0.00000000001322250000	2022/11/30 15:07:14.155	0.00000000000016125000	2022/11/30 15:07:14.405	0.00000000000016125000	2022/11/30 15:07:14.655	0.00000000000569750000
2022/11/30 15:07:14.977	0.00000000006327990000	2022/11/30 15:07:15.227	0.00000000000032250000	2022/11/30 15:07:15.477	0.00000000000188125000	2022/11/30 15:07:15.727	0.00000000000262300000	2022/11/30 15:07:15.977	0.00000000000350450000	2022/11/30 15:07:16.228	0.00000000001390510000	2022/11/30 15:07:16.478	0.00000000000065037500	2022/11/30 15:07:16.728	0.00000000000037087500	2022/11/30 15:07:16.979	0.00000000000625112000
2022/11/30 15:07:20.301	0.00000000006292350000	2022/11/30 15:07:20.551	0.00000000000281865000	2022/11/30 15:07:20.801	0.00000000000134052000	2022/11/30 15:07:21.051	0.00000000000216827000	2022/11/30 15:07:21.301	0.00000000000310728000	2022/11/30 15:07:21.551	0.00000000001276290000	2022/11/30 15:07:21.802	0.00000000000066811200	2022/11/30 15:07:22.052	0.00000000000003923750	2022/11/30 15:07:22.302	0.00000000000534060000
2022/11/30 15:07:22.623	0.00000000006259350000	2022/11/30 15:07:22.873	0.00000000000275517000	2022/11/30 15:07:23.123	0.00000000000130451000	2022/11/30 15:07:23.374	0.00000000000222030000	2022/11/30 15:07:23.624	0.00000000000299651000	2022/11/30 15:07:23.874	0.00000000001285430000	2022/11/30 15:07:24.124	0.00000000000061146000	2022/11/30 15:07:24.625	0.00000000000526207000
2022/11/30 15:07:24.946	0.00000000006219840000	2022/11/30 15:07:25.196	0.00000000000274474000	2022/11/30 15:07:25.446	0.00000000000136046000	2022/11/30 15:07:25.696	0.00000000000216628000	2022/11/30 15:07:25.946	0.00000000000304945000	2022/11/30 15:07:26.197	0.00000000001246890000	2022/11/30 15:07:26.447	0.00000000000043416500	2022/11/30 15:07:26.697	0.00000000000001954350	2022/11/30 15:07:26.947	0.00000000000524697000
2022/11/30 15:07:27.268	0.00000000006163080000	2022/11/30 15:07:27.518	0.00000000000272206000	2022/11/30 15:07:27.769	0.00000000000128285000	2022/11/30 15:07:28.019	0.00000000000219004000	2022/11/30 15:07:28.269	0.00000000000301177000	2022/11/30 15:07:28.519	0.00000000001246510000	2022/11/30 15:07:28.769	0.00000000000046024000	2022/11/30 15:07:29.270	0.00000000000522907000
2022/11/30 15:07:29.591	0.00000000006144050000	2022/11/30 15:07:29.841	0.00000000000272313000	2022/11/30 15:07:30.091	0.00000000000135127000	2022/11/30 15:07:30.341	0.00000000000212817000	2022/11/30 15:07:30.591	0.00000000000293174000	2022/11/30 15:07:30.842	0.00000000001245380000	2022/11/30 15:07:31.092	0.00000000000047690700	2022/11/30 15:07:31.592	0.00000000000514812000
2022/11/30 15:07:31.913	0.00000000006105350000	2022/11/30 15:07:32.163	0.00000000000273125000	2022/11/30 15:07:32.414	0.00000000000133563000	2022/11/30 15:07:32.664	0.00000000000211726000	2022/11/30 15:07:32.914	0.00000000000287240000	2022/11/30 15:07:33.164	0.00000000001217920000	2022/11/30 15:07:33.414	0.00000000000044267400	2022/11/30 15:07:33.915	0.00000000000512721000
2022/11/30 15:07:34.236	0.00000000006051550000	2022/11/30 15:07:34.486	0.00000000000269341000	2022/11/30 15:07:34.736	0.00000000000129263000	2022/11/30 15:07:34.986	0.00000000000217838000	2022/11/30 15:07:35.236	0.00000000000280639000	2022/11/30 15:07:35.487	0.00000000001210610000	2022/11/30 15:07:35.737	0.00000000000044272800	2022/11/30 15:07:36.237	0.00000000000502498000
2022/11/30 15:07:36.558	0.00000000006044940000	2022/11/30 15:07:36.808	0.00000000000270642000	2022/11/30 15:07:37.059	0.00000000000129419000	2022/11/30 15:07:37.309	0.00000000000214731000	2022/11/30 15:07:37.559	0.00000000000285697000	2022/11/30 15:07:37.809	0.00000000001188730000	2022/11/30 15:07:38.059	0.00000000000044177600	2022/11/30 15:07:38.560	0.00000000000501810000
2022/11/30 15:07:38.881	0.00000000005978720000	2022/11/30 15:07:39.131	0.00000000000269610000	2022/11/30 15:07:39.381	0.00000000000129655000	2022/11/30 15:07:39.631	0.00000000000212920000	2022/11/30 15:07:39.881	0.00000000000283698000	2022/11/30 15:07:40.132	0.00000000001182390000	2022/11/30 15:07:40.382	0.00000000000044393200	2022/11/30 15:07:40.632	0.00000000000000238058	2022/11/30 15:07:40.882	0.00000000000489759000
2022/11/30 15:07:41.203	0.00000000006002210000	2022/11/30 15:07:41.453	0.00000000000271539000	2022/11/30 15:07:41.704	0.00000000000131660000	2022/11/30 15:07:41.954	0.00000000000211689000	2022/11/30 15:07:42.204	0.00000000000289986000	2022/11/30 15:07:42.454	0.00000000001178790000	2022/11/30 15:07:42.704	0.00000000000045842800	2022/11/30 15:07:43.205	0.00000000000487872000
2022/11/30 15:07:43.526	0.00000000005962330000	2022/11/30 15:07:43.776	0.00000000000267567000	2022/11/30 15:07:44.026	0.00000000000130300000	2022/11/30 15:07:44.276	0.00000000000213183000	2022/11/30 15:07:44.526	0.00000000000278677000	2022/11/30 15:07:44.777	0.00000000001174970000	2022/11/30 15:07:45.027	0.00000000000042599500	2022/11/30 15:07:45.277	0.00000000000000162647	2022/11/30 15:07:45.527	0.00000000000486126000
2022/11/30 15:07:45.848	0.00000000005941310000	2022/11/30 15:07:46.098	0.00000000000264831000	2022/11/30 15:07:46.349	0.00000000000124877000	2022/11/30 15:07:46.599	0.00000000000212113000	2022/11/30 15:07:46.849	0.00000000000276001000	2022/11/30 15:07:47.099	0.00000000001181470000	2022/11/30 15:07:47.349	0.00000000000041772900	2022/11/30 15:07:47.600	0.00000000000000027305	2022/11/30 15:07:47.850	0.00000000000492791000
2022/11/30 15:07:48.171	0.00000000005909540000	2022/11/30 15:07:48.421	0.00000000000262859000	2022/11/30 15:07:48.671	0.00000000000127704000	2022/11/30 15:07:48.921	0.00000000000207136000	2022/11/30 15:07:49.171	0.00000000000277339000	2022/11/30 15:07:49.422	0.00000000001167820000	2022/11/30 15:07:49.672	0.00000000000044380800	2022/11/30 15:07:50.172	0.00000000000486142000
2022/11/30 15:07:50.493	0.00000000005881220000	2022/11/30 15:07:50.743	0.00000000000265702000	2022/11/30 15:07:50.994	0.00000000000126016000	2022/11/30 15:07:51.244	0.00000000000206727000	2022/11/30 15:07:51.494	0.00000000000275839000	2022/11/30 15:07:51.744	0.00000000001154980000	2022/11/30 15:07:51.994	0.00000000000042502800	2022/11/30 15:07:52.495	0.00000000000484975000
2022/11/30 15:07:52.816	0.00000000005891970000	2022/11/30 15:07:53.066	0.00000000000263832000	2022/11/30 15:07:53.316	0.00000000000126661000	2022/11/30 15:07:53.566	0.00000000000205287000	2022/11/30 15:07:53.816	0.00000000000274071000	2022/11/30 15:07:54.067	0.00000000001147500000	2022/11/30 15:07:54.317	0.00000000000042585600	2022/11/30 15:07:54.817	0.00000000000489410000
2022/11/30 15:07:55.138	0.00000000005844340000	2022/11/30 15:07:55.388	0.00000000000260811000	2022/11/30 15:07:55.638	0.00000000000127629000	2022/11/30 15:07:55.889	0.00000000000203846000	2022/11/30 15:07:56.139	0.00000000000274797000	2022/11/30 15:07:56.389	0.00000000001143850000	2022/11/30 15:07:56.639	0.00000000000044627500	2022/11/30 15:07:57.140	0.00000000000480546000
2022/11/30 15:07:57.461	0.00000000005838970000	2022/11/30 15:07:57.711	0.00000000000261746000	2022/11/30 15:07:57.961	0.00000000000127269000	2022/11/30 15:07:58.211	0.00000000000202712000	2022/11/30 15:07:58.461	0.00000000000271765000	2022/11/30 15:07:58.712	0.00000000001136750000	2022/11/30 15:07:58.962	0.00000000000044277600	2022/11/30 15:07:59.462	0.00000000000485464000
2022/11/30 15:07:59.783	0.00000000005816180000	2022/11/30 15:08:00.033	0.00000000000260010000	2022/11/30 15:08:00.284	0.00000000000126790000	2022/11/30 15:08:00.534	0.00000000000209555000	2022/11/30 15:08:00.784	0.00000000000272888000	2022/11/30 15:08:01.034	0.00000000001129340000	2022/11/30 15:08:01.284	0.00000000000043334300	2022/11/30 15:08:01.785	0.00000000000482841000
2022/11/30 15:08:02.106	0.00000000005818060000	2022/11/30 15:08:02.356	0.00000000000258252000	2022/11/30 15:08:02.606	0.00000000000130542000	2022/11/30 15:08:02.856	0.00000000000210979000	2022/11/30 15:08:03.106	0.00000000000268250000	2022/11/30 15:08:03.357	0.00000000001134230000	2022/11/30 15:08:03.607	0.00000000000043712700	2022/11/30 15:08:04.107	0.00000000000480111000
2022/11/30 15:08:04.428	0.00000000005815320000	2022/11/30 15:08:04.678	0.00000000000264498000	2022/11/30 15:08:04.929	0.00000000000125941000	2022/11/30 15:08:05.179	0.00000000000209033000	2022/11/30 15:08:05.429	0.00000000000262316000	2022/11/30 15:08:05.679	0.00000000001116650000	2022/11/30 15:08:05.929	0.00000000000043111800	2022/11/30 15:08:06.430	0.00000000000481148000
2022/11/30 15:08:06.751	0.00000000005781670000	2022/11/30 15:08:07.001	0.00000000000261203000	2022/11/30 15:08:07.251	0.00000000000124872000	2022/11/30 15:08:07.501	0.00000000000207700000	2022/11/30 15:08:07.751	0.00000000000274490000	2022/11/30 15:08:08.002	0.00000000001122240000	2022/11/30 15:08:08.252	0.00000000000042429200	2022/11/30 15:08:08.502	0.00000000000000126473	2022/11/30 15:08:08.752	0.00000000000483755000
2022/11/30 15:08:09.073	0.00000000005818600000	2022/11/30 15:08:09.323	0.00000000000262611000	2022/11/30 15:08:09.574	0.00000000000128193000	2022/11/30 15:08:09.824	0.00000000000209668000	2022/11/30 15:08:10.074	0.00000000000266815000	2022/11/30 15:08:10.324	0.00000000001122190000	2022/11/30 15:08:10.574	0.00000000000044442600	2022/11/30 15:08:11.075	0.00000000000482809000
