F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/24 16:39:36.534	0.00000000002504750000	2022/11/24 16:39:37.284	0.00000000000005375000	2022/11/24 16:39:37.534	0.00000000000064500000	2022/11/24 16:39:37.784	0.00000000000102125000	2022/11/24 16:39:38.536	0.00000000000016125000
2022/11/24 16:39:38.857	0.00000000002695670000	2022/11/24 16:39:39.107	0.00000000000126420000	2022/11/24 16:39:39.358	0.00000000000124807000	2022/11/24 16:39:39.608	0.00000000000161357000	2022/11/24 16:39:39.858	0.00000000000230695000	2022/11/24 16:39:40.108	0.00000000000245745000	2022/11/24 16:39:40.358	0.00000000000112445000	2022/11/24 16:39:40.608	0.00000000000088795000	2022/11/24 16:39:40.859	0.00000000000178020000
2022/11/24 16:39:44.181	0.00000000002566110000	2022/11/24 16:39:44.431	0.00000000000120486000	2022/11/24 16:39:44.681	0.00000000000026154700	2022/11/24 16:39:44.931	0.00000000000052277200	2022/11/24 16:39:45.181	0.00000000000119787000	2022/11/24 16:39:45.431	0.00000000000146124000	2022/11/24 16:39:45.682	0.00000000000007503500	2022/11/24 16:39:46.183	0.00000000000063511000
2022/11/24 16:39:46.504	0.00000000002545790000	2022/11/24 16:39:46.754	0.00000000000121390000	2022/11/24 16:39:47.004	0.00000000000024011200	2022/11/24 16:39:47.254	0.00000000000047720300	2022/11/24 16:39:47.504	0.00000000000120471000	2022/11/24 16:39:47.754	0.00000000000151506000	2022/11/24 16:39:48.005	0.00000000000007665820	2022/11/24 16:39:48.255	0.00000000000001092200	2022/11/24 16:39:48.506	0.00000000000066543600
2022/11/24 16:39:48.827	0.00000000002521550000	2022/11/24 16:39:49.077	0.00000000000118036000	2022/11/24 16:39:49.328	0.00000000000024448400	2022/11/24 16:39:49.578	0.00000000000051451800	2022/11/24 16:39:49.828	0.00000000000115767000	2022/11/24 16:39:50.078	0.00000000000142922000	2022/11/24 16:39:50.328	0.00000000000009728970	2022/11/24 16:39:50.829	0.00000000000064947400
2022/11/24 16:39:51.150	0.00000000002479140000	2022/11/24 16:39:51.400	0.00000000000119277000	2022/11/24 16:39:51.651	0.00000000000022420400	2022/11/24 16:39:51.901	0.00000000000049949000	2022/11/24 16:39:52.151	0.00000000000117912000	2022/11/24 16:39:52.401	0.00000000000147002000	2022/11/24 16:39:52.651	0.00000000000008936690	2022/11/24 16:39:52.902	0.00000000000000074186	2022/11/24 16:39:53.152	0.00000000000063258600
2022/11/24 16:39:53.473	0.00000000002504670000	2022/11/24 16:39:53.723	0.00000000000119541000	2022/11/24 16:39:53.973	0.00000000000026515600	2022/11/24 16:39:54.223	0.00000000000049250800	2022/11/24 16:39:54.474	0.00000000000116267000	2022/11/24 16:39:54.724	0.00000000000142519000	2022/11/24 16:39:54.974	0.00000000000001986820	2022/11/24 16:39:55.224	0.00000000000000548422	2022/11/24 16:39:55.474	0.00000000000063048400
2022/11/24 16:39:55.795	0.00000000002453500000	2022/11/24 16:39:56.045	0.00000000000116891000	2022/11/24 16:39:56.296	0.00000000000022271500	2022/11/24 16:39:56.546	0.00000000000050921300	2022/11/24 16:39:56.796	0.00000000000115391000	2022/11/24 16:39:57.046	0.00000000000142917000	2022/11/24 16:39:57.296	0.00000000000002415690	2022/11/24 16:39:57.797	0.00000000000058849500
2022/11/24 16:39:58.118	0.00000000002470810000	2022/11/24 16:39:58.368	0.00000000000115069000	2022/11/24 16:39:58.618	0.00000000000024804700	2022/11/24 16:39:58.868	0.00000000000050649400	2022/11/24 16:39:59.119	0.00000000000115262000	2022/11/24 16:39:59.369	0.00000000000140148000	2022/11/24 16:39:59.619	0.00000000000002429450	2022/11/24 16:39:59.869	0.00000000000000030809	2022/11/24 16:40:00.119	0.00000000000061296200
2022/11/24 16:40:00.440	0.00000000002449420000	2022/11/24 16:40:00.690	0.00000000000115370000	2022/11/24 16:40:00.941	0.00000000000024487100	2022/11/24 16:40:01.191	0.00000000000049567400	2022/11/24 16:40:01.441	0.00000000000115692000	2022/11/24 16:40:01.691	0.00000000000139772000	2022/11/24 16:40:01.941	0.00000000000002816560	2022/11/24 16:40:02.192	0.00000000000000046128	2022/11/24 16:40:02.442	0.00000000000062141700
2022/11/24 16:40:02.763	0.00000000002455540000	2022/11/24 16:40:03.013	0.00000000000118100000	2022/11/24 16:40:03.263	0.00000000000022789600	2022/11/24 16:40:03.513	0.00000000000046153200	2022/11/24 16:40:03.763	0.00000000000111639000	2022/11/24 16:40:04.014	0.00000000000142497000	2022/11/24 16:40:04.264	0.00000000000003127340	2022/11/24 16:40:04.764	0.00000000000061454700
2022/11/24 16:40:05.085	0.00000000002424100000	2022/11/24 16:40:05.335	0.00000000000115719000	2022/11/24 16:40:05.586	0.00000000000025299200	2022/11/24 16:40:05.836	0.00000000000046109600	2022/11/24 16:40:06.086	0.00000000000113365000	2022/11/24 16:40:06.336	0.00000000000143277000	2022/11/24 16:40:06.586	0.00000000000002000740	2022/11/24 16:40:06.837	0.00000000000000122829	2022/11/24 16:40:07.087	0.00000000000064406100
2022/11/24 16:40:07.408	0.00000000002442750000	2022/11/24 16:40:07.658	0.00000000000115918000	2022/11/24 16:40:07.908	0.00000000000023098200	2022/11/24 16:40:08.158	0.00000000000046417600	2022/11/24 16:40:08.409	0.00000000000116031000	2022/11/24 16:40:08.659	0.00000000000140578000	2022/11/24 16:40:08.909	0.00000000000002607040	2022/11/24 16:40:09.159	0.00000000000000185394	2022/11/24 16:40:09.409	0.00000000000063197300
2022/11/24 16:40:09.730	0.00000000002464680000	2022/11/24 16:40:09.980	0.00000000000116746000	2022/11/24 16:40:10.231	0.00000000000024855800	2022/11/24 16:40:10.481	0.00000000000047281900	2022/11/24 16:40:10.731	0.00000000000116305000	2022/11/24 16:40:10.981	0.00000000000139681000	2022/11/24 16:40:11.231	0.00000000000002718680	2022/11/24 16:40:11.732	0.00000000000060572200
2022/11/24 16:40:12.053	0.00000000002447590000	2022/11/24 16:40:12.303	0.00000000000114881000	2022/11/24 16:40:12.553	0.00000000000023075600	2022/11/24 16:40:12.803	0.00000000000048640700	2022/11/24 16:40:13.054	0.00000000000115789000	2022/11/24 16:40:13.304	0.00000000000136934000	2022/11/24 16:40:13.554	0.00000000000002278680	2022/11/24 16:40:14.054	0.00000000000062206700
2022/11/24 16:40:14.375	0.00000000002449790000	2022/11/24 16:40:14.625	0.00000000000119164000	2022/11/24 16:40:14.876	0.00000000000024892900	2022/11/24 16:40:15.126	0.00000000000047532400	2022/11/24 16:40:15.376	0.00000000000111451000	2022/11/24 16:40:15.626	0.00000000000142169000	2022/11/24 16:40:15.876	0.00000000000002415850	2022/11/24 16:40:16.377	0.00000000000065376300
2022/11/24 16:40:16.698	0.00000000002442210000	2022/11/24 16:40:16.948	0.00000000000116418000	2022/11/24 16:40:17.198	0.00000000000023832900	2022/11/24 16:40:17.448	0.00000000000047264200	2022/11/24 16:40:17.698	0.00000000000113585000	2022/11/24 16:40:17.949	0.00000000000140810000	2022/11/24 16:40:18.199	0.00000000000002505510	2022/11/24 16:40:18.699	0.00000000000061780500
