F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	28.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/25 11:10:08.615	0.00000000002671370000	2022/11/25 11:10:09.365	0.00000000000000000000	2022/11/25 11:10:09.615	0.00000000000161250000	2022/11/25 11:10:09.865	0.00000000000268750000	2022/11/25 11:10:10.616	0.00000000000107500000
2022/11/25 11:10:10.938	0.00000000002807470000	2022/11/25 11:10:11.188	0.00000000000086107500	2022/11/25 11:10:11.438	0.00000000000123732000	2022/11/25 11:10:11.688	0.00000000000172107000	2022/11/25 11:10:11.938	0.00000000000316695000	2022/11/25 11:10:12.189	0.00000000000407532000	2022/11/25 11:10:12.439	0.00000000000094707500	2022/11/25 11:10:12.689	0.00000000000096320000	2022/11/25 11:10:12.940	0.00000000000244132000
2022/11/25 11:10:16.262	0.00000000002825670000	2022/11/25 11:10:16.512	0.00000000000131504000	2022/11/25 11:10:16.762	0.00000000000046579700	2022/11/25 11:10:17.012	0.00000000000080281000	2022/11/25 11:10:17.262	0.00000000000212989000	2022/11/25 11:10:17.512	0.00000000000313179000	2022/11/25 11:10:17.763	0.00000000000014544700	2022/11/25 11:10:18.263	0.00000000000150478000
2022/11/25 11:10:18.584	0.00000000002784550000	2022/11/25 11:10:18.834	0.00000000000134639000	2022/11/25 11:10:19.084	0.00000000000044500700	2022/11/25 11:10:19.335	0.00000000000090010800	2022/11/25 11:10:19.585	0.00000000000212630000	2022/11/25 11:10:19.835	0.00000000000309042000	2022/11/25 11:10:20.085	0.00000000000016464700	2022/11/25 11:10:20.586	0.00000000000143572000
2022/11/25 11:10:20.907	0.00000000002773850000	2022/11/25 11:10:21.157	0.00000000000133596000	2022/11/25 11:10:21.407	0.00000000000045376500	2022/11/25 11:10:21.657	0.00000000000083609200	2022/11/25 11:10:21.907	0.00000000000217941000	2022/11/25 11:10:22.158	0.00000000000314745000	2022/11/25 11:10:22.408	0.00000000000018187600	2022/11/25 11:10:22.908	0.00000000000142841000
2022/11/25 11:10:23.229	0.00000000002778150000	2022/11/25 11:10:23.479	0.00000000000135263000	2022/11/25 11:10:23.730	0.00000000000041603800	2022/11/25 11:10:23.980	0.00000000000083374500	2022/11/25 11:10:24.230	0.00000000000216619000	2022/11/25 11:10:24.480	0.00000000000312127000	2022/11/25 11:10:24.730	0.00000000000013715000	2022/11/25 11:10:25.231	0.00000000000144228000
2022/11/25 11:10:25.552	0.00000000002787560000	2022/11/25 11:10:25.802	0.00000000000134306000	2022/11/25 11:10:26.052	0.00000000000045771500	2022/11/25 11:10:26.302	0.00000000000082002800	2022/11/25 11:10:26.552	0.00000000000219430000	2022/11/25 11:10:26.803	0.00000000000316287000	2022/11/25 11:10:27.053	0.00000000000014759900	2022/11/25 11:10:27.303	0.00000000000000011191	2022/11/25 11:10:27.553	0.00000000000144104000
2022/11/25 11:10:27.874	0.00000000002772510000	2022/11/25 11:10:28.124	0.00000000000132441000	2022/11/25 11:10:28.375	0.00000000000043795200	2022/11/25 11:10:28.625	0.00000000000079356200	2022/11/25 11:10:28.875	0.00000000000206632000	2022/11/25 11:10:29.125	0.00000000000311418000	2022/11/25 11:10:29.375	0.00000000000018287500	2022/11/25 11:10:29.876	0.00000000000143255000
2022/11/25 11:10:30.197	0.00000000002767560000	2022/11/25 11:10:30.447	0.00000000000133999000	2022/11/25 11:10:30.697	0.00000000000042173000	2022/11/25 11:10:30.947	0.00000000000080426900	2022/11/25 11:10:31.197	0.00000000000219102000	2022/11/25 11:10:31.448	0.00000000000313971000	2022/11/25 11:10:31.698	0.00000000000017171200	2022/11/25 11:10:31.948	0.00000000000000065962	2022/11/25 11:10:32.198	0.00000000000143416000
2022/11/25 11:10:32.519	0.00000000002775950000	2022/11/25 11:10:32.769	0.00000000000133043000	2022/11/25 11:10:33.020	0.00000000000045823700	2022/11/25 11:10:33.270	0.00000000000077057800	2022/11/25 11:10:33.520	0.00000000000222854000	2022/11/25 11:10:33.770	0.00000000000314648000	2022/11/25 11:10:34.020	0.00000000000015600600	2022/11/25 11:10:34.521	0.00000000000143884000
2022/11/25 11:10:34.842	0.00000000002767560000	2022/11/25 11:10:35.092	0.00000000000134607000	2022/11/25 11:10:35.342	0.00000000000045185100	2022/11/25 11:10:35.592	0.00000000000087040800	2022/11/25 11:10:35.842	0.00000000000211829000	2022/11/25 11:10:36.093	0.00000000000310773000	2022/11/25 11:10:36.343	0.00000000000016888400	2022/11/25 11:10:36.843	0.00000000000145330000
2022/11/25 11:10:37.164	0.00000000002770570000	2022/11/25 11:10:37.414	0.00000000000132537000	2022/11/25 11:10:37.665	0.00000000000042623900	2022/11/25 11:10:37.915	0.00000000000080706900	2022/11/25 11:10:38.165	0.00000000000216549000	2022/11/25 11:10:38.415	0.00000000000312616000	2022/11/25 11:10:38.665	0.00000000000015908000	2022/11/25 11:10:38.916	0.00000000000000055642	2022/11/25 11:10:39.166	0.00000000000144384000
2022/11/25 11:10:39.487	0.00000000002778900000	2022/11/25 11:10:39.737	0.00000000000135279000	2022/11/25 11:10:39.987	0.00000000000045278100	2022/11/25 11:10:40.237	0.00000000000081421300	2022/11/25 11:10:40.487	0.00000000000212507000	2022/11/25 11:10:40.738	0.00000000000312960000	2022/11/25 11:10:40.988	0.00000000000016698200	2022/11/25 11:10:41.238	0.00000000000000250915	2022/11/25 11:10:41.488	0.00000000000148146000
2022/11/25 11:10:41.809	0.00000000002788100000	2022/11/25 11:10:42.059	0.00000000000135779000	2022/11/25 11:10:42.310	0.00000000000045019600	2022/11/25 11:10:42.560	0.00000000000085068200	2022/11/25 11:10:42.810	0.00000000000221171000	2022/11/25 11:10:43.060	0.00000000000304548000	2022/11/25 11:10:43.310	0.00000000000016705700	2022/11/25 11:10:43.561	0.00000000000000014255	2022/11/25 11:10:43.811	0.00000000000136778000
2022/11/25 11:10:44.132	0.00000000002775520000	2022/11/25 11:10:44.382	0.00000000000131812000	2022/11/25 11:10:44.632	0.00000000000045319000	2022/11/25 11:10:44.882	0.00000000000084052900	2022/11/25 11:10:45.132	0.00000000000212501000	2022/11/25 11:10:45.383	0.00000000000307875000	2022/11/25 11:10:45.633	0.00000000000017485600	2022/11/25 11:10:46.133	0.00000000000144131000
2022/11/25 11:10:46.454	0.00000000002787770000	2022/11/25 11:10:46.704	0.00000000000132161000	2022/11/25 11:10:46.955	0.00000000000046269300	2022/11/25 11:10:47.205	0.00000000000082841300	2022/11/25 11:10:47.455	0.00000000000211829000	2022/11/25 11:10:47.705	0.00000000000308907000	2022/11/25 11:10:47.955	0.00000000000016753000	2022/11/25 11:10:48.456	0.00000000000143540000
2022/11/25 11:10:48.777	0.00000000002756330000	2022/11/25 11:10:49.027	0.00000000000132220000	2022/11/25 11:10:49.277	0.00000000000043285100	2022/11/25 11:10:49.527	0.00000000000081865200	2022/11/25 11:10:49.777	0.00000000000214361000	2022/11/25 11:10:50.028	0.00000000000317841000	2022/11/25 11:10:50.278	0.00000000000017432400	2022/11/25 11:10:50.778	0.00000000000142331000
2022/11/25 11:10:51.099	0.00000000002781540000	2022/11/25 11:10:51.349	0.00000000000135010000	2022/11/25 11:10:51.600	0.00000000000045487200	2022/11/25 11:10:51.850	0.00000000000080397300	2022/11/25 11:10:52.100	0.00000000000216645000	2022/11/25 11:10:52.350	0.00000000000308553000	2022/11/25 11:10:52.600	0.00000000000016676100	2022/11/25 11:10:53.101	0.00000000000143373000
