F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	6.40
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/14 15:34:33.148	0.00000000002112370000	2022/11/14 15:34:33.398	0.00000000000021500000	2022/11/14 15:34:33.648	0.00000000000032250000	2022/11/14 15:34:33.898	0.00000000000086000000	2022/11/14 15:34:34.148	0.00000000000134375000	2022/11/14 15:34:34.398	0.00000000000204250000	2022/11/14 15:34:34.649	0.00000000000026875000	2022/11/14 15:34:34.899	0.00000000000016125000	2022/11/14 15:34:35.149	0.00000000000102125000
2022/11/14 15:34:35.470	0.00000000002075280000	2022/11/14 15:34:35.720	0.00000000000029562500	2022/11/14 15:34:35.970	0.00000000000033862500	2022/11/14 15:34:36.221	0.00000000000055900000	2022/11/14 15:34:36.471	0.00000000000105887000	2022/11/14 15:34:36.721	0.00000000000171462000	2022/11/14 15:34:36.971	0.00000000000036012500	2022/11/14 15:34:37.221	0.00000000000020425000	2022/11/14 15:34:37.472	0.00000000000088150000
2022/11/14 15:34:40.794	0.00000000002109580000	2022/11/14 15:34:41.044	0.00000000000103253000	2022/11/14 15:34:41.294	0.00000000000030745000	2022/11/14 15:34:41.544	0.00000000000054180000	2022/11/14 15:34:41.794	0.00000000000109112000	2022/11/14 15:34:42.044	0.00000000000165227000	2022/11/14 15:34:42.295	0.00000000000012255000	2022/11/14 15:34:42.545	0.00000000000002472500	2022/11/14 15:34:42.795	0.00000000000075895000
2022/11/14 15:34:43.117	0.00000000002059160000	2022/11/14 15:34:43.367	0.00000000000096911300	2022/11/14 15:34:43.617	0.00000000000025241000	2022/11/14 15:34:43.868	0.00000000000055029200	2022/11/14 15:34:44.118	0.00000000000111316000	2022/11/14 15:34:44.368	0.00000000000164690000	2022/11/14 15:34:44.618	0.00000000000010680100	2022/11/14 15:34:44.868	0.00000000000001037370	2022/11/14 15:34:45.119	0.00000000000077797700
2022/11/14 15:34:45.440	0.00000000002072110000	2022/11/14 15:34:45.690	0.00000000000097782000	2022/11/14 15:34:45.941	0.00000000000028327800	2022/11/14 15:34:46.191	0.00000000000051316700	2022/11/14 15:34:46.441	0.00000000000108161000	2022/11/14 15:34:46.691	0.00000000000164141000	2022/11/14 15:34:46.941	0.00000000000009193940	2022/11/14 15:34:47.192	0.00000000000000897088	2022/11/14 15:34:47.442	0.00000000000076948500
2022/11/14 15:34:47.763	0.00000000002066310000	2022/11/14 15:34:48.013	0.00000000000097018800	2022/11/14 15:34:48.263	0.00000000000025477500	2022/11/14 15:34:48.513	0.00000000000051900400	2022/11/14 15:34:48.763	0.00000000000105339000	2022/11/14 15:34:49.014	0.00000000000163228000	2022/11/14 15:34:49.264	0.00000000000010658600	2022/11/14 15:34:49.764	0.00000000000073924500
2022/11/14 15:34:50.085	0.00000000002067110000	2022/11/14 15:34:50.335	0.00000000000099727800	2022/11/14 15:34:50.586	0.00000000000024715300	2022/11/14 15:34:50.836	0.00000000000053740800	2022/11/14 15:34:51.086	0.00000000000110859000	2022/11/14 15:34:51.336	0.00000000000161604000	2022/11/14 15:34:51.586	0.00000000000009785190	2022/11/14 15:34:52.087	0.00000000000073498300
2022/11/14 15:34:52.408	0.00000000002062980000	2022/11/14 15:34:52.658	0.00000000000096121100	2022/11/14 15:34:52.908	0.00000000000027395300	2022/11/14 15:34:53.158	0.00000000000052816300	2022/11/14 15:34:53.408	0.00000000000108102000	2022/11/14 15:34:53.659	0.00000000000164297000	2022/11/14 15:34:53.909	0.00000000000008029170	2022/11/14 15:34:54.409	0.00000000000074897400
2022/11/14 15:34:54.730	0.00000000002068780000	2022/11/14 15:34:54.980	0.00000000000096862900	2022/11/14 15:34:55.231	0.00000000000027260900	2022/11/14 15:34:55.481	0.00000000000052050400	2022/11/14 15:34:55.731	0.00000000000108091000	2022/11/14 15:34:55.981	0.00000000000160524000	2022/11/14 15:34:56.732	0.00000000000071556300
2022/11/14 15:34:57.053	0.00000000002070450000	2022/11/14 15:34:57.303	0.00000000000099625600	2022/11/14 15:34:57.553	0.00000000000028709500	2022/11/14 15:34:57.803	0.00000000000051908000	2022/11/14 15:34:58.053	0.00000000000107188000	2022/11/14 15:34:58.304	0.00000000000162781000	2022/11/14 15:34:59.054	0.00000000000074031500
2022/11/14 15:34:59.375	0.00000000002070880000	2022/11/14 15:34:59.625	0.00000000000098749500	2022/11/14 15:34:59.876	0.00000000000023818700	2022/11/14 15:35:00.126	0.00000000000050321800	2022/11/14 15:35:00.376	0.00000000000109741000	2022/11/14 15:35:00.626	0.00000000000162717000	2022/11/14 15:35:01.377	0.00000000000075862200
2022/11/14 15:35:01.698	0.00000000002056740000	2022/11/14 15:35:01.948	0.00000000000099915900	2022/11/14 15:35:02.198	0.00000000000027428100	2022/11/14 15:35:02.448	0.00000000000049812800	2022/11/14 15:35:02.698	0.00000000000110784000	2022/11/14 15:35:02.949	0.00000000000159336000	2022/11/14 15:35:03.699	0.00000000000076585700
2022/11/14 15:35:04.020	0.00000000002075120000	2022/11/14 15:35:04.270	0.00000000000099276300	2022/11/14 15:35:04.521	0.00000000000024270200	2022/11/14 15:35:04.771	0.00000000000051228000	2022/11/14 15:35:05.021	0.00000000000108435000	2022/11/14 15:35:05.271	0.00000000000160717000	2022/11/14 15:35:06.022	0.00000000000076197600
2022/11/14 15:35:06.343	0.00000000002068890000	2022/11/14 15:35:06.593	0.00000000000099932000	2022/11/14 15:35:06.843	0.00000000000027105600	2022/11/14 15:35:07.093	0.00000000000047868100	2022/11/14 15:35:07.343	0.00000000000109177000	2022/11/14 15:35:07.594	0.00000000000162427000	2022/11/14 15:35:08.344	0.00000000000077797700
2022/11/14 15:35:08.665	0.00000000002066680000	2022/11/14 15:35:08.915	0.00000000000098131400	2022/11/14 15:35:09.166	0.00000000000025169500	2022/11/14 15:35:09.416	0.00000000000051904200	2022/11/14 15:35:09.666	0.00000000000111880000	2022/11/14 15:35:09.916	0.00000000000162093000	2022/11/14 15:35:10.667	0.00000000000074403400
2022/11/14 15:35:10.988	0.00000000002067060000	2022/11/14 15:35:11.238	0.00000000000099324600	2022/11/14 15:35:11.488	0.00000000000024248200	2022/11/14 15:35:11.738	0.00000000000050157900	2022/11/14 15:35:11.988	0.00000000000111472000	2022/11/14 15:35:12.239	0.00000000000160959000	2022/11/14 15:35:12.989	0.00000000000077050600
2022/11/14 15:35:13.310	0.00000000002059590000	2022/11/14 15:35:13.560	0.00000000000099233300	2022/11/14 15:35:13.811	0.00000000000024666900	2022/11/14 15:35:14.061	0.00000000000054984600	2022/11/14 15:35:14.311	0.00000000000105866000	2022/11/14 15:35:14.561	0.00000000000161448000	2022/11/14 15:35:15.312	0.00000000000078090700
2022/11/14 15:35:15.633	0.00000000002051420000	2022/11/14 15:35:15.883	0.00000000000098459300	2022/11/14 15:35:16.133	0.00000000000026292900	2022/11/14 15:35:16.383	0.00000000000052474000	2022/11/14 15:35:16.633	0.00000000000109800000	2022/11/14 15:35:16.884	0.00000000000162916000	2022/11/14 15:35:17.634	0.00000000000077090900
2022/11/14 15:35:17.955	0.00000000002062170000	2022/11/14 15:35:18.205	0.00000000000100313000	2022/11/14 15:35:18.456	0.00000000000028623500	2022/11/14 15:35:18.706	0.00000000000052104700	2022/11/14 15:35:18.956	0.00000000000110160000	2022/11/14 15:35:19.206	0.00000000000165582000	2022/11/14 15:35:19.957	0.00000000000076796900
