F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	18.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/15 16:51:39.309	0.00000000000763250000	2022/11/15 16:51:39.809	0.00000000000021500000	2022/11/15 16:51:40.059	0.00000000000043000000	2022/11/15 16:51:40.309	0.00000000000059125000	2022/11/15 16:51:40.559	0.00000000000064500000	2022/11/15 16:51:40.810	0.00000000000021500000	2022/11/15 16:51:41.060	0.00000000000010750000	2022/11/15 16:51:41.310	0.00000000000048375000
2022/11/15 16:51:41.631	0.00000000000732612000	2022/11/15 16:51:42.382	0.00000000000005912500	2022/11/15 16:51:42.632	0.00000000000045687500	2022/11/15 16:51:42.882	0.00000000000024725000
2022/11/15 16:51:46.955	0.00000000000789265000	2022/11/15 16:51:47.205	0.00000000000036980000	2022/11/15 16:51:47.455	0.00000000000011341200	2022/11/15 16:51:47.705	0.00000000000030637500	2022/11/15 16:51:47.955	0.00000000000059608700	2022/11/15 16:51:48.205	0.00000000000049718700	2022/11/15 16:51:48.456	0.00000000000005482500	2022/11/15 16:51:48.706	0.00000000000002687500	2022/11/15 16:51:48.956	0.00000000000025316200
2022/11/15 16:51:49.278	0.00000000000785680000	2022/11/15 16:51:49.528	0.00000000000038775200	2022/11/15 16:51:49.778	0.00000000000009954500	2022/11/15 16:51:50.029	0.00000000000027283500	2022/11/15 16:51:50.279	0.00000000000062210200	2022/11/15 16:51:50.529	0.00000000000049396200	2022/11/15 16:51:50.779	0.00000000000004343000	2022/11/15 16:51:51.029	0.00000000000000241875	2022/11/15 16:51:51.280	0.00000000000025058200
2022/11/15 16:51:51.601	0.00000000000793210000	2022/11/15 16:51:51.851	0.00000000000034264500	2022/11/15 16:51:52.101	0.00000000000008444660	2022/11/15 16:51:52.352	0.00000000000026116000	2022/11/15 16:51:52.602	0.00000000000061603900	2022/11/15 16:51:52.852	0.00000000000051189300	2022/11/15 16:51:53.102	0.00000000000001148100	2022/11/15 16:51:53.603	0.00000000000025091500
2022/11/15 16:51:53.924	0.00000000000781993000	2022/11/15 16:51:54.174	0.00000000000032284400	2022/11/15 16:51:54.674	0.00000000000027034600	2022/11/15 16:51:54.924	0.00000000000058703600	2022/11/15 16:51:55.175	0.00000000000050379900	2022/11/15 16:51:55.925	0.00000000000027379700
2022/11/15 16:51:56.246	0.00000000000786518000	2022/11/15 16:51:56.496	0.00000000000033846900	2022/11/15 16:51:56.997	0.00000000000026337500	2022/11/15 16:51:57.247	0.00000000000059543200	2022/11/15 16:51:57.497	0.00000000000048866800	2022/11/15 16:51:58.248	0.00000000000028266600
2022/11/15 16:51:58.569	0.00000000000781385000	2022/11/15 16:51:58.819	0.00000000000032418200	2022/11/15 16:51:59.069	0.00000000000000192962	2022/11/15 16:51:59.319	0.00000000000029135700	2022/11/15 16:51:59.569	0.00000000000053663400	2022/11/15 16:51:59.820	0.00000000000051992400	2022/11/15 16:52:00.570	0.00000000000026239600
2022/11/15 16:52:00.891	0.00000000000776171000	2022/11/15 16:52:01.141	0.00000000000031863000	2022/11/15 16:52:01.642	0.00000000000026224100	2022/11/15 16:52:01.892	0.00000000000060928800	2022/11/15 16:52:02.142	0.00000000000050472300	2022/11/15 16:52:02.893	0.00000000000026390700
2022/11/15 16:52:03.214	0.00000000000781971000	2022/11/15 16:52:03.464	0.00000000000032417700	2022/11/15 16:52:03.964	0.00000000000026642800	2022/11/15 16:52:04.214	0.00000000000058686400	2022/11/15 16:52:04.465	0.00000000000050525500	2022/11/15 16:52:05.215	0.00000000000024688400
2022/11/15 16:52:05.536	0.00000000000789045000	2022/11/15 16:52:05.786	0.00000000000033892600	2022/11/15 16:52:06.287	0.00000000000027804300	2022/11/15 16:52:06.537	0.00000000000057584000	2022/11/15 16:52:06.787	0.00000000000052909900	2022/11/15 16:52:07.538	0.00000000000023350000
2022/11/15 16:52:07.859	0.00000000000783283000	2022/11/15 16:52:08.109	0.00000000000034837000	2022/11/15 16:52:08.609	0.00000000000026399300	2022/11/15 16:52:08.859	0.00000000000058717000	2022/11/15 16:52:09.110	0.00000000000051409700	2022/11/15 16:52:09.860	0.00000000000023683300
2022/11/15 16:52:10.181	0.00000000000791221000	2022/11/15 16:52:10.431	0.00000000000032596700	2022/11/15 16:52:10.932	0.00000000000029317400	2022/11/15 16:52:11.182	0.00000000000056376700	2022/11/15 16:52:11.432	0.00000000000053176500	2022/11/15 16:52:12.183	0.00000000000026018200
2022/11/15 16:52:12.504	0.00000000000783734000	2022/11/15 16:52:12.754	0.00000000000031658700	2022/11/15 16:52:13.254	0.00000000000025731200	2022/11/15 16:52:13.504	0.00000000000056547100	2022/11/15 16:52:13.755	0.00000000000049198400	2022/11/15 16:52:14.505	0.00000000000024958200
2022/11/15 16:52:14.826	0.00000000000778418000	2022/11/15 16:52:15.076	0.00000000000032037100	2022/11/15 16:52:15.577	0.00000000000028323000	2022/11/15 16:52:15.827	0.00000000000061694200	2022/11/15 16:52:16.077	0.00000000000051245800	2022/11/15 16:52:16.828	0.00000000000026344500
