F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/13 17:34:10.061	0.00000000001849000000	2022/12/13 17:34:11.562	0.00000000000000000000	2022/12/13 17:34:11.812	0.00000000000021500000
2022/12/13 17:34:12.884	0.00000000001880710000	2022/12/13 17:34:14.135	0.00000000000008600000	2022/12/13 17:34:14.385	0.00000000000061812500	2022/12/13 17:34:14.635	0.00000000000064500000
2022/12/13 17:34:18.708	0.00000000001921830000	2022/12/13 17:34:18.958	0.00000000000092181300	2022/12/13 17:34:19.208	0.00000000000005805000	2022/12/13 17:34:19.458	0.00000000000017468700	2022/12/13 17:34:19.708	0.00000000000009406250	2022/12/13 17:34:19.958	0.00000000000043215000	2022/12/13 17:34:20.209	0.00000000000079711200	2022/12/13 17:34:20.459	0.00000000000085140000	2022/12/13 17:34:20.709	0.00000000000009567500	2022/12/13 17:34:20.960	0.00000000000004138750
2022/12/13 17:34:25.033	0.00000000001945420000	2022/12/13 17:34:25.283	0.00000000000095470800	2022/12/13 17:34:25.533	0.00000000000005778120	2022/12/13 17:34:25.783	0.00000000000018237300	2022/12/13 17:34:26.033	0.00000000000009933000	2022/12/13 17:34:26.283	0.00000000000043489100	2022/12/13 17:34:26.534	0.00000000000078356700	2022/12/13 17:34:26.784	0.00000000000086741800	2022/12/13 17:34:27.035	0.00000000000011378800	2022/12/13 17:34:27.285	0.00000000000005031000
2022/12/13 17:34:31.358	0.00000000001969180000	2022/12/13 17:34:31.608	0.00000000000095175100	2022/12/13 17:34:31.858	0.00000000000006278000	2022/12/13 17:34:32.108	0.00000000000016668900	2022/12/13 17:34:32.358	0.00000000000010682800	2022/12/13 17:34:32.609	0.00000000000041984100	2022/12/13 17:34:32.859	0.00000000000079634900	2022/12/13 17:34:33.109	0.00000000000085091600	2022/12/13 17:34:33.360	0.00000000000010278000	2022/12/13 17:34:33.610	0.00000000000006724660
2022/12/13 17:34:37.683	0.00000000001985630000	2022/12/13 17:34:37.933	0.00000000000096320000	2022/12/13 17:34:38.183	0.00000000000001582400	2022/12/13 17:34:38.433	0.00000000000017682600	2022/12/13 17:34:38.683	0.00000000000011488500	2022/12/13 17:34:38.934	0.00000000000043279500	2022/12/13 17:34:39.184	0.00000000000085735000	2022/12/13 17:34:39.434	0.00000000000086458500	2022/12/13 17:34:39.685	0.00000000000008670950	2022/12/13 17:34:39.935	0.00000000000001491930
2022/12/13 17:34:44.008	0.00000000001973530000	2022/12/13 17:34:44.258	0.00000000000097131600	2022/12/13 17:34:44.508	0.00000000000001855880	2022/12/13 17:34:44.758	0.00000000000016849000	2022/12/13 17:34:45.008	0.00000000000009786260	2022/12/13 17:34:45.259	0.00000000000047308600	2022/12/13 17:34:45.509	0.00000000000076291100	2022/12/13 17:34:45.759	0.00000000000083332400	2022/12/13 17:34:46.010	0.00000000000002733350	2022/12/13 17:34:46.260	0.00000000000002233740	2022/12/13 17:34:47.011	0.00000000000037625000
2022/12/13 17:34:50.333	0.00000000001993800000	2022/12/13 17:34:50.583	0.00000000000095820100	2022/12/13 17:34:50.833	0.00000000000001356650	2022/12/13 17:34:51.083	0.00000000000018827500	2022/12/13 17:34:51.333	0.00000000000010856900	2022/12/13 17:34:51.584	0.00000000000043964800	2022/12/13 17:34:51.834	0.00000000000080415900	2022/12/13 17:34:52.084	0.00000000000089958200	2022/12/13 17:34:52.335	0.00000000000004120900	2022/12/13 17:34:52.585	0.00000000000002181170
2022/12/13 17:34:56.658	0.00000000001991220000	2022/12/13 17:34:56.908	0.00000000000096088900	2022/12/13 17:34:57.158	0.00000000000002288670	2022/12/13 17:34:57.408	0.00000000000019660600	2022/12/13 17:34:57.658	0.00000000000011053100	2022/12/13 17:34:57.909	0.00000000000040392600	2022/12/13 17:34:58.159	0.00000000000079624200	2022/12/13 17:34:58.409	0.00000000000090821900	2022/12/13 17:34:58.660	0.00000000000003449350	2022/12/13 17:34:58.910	0.00000000000001373850
2022/12/13 17:35:02.983	0.00000000001993210000	2022/12/13 17:35:03.233	0.00000000000096938100	2022/12/13 17:35:03.483	0.00000000000001820940	2022/12/13 17:35:03.733	0.00000000000017059100	2022/12/13 17:35:03.983	0.00000000000011084300	2022/12/13 17:35:04.234	0.00000000000042228700	2022/12/13 17:35:04.484	0.00000000000084082200	2022/12/13 17:35:04.734	0.00000000000085577000	2022/12/13 17:35:04.985	0.00000000000002182520	2022/12/13 17:35:05.235	0.00000000000002051370
2022/12/13 17:35:09.308	0.00000000002002610000	2022/12/13 17:35:09.558	0.00000000000096948900	2022/12/13 17:35:09.808	0.00000000000001360350	2022/12/13 17:35:10.058	0.00000000000019348300	2022/12/13 17:35:10.308	0.00000000000010578000	2022/12/13 17:35:10.559	0.00000000000044714600	2022/12/13 17:35:10.809	0.00000000000084803500	2022/12/13 17:35:11.059	0.00000000000079020000	2022/12/13 17:35:11.310	0.00000000000002258140	2022/12/13 17:35:11.560	0.00000000000002222180
2022/12/13 17:35:15.633	0.00000000002004820000	2022/12/13 17:35:15.883	0.00000000000097309000	2022/12/13 17:35:16.133	0.00000000000002121190	2022/12/13 17:35:16.383	0.00000000000016631800	2022/12/13 17:35:16.633	0.00000000000010881100	2022/12/13 17:35:16.884	0.00000000000041986800	2022/12/13 17:35:17.134	0.00000000000084754100	2022/12/13 17:35:17.384	0.00000000000091187400	2022/12/13 17:35:17.635	0.00000000000002896910	2022/12/13 17:35:17.885	0.00000000000002163270	2022/12/13 17:35:18.636	0.00000000000010750000
2022/12/13 17:35:21.958	0.00000000001994280000	2022/12/13 17:35:22.208	0.00000000000095820100	2022/12/13 17:35:22.458	0.00000000000001858780	2022/12/13 17:35:22.708	0.00000000000017073100	2022/12/13 17:35:22.958	0.00000000000011573900	2022/12/13 17:35:23.209	0.00000000000041803000	2022/12/13 17:35:23.459	0.00000000000078907700	2022/12/13 17:35:23.709	0.00000000000087062100	2022/12/13 17:35:23.960	0.00000000000002664440	2022/12/13 17:35:24.210	0.00000000000001906880
2022/12/13 17:35:28.283	0.00000000001998480000	2022/12/13 17:35:28.533	0.00000000000098040000	2022/12/13 17:35:28.783	0.00000000000001622980	2022/12/13 17:35:29.033	0.00000000000017899800	2022/12/13 17:35:29.283	0.00000000000009582010	2022/12/13 17:35:29.534	0.00000000000045724000	2022/12/13 17:35:29.784	0.00000000000085443700	2022/12/13 17:35:30.034	0.00000000000080312200	2022/12/13 17:35:30.285	0.00000000000002388430	2022/12/13 17:35:30.535	0.00000000000001864740
2022/12/13 17:35:34.608	0.00000000002009440000	2022/12/13 17:35:34.858	0.00000000000098937600	2022/12/13 17:35:35.108	0.00000000000001612390	2022/12/13 17:35:35.358	0.00000000000017407400	2022/12/13 17:35:35.608	0.00000000000007286890	2022/12/13 17:35:35.859	0.00000000000046144900	2022/12/13 17:35:36.109	0.00000000000084176300	2022/12/13 17:35:36.359	0.00000000000089153000	2022/12/13 17:35:36.610	0.00000000000003934340	2022/12/13 17:35:36.860	0.00000000000001667110
