mass 2.0_time	datetime	Date	Elapsed time	Time	VMon1	VMon2	VMon3	VMon4	VMon5	VMon6	VMon7	VMon8	IMon1	IMon2	IMon3	IMon4	IMon5	IMon6	IMon7	IMon8	Comment	Unnamed: 19	hv_grid	I_em
2022-12-13 17:34:19	2022-12-13 17:34:19	13/12/2022	255.76500000000001	17:34:19.263	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0056	0.0084	0.01	0.0087	-0.0156	-0.0274	-0.0109			2.9999999999999995e-10	5.6e-09
2022-12-13 17:34:25	2022-12-13 17:34:25	13/12/2022	261.701	17:34:25.199	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0064	0.0084	0.01	0.0087	-0.0156	-0.0274	-0.011			2.9999999999999995e-10	6.4e-09
2022-12-13 17:34:31	2022-12-13 17:34:31	13/12/2022	267.579	17:34:31.077	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0058	0.0084	0.01	0.0087	-0.0156	-0.0274	-0.011			2.9999999999999995e-10	5.799999999999999e-09
2022-12-13 17:34:38	2022-12-13 17:34:38	13/12/2022	274.675	17:34:38.173	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0058	0.0084	0.01	0.0087	-0.0156	-0.0274	-0.011			2.9999999999999995e-10	5.799999999999999e-09
2022-12-13 17:34:44	2022-12-13 17:34:44	13/12/2022	280.557	17:34:44.055	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0055	0.0084	0.01	0.0087	-0.0156	-0.0274	-0.011			2.9999999999999995e-10	5.5e-09
2022-12-13 17:34:50	2022-12-13 17:34:51	13/12/2022	287.608	17:34:51.106	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0055	0.0084	0.0097	0.0087	-0.0154	-0.0274	-0.011			2.9999999999999995e-10	5.5e-09
2022-12-13 17:34:57	2022-12-13 17:34:58	13/12/2022	294.665	17:34:58.163	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0049	0.0084	0.0097	0.0087	-0.0154	-0.0262	-0.0116			2.9999999999999995e-10	4.899999999999999e-09
2022-12-13 17:35:03	2022-12-13 17:35:04	13/12/2022	300.577	17:35:04.075	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0049	0.0084	0.0097	0.0087	-0.0154	-0.0261	-0.0116			2.9999999999999995e-10	4.899999999999999e-09
2022-12-13 17:35:09	2022-12-13 17:35:09	13/12/2022	306.46500000000003	17:35:09.963	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0048	0.0083	0.0097	0.0087	-0.0154	-0.0261	-0.0116			2.9999999999999995e-10	4.799999999999999e-09
2022-12-13 17:35:16	2022-12-13 17:35:17	13/12/2022	313.529	17:35:17.027	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0042	0.008	0.0099	0.0087	-0.0154	-0.0261	-0.0117			2.9999999999999995e-10	4.1999999999999996e-09
2022-12-13 17:35:22	2022-12-13 17:35:22	13/12/2022	319.449	17:35:22.947	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0042	0.008	0.0099	0.0087	-0.0154	-0.0261	-0.0117			2.9999999999999995e-10	4.1999999999999996e-09
2022-12-13 17:35:28	2022-12-13 17:35:28	13/12/2022	325.34900000000005	17:35:28.847	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0027	0.008	0.0099	0.0087	-0.0154	-0.0261	-0.0117			2.9999999999999995e-10	2.7e-09
2022-12-13 17:35:35	2022-12-13 17:35:35	13/12/2022	332.46000000000004	17:35:35.958	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0036	0.008	0.0099	0.0087	-0.0154	-0.0261	-0.0119			2.9999999999999995e-10	3.5999999999999996e-09
2022-12-13 17:35:41	2022-12-13 17:35:41	13/12/2022	338.38	17:35:41.878	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0036	0.008	0.0099	0.0087	-0.0154	-0.0261	-0.0119			2.9999999999999995e-10	3.5999999999999996e-09
2022-12-13 17:35:47	2022-12-13 17:35:47	13/12/2022	344.29200000000003	17:35:47.790	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0036	0.008	0.0099	0.0087	-0.0154	-0.0261	-0.0119			2.9999999999999995e-10	3.5999999999999996e-09
2022-12-13 17:35:54	2022-12-13 17:35:54	13/12/2022	351.39300000000003	17:35:54.891	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0033	0.008	0.0099	0.0087	-0.0154	-0.0261	-0.0118			2.9999999999999995e-10	3.2999999999999998e-09
2022-12-13 17:36:00	2022-12-13 17:36:00	13/12/2022	357.336	17:36:00.834	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0033	0.008	0.0099	0.0087	-0.0154	-0.0261	-0.0118			2.9999999999999995e-10	3.2999999999999998e-09
2022-12-13 17:36:06	2022-12-13 17:36:06	13/12/2022	363.25	17:36:06.748	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0033	0.008	0.0099	0.0085	-0.0154	-0.0261	-0.0115			2.9999999999999995e-10	3.2999999999999998e-09
2022-12-13 17:36:13	2022-12-13 17:36:13	13/12/2022	370.34200000000004	17:36:13.840	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0033	0.008	0.0099	0.0081	-0.0153	-0.0261	-0.0115			2.9999999999999995e-10	3.2999999999999998e-09
2022-12-13 17:36:19	2022-12-13 17:36:19	13/12/2022	376.264	17:36:19.762	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.0031	0.008	0.0099	0.0074	-0.0153	-0.0261	-0.0113			2.9999999999999995e-10	3.0999999999999996e-09
2022-12-13 17:36:25	2022-12-13 17:36:25	13/12/2022	382.192	17:36:25.690	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0003	0.004	0.008	0.0099	0.0068	-0.0153	-0.0261	-0.0113			2.9999999999999995e-10	4e-09
2022-12-13 17:36:32	2022-12-13 17:36:32	13/12/2022	389.28000000000003	17:36:32.778	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0002	0.004	0.0078	0.0099	0.0068	-0.0153	-0.0261	-0.0113			2e-10	4e-09
2022-12-13 17:36:38	2022-12-13 17:36:38	13/12/2022	395.19800000000004	17:36:38.696	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	0.0002	0.0039	0.0078	0.0099	0.0068	-0.0149	-0.0261	-0.0113			2e-10	3.899999999999999e-09
2022-12-13 17:36:44	2022-12-13 17:36:44	13/12/2022	401.13000000000005	17:36:44.628	0.04	0.08	0.1	0.12	0.0	0.0	0.0	0.02	-0.0009	0.0051	0.0078	0.0099	0.0068	-0.0149	-0.0261	-0.0108			8.999999999999999e-10	5.1e-09
