	Timestamp, mass 2	mass 2.0_value	Timestamp, mass 4	mass 4.0_value	Timestamp, mass 5.5	mass 5.5_value	Timestamp, mass 12	mass 12.0_value	Timestamp, mass 15	mass 15.0_value	Timestamp, mass 16	mass 16.0_value	Timestamp, mass 18	mass 18.0_value	Timestamp, mass 28	mass 28.0_value	Timestamp, mass 32	mass 32.0_value	Timestamp, mass 40	mass 40.0_value	Timestamp, mass 44	mass 44.0_value
0	2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358	
1	2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.684		2022-12-13 17:34:37.683		2022-12-13 17:34:31.358	
2	2022-12-13 17:34:44.008	1.92183e-11	2022-12-13 17:34:44.008	9.218e-13	2022-12-13 17:34:44.008	5.8e-14	2022-12-13 17:34:44.008	1.746e-13	2022-12-13 17:34:44.008	9.4e-14	2022-12-13 17:34:44.009	4.321e-13	2022-12-13 17:34:44.008	7.971e-13	2022-12-13 17:34:44.008	8.514e-13	2022-12-13 17:34:44.009	9.56e-14	2022-12-13 17:34:44.008	4.13e-14	2022-12-13 17:34:31.358	
3	2022-12-13 17:34:50.333	1.94542e-11	2022-12-13 17:34:50.333	9.547e-13	2022-12-13 17:34:50.333	5.77e-14	2022-12-13 17:34:50.333	1.823e-13	2022-12-13 17:34:50.333	9.93e-14	2022-12-13 17:34:50.334	4.348e-13	2022-12-13 17:34:50.333	7.835e-13	2022-12-13 17:34:50.333	8.674e-13	2022-12-13 17:34:50.334	1.137e-13	2022-12-13 17:34:50.333	5.03e-14	2022-12-13 17:34:31.358	
4	2022-12-13 17:34:56.658	1.96918e-11	2022-12-13 17:34:56.658	9.517e-13	2022-12-13 17:34:56.658	6.27e-14	2022-12-13 17:34:56.658	1.666e-13	2022-12-13 17:34:56.658	1.068e-13	2022-12-13 17:34:56.659	4.198e-13	2022-12-13 17:34:56.658	7.963e-13	2022-12-13 17:34:56.658	8.509e-13	2022-12-13 17:34:56.659	1.027e-13	2022-12-13 17:34:56.658	6.72e-14	2022-12-13 17:34:31.358	
5	2022-12-13 17:35:02.983	1.98563e-11	2022-12-13 17:35:02.983	9.632e-13	2022-12-13 17:35:02.983	1.58e-14	2022-12-13 17:35:02.983	1.768e-13	2022-12-13 17:35:02.983	1.148e-13	2022-12-13 17:35:02.984	4.327e-13	2022-12-13 17:35:02.983	8.573e-13	2022-12-13 17:35:02.983	8.645e-13	2022-12-13 17:35:02.984	8.67e-14	2022-12-13 17:35:02.983	1.49e-14	2022-12-13 17:34:31.358	
6	2022-12-13 17:35:09.308	1.97353e-11	2022-12-13 17:35:09.308	9.713e-13	2022-12-13 17:35:09.308	1.85e-14	2022-12-13 17:35:09.308	1.684e-13	2022-12-13 17:35:09.308	9.78e-14	2022-12-13 17:35:09.309	4.73e-13	2022-12-13 17:35:09.308	7.629e-13	2022-12-13 17:35:09.308	8.333e-13	2022-12-13 17:35:09.309	2.73e-14	2022-12-13 17:35:09.308	2.23e-14	2022-12-13 17:34:31.358	3.762e-13
7	2022-12-13 17:35:15.633	1.9938e-11	2022-12-13 17:35:15.633	9.582e-13	2022-12-13 17:35:15.633	1.35e-14	2022-12-13 17:35:15.633	1.882e-13	2022-12-13 17:35:15.633	1.085e-13	2022-12-13 17:35:15.634	4.396e-13	2022-12-13 17:35:15.633	8.041e-13	2022-12-13 17:35:15.633	8.995e-13	2022-12-13 17:35:15.634	4.12e-14	2022-12-13 17:35:15.633	2.18e-14	2022-12-13 17:34:31.358	
8	2022-12-13 17:35:21.958	1.99122e-11	2022-12-13 17:35:21.958	9.608e-13	2022-12-13 17:35:21.958	2.28e-14	2022-12-13 17:35:21.958	1.966e-13	2022-12-13 17:35:21.958	1.105e-13	2022-12-13 17:35:21.959	4.039e-13	2022-12-13 17:35:21.958	7.962e-13	2022-12-13 17:35:21.958	9.082e-13	2022-12-13 17:35:21.959	3.44e-14	2022-12-13 17:35:21.958	1.37e-14	2022-12-13 17:34:31.358	
9	2022-12-13 17:35:28.283	1.99321e-11	2022-12-13 17:35:28.283	9.693e-13	2022-12-13 17:35:28.283	1.82e-14	2022-12-13 17:35:28.283	1.705e-13	2022-12-13 17:35:28.283	1.108e-13	2022-12-13 17:35:28.284	4.222e-13	2022-12-13 17:35:28.283	8.408e-13	2022-12-13 17:35:28.283	8.557e-13	2022-12-13 17:35:28.284	2.18e-14	2022-12-13 17:35:28.283	2.05e-14	2022-12-13 17:34:31.358	
10	2022-12-13 17:35:34.608	2.00261e-11	2022-12-13 17:35:34.608	9.694e-13	2022-12-13 17:35:34.608	1.36e-14	2022-12-13 17:35:34.608	1.934e-13	2022-12-13 17:35:34.608	1.057e-13	2022-12-13 17:35:34.609	4.471e-13	2022-12-13 17:35:34.608	8.48e-13	2022-12-13 17:35:34.608	7.902e-13	2022-12-13 17:35:34.609	2.25e-14	2022-12-13 17:35:34.608	2.22e-14	2022-12-13 17:34:31.358	
