F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/13 12:30:10.353	0.00000000008374250000	2022/12/13 12:30:11.604	0.00000000000112875000	2022/12/13 12:30:11.854	0.00000000000026875000	2022/12/13 12:30:12.104	0.00000000000424625000	2022/12/13 12:30:12.855	0.00000000000096750000
2022/12/13 12:30:13.176	0.00000000008222680000	2022/12/13 12:30:13.426	0.00000000000044075000	2022/12/13 12:30:13.676	0.00000000000025800000	2022/12/13 12:30:13.927	0.00000000000086000000	2022/12/13 12:30:14.177	0.00000000000075787500	2022/12/13 12:30:14.427	0.00000000000179525000	2022/12/13 12:30:14.677	0.00000000000191350000	2022/12/13 12:30:14.927	0.00000000000493962000	2022/12/13 12:30:15.178	0.00000000000042462500	2022/12/13 12:30:15.428	0.00000000000036012500	2022/12/13 12:30:15.678	0.00000000000086000000
2022/12/13 12:30:19.001	0.00000000008010900000	2022/12/13 12:30:19.251	0.00000000000386301000	2022/12/13 12:30:19.501	0.00000000000011448700	2022/12/13 12:30:19.752	0.00000000000053105000	2022/12/13 12:30:20.002	0.00000000000034023700	2022/12/13 12:30:20.252	0.00000000000137546000	2022/12/13 12:30:20.502	0.00000000000121851000	2022/12/13 12:30:20.752	0.00000000000384581000	2022/12/13 12:30:21.002	0.00000000000029831200	2022/12/13 12:30:21.253	0.00000000000010212500	2022/12/13 12:30:22.004	0.00000000000075250000
2022/12/13 12:30:25.326	0.00000000007744030000	2022/12/13 12:30:25.576	0.00000000000330116000	2022/12/13 12:30:25.826	0.00000000000010449000	2022/12/13 12:30:26.077	0.00000000000054916400	2022/12/13 12:30:26.327	0.00000000000031008300	2022/12/13 12:30:26.577	0.00000000000128860000	2022/12/13 12:30:26.827	0.00000000000125576000	2022/12/13 12:30:27.077	0.00000000000371186000	2022/12/13 12:30:27.328	0.00000000000029240000	2022/12/13 12:30:27.578	0.00000000000007514250	2022/12/13 12:30:28.329	0.00000000000096750000
2022/12/13 12:30:31.651	0.00000000007502050000	2022/12/13 12:30:31.901	0.00000000000323209000	2022/12/13 12:30:32.152	0.00000000000011120800	2022/12/13 12:30:32.402	0.00000000000052307900	2022/12/13 12:30:32.652	0.00000000000026456300	2022/12/13 12:30:32.902	0.00000000000127495000	2022/12/13 12:30:33.152	0.00000000000125586000	2022/12/13 12:30:33.402	0.00000000000360372000	2022/12/13 12:30:33.653	0.00000000000025501100	2022/12/13 12:30:33.903	0.00000000000009764760	2022/12/13 12:30:34.655	0.00000000000091375000
2022/12/13 12:30:37.977	0.00000000007261840000	2022/12/13 12:30:38.227	0.00000000000319151000	2022/12/13 12:30:38.477	0.00000000000007714200	2022/12/13 12:30:38.727	0.00000000000051719300	2022/12/13 12:30:38.977	0.00000000000026619700	2022/12/13 12:30:39.228	0.00000000000130349000	2022/12/13 12:30:39.478	0.00000000000129886000	2022/12/13 12:30:39.728	0.00000000000347192000	2022/12/13 12:30:39.979	0.00000000000027214700	2022/12/13 12:30:40.229	0.00000000000007877060	2022/12/13 12:30:40.980	0.00000000000005375000
2022/12/13 12:30:44.302	0.00000000007000510000	2022/12/13 12:30:44.552	0.00000000000309621000	2022/12/13 12:30:44.802	0.00000000000002233900	2022/12/13 12:30:45.052	0.00000000000051392500	2022/12/13 12:30:45.302	0.00000000000024853400	2022/12/13 12:30:45.553	0.00000000000126070000	2022/12/13 12:30:45.803	0.00000000000134348000	2022/12/13 12:30:46.053	0.00000000000345118000	2022/12/13 12:30:46.304	0.00000000000020305600	2022/12/13 12:30:46.554	0.00000000000002515600	2022/12/13 12:30:47.305	0.00000000000021500000
2022/12/13 12:30:50.627	0.00000000006937030000	2022/12/13 12:30:50.877	0.00000000000308127000	2022/12/13 12:30:51.127	0.00000000000001431410	2022/12/13 12:30:51.377	0.00000000000039566400	2022/12/13 12:30:51.627	0.00000000000028806700	2022/12/13 12:30:51.878	0.00000000000127430000	2022/12/13 12:30:52.128	0.00000000000136874000	2022/12/13 12:30:52.378	0.00000000000339022000	2022/12/13 12:30:52.629	0.00000000000020773300	2022/12/13 12:30:52.879	0.00000000000001402760	2022/12/13 12:30:53.630	0.00000000000021500000
2022/12/13 12:30:56.952	0.00000000006861670000	2022/12/13 12:30:57.202	0.00000000000305343000	2022/12/13 12:30:57.452	0.00000000000002691150	2022/12/13 12:30:57.702	0.00000000000045588600	2022/12/13 12:30:57.952	0.00000000000020692100	2022/12/13 12:30:58.203	0.00000000000125807000	2022/12/13 12:30:58.453	0.00000000000144872000	2022/12/13 12:30:58.703	0.00000000000331696000	2022/12/13 12:30:58.954	0.00000000000024267000	2022/12/13 12:30:59.204	0.00000000000002055830	2022/12/13 12:30:59.955	0.00000000000043000000
2022/12/13 12:31:03.277	0.00000000006695210000	2022/12/13 12:31:03.527	0.00000000000301204000	2022/12/13 12:31:03.777	0.00000000000001844960	2022/12/13 12:31:04.027	0.00000000000046349700	2022/12/13 12:31:04.277	0.00000000000025976800	2022/12/13 12:31:04.528	0.00000000000122636000	2022/12/13 12:31:04.778	0.00000000000149425000	2022/12/13 12:31:05.028	0.00000000000333169000	2022/12/13 12:31:05.279	0.00000000000024140700	2022/12/13 12:31:05.529	0.00000000000002051690	2022/12/13 12:31:06.280	0.00000000000010750000
2022/12/13 12:31:09.602	0.00000000006511170000	2022/12/13 12:31:09.852	0.00000000000294431000	2022/12/13 12:31:10.102	0.00000000000001328750	2022/12/13 12:31:10.352	0.00000000000047310200	2022/12/13 12:31:10.602	0.00000000000029293200	2022/12/13 12:31:10.853	0.00000000000125205000	2022/12/13 12:31:11.103	0.00000000000151155000	2022/12/13 12:31:11.353	0.00000000000325945000	2022/12/13 12:31:11.604	0.00000000000012984300	2022/12/13 12:31:11.854	0.00000000000002048030	2022/12/13 12:31:12.605	0.00000000000026875000
