F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	6.40
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/14 14:44:10.589	0.00000000002515500000	2022/11/14 14:44:10.839	0.00000000000118250000	2022/11/14 14:44:11.090	0.00000000000139750000	2022/11/14 14:44:11.340	0.00000000000155875000	2022/11/14 14:44:11.590	0.00000000000231125000	2022/11/14 14:44:11.840	0.00000000000263375000	2022/11/14 14:44:12.090	0.00000000000091375000	2022/11/14 14:44:12.340	0.00000000000107500000	2022/11/14 14:44:12.591	0.00000000000182750000
2022/11/14 14:44:12.912	0.00000000002492380000	2022/11/14 14:44:13.162	0.00000000000088687500	2022/11/14 14:44:13.412	0.00000000000118787000	2022/11/14 14:44:13.662	0.00000000000148887000	2022/11/14 14:44:13.912	0.00000000000225212000	2022/11/14 14:44:14.163	0.00000000000267675000	2022/11/14 14:44:14.413	0.00000000000094062500	2022/11/14 14:44:14.663	0.00000000000104812000	2022/11/14 14:44:14.913	0.00000000000180062000
2022/11/14 14:44:18.235	0.00000000002380210000	2022/11/14 14:44:18.485	0.00000000000113143000	2022/11/14 14:44:18.735	0.00000000000028756200	2022/11/14 14:44:18.985	0.00000000000053427500	2022/11/14 14:44:19.235	0.00000000000120722000	2022/11/14 14:44:19.485	0.00000000000170978000	2022/11/14 14:44:19.736	0.00000000000010857500	2022/11/14 14:44:19.986	0.00000000000002042500	2022/11/14 14:44:20.236	0.00000000000075088700
2022/11/14 14:44:20.558	0.00000000002318340000	2022/11/14 14:44:20.808	0.00000000000107876000	2022/11/14 14:44:21.058	0.00000000000028912100	2022/11/14 14:44:21.308	0.00000000000056147200	2022/11/14 14:44:21.558	0.00000000000118594000	2022/11/14 14:44:21.808	0.00000000000166216000	2022/11/14 14:44:22.059	0.00000000000010196300	2022/11/14 14:44:22.309	0.00000000000000999750	2022/11/14 14:44:22.560	0.00000000000074605000
2022/11/14 14:44:22.881	0.00000000002317210000	2022/11/14 14:44:23.131	0.00000000000110149000	2022/11/14 14:44:23.382	0.00000000000027424800	2022/11/14 14:44:23.632	0.00000000000055202300	2022/11/14 14:44:23.882	0.00000000000118147000	2022/11/14 14:44:24.132	0.00000000000164974000	2022/11/14 14:44:24.382	0.00000000000010591400	2022/11/14 14:44:24.632	0.00000000000000937400	2022/11/14 14:44:24.883	0.00000000000073842800
2022/11/14 14:44:25.204	0.00000000002313340000	2022/11/14 14:44:25.454	0.00000000000112052000	2022/11/14 14:44:25.705	0.00000000000028302600	2022/11/14 14:44:25.955	0.00000000000049685900	2022/11/14 14:44:26.205	0.00000000000118002000	2022/11/14 14:44:26.455	0.00000000000161497000	2022/11/14 14:44:26.705	0.00000000000007236360	2022/11/14 14:44:27.206	0.00000000000074841500
2022/11/14 14:44:27.527	0.00000000002290820000	2022/11/14 14:44:27.777	0.00000000000107849000	2022/11/14 14:44:28.027	0.00000000000027189900	2022/11/14 14:44:28.277	0.00000000000047627300	2022/11/14 14:44:28.527	0.00000000000115503000	2022/11/14 14:44:28.778	0.00000000000157519000	2022/11/14 14:44:29.028	0.00000000000000641990	2022/11/14 14:44:29.528	0.00000000000074416300
2022/11/14 14:44:29.849	0.00000000002270720000	2022/11/14 14:44:30.099	0.00000000000108580000	2022/11/14 14:44:30.350	0.00000000000024652400	2022/11/14 14:44:30.600	0.00000000000052327800	2022/11/14 14:44:30.850	0.00000000000117309000	2022/11/14 14:44:31.100	0.00000000000159637000	2022/11/14 14:44:31.851	0.00000000000073471400
2022/11/14 14:44:32.172	0.00000000002275560000	2022/11/14 14:44:32.422	0.00000000000109230000	2022/11/14 14:44:32.672	0.00000000000027889800	2022/11/14 14:44:32.922	0.00000000000047277900	2022/11/14 14:44:33.172	0.00000000000117046000	2022/11/14 14:44:33.423	0.00000000000161970000	2022/11/14 14:44:34.173	0.00000000000072914000
2022/11/14 14:44:34.494	0.00000000002274540000	2022/11/14 14:44:34.744	0.00000000000106580000	2022/11/14 14:44:34.995	0.00000000000028567600	2022/11/14 14:44:35.245	0.00000000000052317000	2022/11/14 14:44:35.495	0.00000000000111020000	2022/11/14 14:44:35.745	0.00000000000160019000	2022/11/14 14:44:36.496	0.00000000000070277600
2022/11/14 14:44:36.817	0.00000000002259000000	2022/11/14 14:44:37.067	0.00000000000106360000	2022/11/14 14:44:37.317	0.00000000000026690100	2022/11/14 14:44:37.567	0.00000000000052285800	2022/11/14 14:44:37.817	0.00000000000114030000	2022/11/14 14:44:38.068	0.00000000000160282000	2022/11/14 14:44:38.818	0.00000000000071203200
2022/11/14 14:44:39.139	0.00000000002266370000	2022/11/14 14:44:39.389	0.00000000000108800000	2022/11/14 14:44:39.640	0.00000000000025931700	2022/11/14 14:44:39.890	0.00000000000050738900	2022/11/14 14:44:40.140	0.00000000000116368000	2022/11/14 14:44:40.390	0.00000000000160234000	2022/11/14 14:44:41.141	0.00000000000073452100
2022/11/14 14:44:41.462	0.00000000002289210000	2022/11/14 14:44:41.712	0.00000000000108994000	2022/11/14 14:44:41.962	0.00000000000027231900	2022/11/14 14:44:42.212	0.00000000000051676800	2022/11/14 14:44:42.462	0.00000000000113439000	2022/11/14 14:44:42.713	0.00000000000161303000	2022/11/14 14:44:43.463	0.00000000000072511400
2022/11/14 14:44:43.784	0.00000000002268250000	2022/11/14 14:44:44.034	0.00000000000109091000	2022/11/14 14:44:44.285	0.00000000000027497400	2022/11/14 14:44:44.535	0.00000000000052952300	2022/11/14 14:44:44.785	0.00000000000117051000	2022/11/14 14:44:45.035	0.00000000000166576000	2022/11/14 14:44:45.285	0.00000000000000639249	2022/11/14 14:44:45.786	0.00000000000070764600
2022/11/14 14:44:46.107	0.00000000002269910000	2022/11/14 14:44:46.357	0.00000000000106967000	2022/11/14 14:44:46.607	0.00000000000026897000	2022/11/14 14:44:46.857	0.00000000000051792900	2022/11/14 14:44:47.107	0.00000000000112977000	2022/11/14 14:44:47.358	0.00000000000162690000	2022/11/14 14:44:48.108	0.00000000000073706300
2022/11/14 14:44:48.429	0.00000000002244650000	2022/11/14 14:44:48.679	0.00000000000107876000	2022/11/14 14:44:48.930	0.00000000000028384300	2022/11/14 14:44:49.180	0.00000000000052143900	2022/11/14 14:44:49.430	0.00000000000114799000	2022/11/14 14:44:49.680	0.00000000000156358000	2022/11/14 14:44:50.431	0.00000000000075038800
2022/11/14 14:44:50.752	0.00000000002273680000	2022/11/14 14:44:51.002	0.00000000000107091000	2022/11/14 14:44:51.252	0.00000000000028978200	2022/11/14 14:44:51.502	0.00000000000050941000	2022/11/14 14:44:51.752	0.00000000000113821000	2022/11/14 14:44:52.003	0.00000000000161169000	2022/11/14 14:44:52.753	0.00000000000072462000
2022/11/14 14:44:53.074	0.00000000002242340000	2022/11/14 14:44:53.324	0.00000000000107919000	2022/11/14 14:44:53.575	0.00000000000026138600	2022/11/14 14:44:53.825	0.00000000000052162200	2022/11/14 14:44:54.075	0.00000000000117777000	2022/11/14 14:44:54.325	0.00000000000159132000	2022/11/14 14:44:55.076	0.00000000000072272200
2022/11/14 14:44:55.397	0.00000000002257660000	2022/11/14 14:44:55.647	0.00000000000109972000	2022/11/14 14:44:55.897	0.00000000000026990500	2022/11/14 14:44:56.147	0.00000000000053572600	2022/11/14 14:44:56.397	0.00000000000119110000	2022/11/14 14:44:56.648	0.00000000000161706000	2022/11/14 14:44:57.398	0.00000000000072033600
2022/11/14 14:44:57.719	0.00000000002308130000	2022/11/14 14:44:57.969	0.00000000000109150000	2022/11/14 14:44:58.220	0.00000000000027422100	2022/11/14 14:44:58.470	0.00000000000053493600	2022/11/14 14:44:58.720	0.00000000000115250000	2022/11/14 14:44:58.970	0.00000000000164098000	2022/11/14 14:44:59.721	0.00000000000076461500
2022/11/14 14:45:00.042	0.00000000002315120000	2022/11/14 14:45:00.292	0.00000000000109779000	2022/11/14 14:45:00.542	0.00000000000027866700	2022/11/14 14:45:00.792	0.00000000000055842500	2022/11/14 14:45:01.042	0.00000000000113692000	2022/11/14 14:45:01.293	0.00000000000164152000	2022/11/14 14:45:02.043	0.00000000000077389200
2022/11/14 14:45:02.364	0.00000000002281740000	2022/11/14 14:45:02.614	0.00000000000109386000	2022/11/14 14:45:02.865	0.00000000000027106600	2022/11/14 14:45:03.115	0.00000000000051953700	2022/11/14 14:45:03.365	0.00000000000114616000	2022/11/14 14:45:03.615	0.00000000000164292000	2022/11/14 14:45:03.865	0.00000000000000700954	2022/11/14 14:45:04.366	0.00000000000075387100
2022/11/14 14:45:04.687	0.00000000002284160000	2022/11/14 14:45:04.937	0.00000000000108268000	2022/11/14 14:45:05.187	0.00000000000026650800	2022/11/14 14:45:05.437	0.00000000000053310300	2022/11/14 14:45:05.687	0.00000000000115385000	2022/11/14 14:45:05.938	0.00000000000168436000	2022/11/14 14:45:06.688	0.00000000000075144100
2022/11/14 14:45:07.009	0.00000000002276360000	2022/11/14 14:45:07.259	0.00000000000107516000	2022/11/14 14:45:07.510	0.00000000000026037500	2022/11/14 14:45:07.760	0.00000000000050512600	2022/11/14 14:45:08.010	0.00000000000113869000	2022/11/14 14:45:08.260	0.00000000000163120000	2022/11/14 14:45:09.011	0.00000000000070753800
2022/11/14 14:45:09.332	0.00000000002292920000	2022/11/14 14:45:09.582	0.00000000000109988000	2022/11/14 14:45:09.832	0.00000000000025924700	2022/11/14 14:45:10.082	0.00000000000054358400	2022/11/14 14:45:10.332	0.00000000000117067000	2022/11/14 14:45:10.583	0.00000000000157148000	2022/11/14 14:45:11.333	0.00000000000073864900
2022/11/14 14:45:11.654	0.00000000002284800000	2022/11/14 14:45:11.904	0.00000000000108123000	2022/11/14 14:45:12.155	0.00000000000027034100	2022/11/14 14:45:12.405	0.00000000000052411600	2022/11/14 14:45:12.655	0.00000000000112670000	2022/11/14 14:45:12.905	0.00000000000158761000	2022/11/14 14:45:13.656	0.00000000000077227500
2022/11/14 14:45:13.977	0.00000000002262930000	2022/11/14 14:45:14.227	0.00000000000107994000	2022/11/14 14:45:14.477	0.00000000000028436400	2022/11/14 14:45:14.727	0.00000000000051377500	2022/11/14 14:45:14.977	0.00000000000111429000	2022/11/14 14:45:15.228	0.00000000000159191000	2022/11/14 14:45:15.978	0.00000000000078034800
2022/11/14 14:45:16.299	0.00000000002271150000	2022/11/14 14:45:16.549	0.00000000000106967000	2022/11/14 14:45:16.800	0.00000000000026437400	2022/11/14 14:45:17.050	0.00000000000054319200	2022/11/14 14:45:17.300	0.00000000000114068000	2022/11/14 14:45:17.550	0.00000000000165093000	2022/11/14 14:45:18.301	0.00000000000074508200
2022/11/14 14:45:18.622	0.00000000002263890000	2022/11/14 14:45:18.872	0.00000000000108155000	2022/11/14 14:45:19.122	0.00000000000028381600	2022/11/14 14:45:19.372	0.00000000000050949600	2022/11/14 14:45:19.622	0.00000000000116105000	2022/11/14 14:45:19.873	0.00000000000168194000	2022/11/14 14:45:20.623	0.00000000000075430100
2022/11/14 14:45:20.944	0.00000000002228960000	2022/11/14 14:45:21.194	0.00000000000106650000	2022/11/14 14:45:21.445	0.00000000000025997200	2022/11/14 14:45:21.695	0.00000000000053052800	2022/11/14 14:45:21.945	0.00000000000115503000	2022/11/14 14:45:22.195	0.00000000000158277000	2022/11/14 14:45:22.946	0.00000000000074294900
2022/11/14 14:45:23.267	0.00000000002261690000	2022/11/14 14:45:23.517	0.00000000000111429000	2022/11/14 14:45:23.767	0.00000000000028011800	2022/11/14 14:45:24.017	0.00000000000054243400	2022/11/14 14:45:24.267	0.00000000000114374000	2022/11/14 14:45:24.518	0.00000000000162077000	2022/11/14 14:45:25.268	0.00000000000077624100
2022/11/14 14:45:25.589	0.00000000002262500000	2022/11/14 14:45:25.839	0.00000000000106054000	2022/11/14 14:45:26.090	0.00000000000026186400	2022/11/14 14:45:26.340	0.00000000000050184200	2022/11/14 14:45:26.590	0.00000000000114003000	2022/11/14 14:45:26.840	0.00000000000158207000	2022/11/14 14:45:27.591	0.00000000000072982300
2022/11/14 14:45:27.912	0.00000000002268460000	2022/11/14 14:45:28.162	0.00000000000109510000	2022/11/14 14:45:28.412	0.00000000000023811800	2022/11/14 14:45:28.662	0.00000000000056541800	2022/11/14 14:45:28.912	0.00000000000113826000	2022/11/14 14:45:29.163	0.00000000000160895000	2022/11/14 14:45:29.913	0.00000000000074243300
2022/11/14 14:45:30.234	0.00000000002236370000	2022/11/14 14:45:30.484	0.00000000000109569000	2022/11/14 14:45:30.735	0.00000000000025473200	2022/11/14 14:45:30.985	0.00000000000049113500	2022/11/14 14:45:31.235	0.00000000000116218000	2022/11/14 14:45:31.485	0.00000000000162061000	2022/11/14 14:45:32.236	0.00000000000075835900
