ASCII SAMPLE CYCLES :			primary desorption, grid transparent.mdc
DATE :	10/10/2022	TIME :	11:07:25 pm
CONVERTED CYCLES :			342
Number of stored cycles			342
Printed start cycle			1
Printed end cycle			342
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	5.42403E-011	max:	4.44756E-010	
'0/1'	12.00	min:	3.2688E-012	max:	4.03904E-011	
'0/2'	14.00	min:	9.29889E-013	max:	1.87264E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/3'	15.00	min:	9.06687E-013	max:	4.04757E-011	
'0/4'	16.00	min:	8.11101E-012	max:	6.56082E-011	ABS A AND B	T_min:	5E-007	
'0/5'	18.00	min:	7.8933E-011	max:	1.16332E-010	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/6'	28.00	min:	1.27286E-011	max:	1.68787E-010	ABS A AND B	T_min:	5E-007	
'0/7'	32.00	min:	3.46187E-013	max:	7.19024E-013	ABS A	T_min:	5E-007	
'0/8'	40.00	min:	3.7658E-013	max:	2.57386E-012	ABS B	T_min:	5E-007	
'0/9'	44.00	min:	6.51938E-012	max:	5.15873E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	Threshold	'0/3'	'0/4'	Threshold	'0/5'	Threshold	'0/6'	Threshold	'0/7'	Threshold	'0/8'	Threshold	'0/9'	Threshold	
1	10/10/2022	11:07:25:00 pm	0	5.50965E-011	3.40746E-012	9.81714E-013	HL	9.45868E-013	8.5303E-012	L	7.96618E-011	HL	1.29264E-011	L	3.69978E-013	H	3.99426E-013	L	6.61599E-012	HL	
2	10/10/2022	11:07:36:46 pm	11.466	5.46143E-011	3.29133E-012	9.92195E-013	HL	9.69145E-013	8.52147E-012	L	7.91714E-011	HL	1.28234E-011	L	3.62682E-013	H	3.90186E-013	L	6.58912E-012	HL	
3	10/10/2022	11:07:47:82 pm	22.825	5.42403E-011	3.31456E-012	9.41074E-013	HL	9.3377E-013	8.3279E-012	L	7.94877E-011	HL	1.27286E-011	L	3.72263E-013	H	4.18568E-013	L	6.56782E-012	HL	
4	10/10/2022	11:07:59:32 pm	34.322	5.45857E-011	3.28217E-012	9.33359E-013	HL	9.46694E-013	8.11101E-012	L	7.90634E-011	HL	1.29551E-011	L	3.58221E-013	H	3.7658E-013	L	6.57082E-012	HL	
5	10/10/2022	11:08:10:84 pm	45.84	5.45722E-011	3.40795E-012	9.29889E-013	HL	9.06687E-013	8.25818E-012	L	7.8933E-011	HL	1.27644E-011	L	3.83954E-013	H	3.81388E-013	L	6.60215E-012	HL	
6	10/10/2022	11:08:22:31 pm	57.318	5.46517E-011	3.2688E-012	9.36798E-013	HL	9.6786E-013	8.45232E-012	L	7.94889E-011	HL	1.28536E-011	L	3.57194E-013	H	3.98448E-013	L	6.54451E-012	HL	
7	10/10/2022	11:08:33:77 pm	68.776	5.48328E-011	3.38421E-012	1.05802E-012	HL	2.41246E-012	1.83924E-011	L	9.83947E-011	HL	1.1187E-010	L	5.65732E-013	H	2.09853E-012	L	5.01227E-011	HL	
8	10/10/2022	11:08:45:19 pm	80.193	3.7604E-010	3.1314E-011	1.37504E-011	HL	2.94675E-011	5.15999E-011	L	1.09387E-010	HL	1.25453E-010	L	6.07255E-013	H	2.01473E-012	L	4.91914E-011	HL	
9	10/10/2022	11:08:56:47 pm	91.471	3.76153E-010	3.19117E-011	1.41064E-011	HL	3.09488E-011	5.2839E-011	L	1.08202E-010	HL	1.27885E-010	L	5.99113E-013	H	2.12602E-012	L	4.89427E-011	HL	
10	10/10/2022	11:09:07:61 pm	102.619	3.84092E-010	3.22479E-011	1.47527E-011	HL	3.20791E-011	5.47211E-011	L	1.09029E-010	HL	1.31547E-010	L	6.21197E-013	H	2.12149E-012	L	4.91347E-011	HL	
