ASCII SCAN ANALOG DATA:			complete desorption measurement_em on_grid off.sac
DATE:	12/10/2022	TIME:	14:38:55 pm
Number of stored SCA cycles			30
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  0.00
Scan Width	50
Values/Mass	32
Zoom Start	  0.00
Zoom End	 50.00
Cycle	CycleDate	CycleTime	
1	12/10/2022	14:38:55:49 pm
ScanData	1
   0.00	4.60461E-013
   0.03	4.08777E-013
   0.06	5.33481E-013
   0.09	3.87545E-013
   0.13	4.65278E-013
   0.16	4.72751E-013
   0.19	2.93352E-013
   0.22	4.17473E-013
   0.25	4.99562E-013
   0.28	4.27294E-013
   0.31	4.60306E-013
   0.34	5.34117E-013
   0.38	4.79042E-013
   0.41	4.05977E-013
   0.44	-3.79225E-013
   0.47	1.01509E-012
   0.50	5.47901E-013
   0.53	3.99566E-013
   0.56	3.19486E-013
   0.59	4.30313E-013
   0.63	4.29842E-013
   0.66	4.31042E-013
   0.69	4.2537E-013
   0.72	3.49474E-013
   0.75	2.38238E-013
   0.78	1.15554E-012
   0.81	1.01185E-012
   0.84	1.84479E-012
   0.88	1.9653E-012
   0.91	3.84149E-012
   0.94	5.664E-012
   0.97	1.7017E-011
   1.00	2.44022E-011
   1.03	3.09309E-011
   1.06	3.71427E-011
   1.09	4.4589E-011
   1.13	5.0595E-011
   1.16	5.62141E-011
   1.19	5.83584E-011
   1.22	6.83684E-011
   1.25	7.07655E-011
   1.28	7.04599E-011
   1.31	6.99015E-011
   1.34	6.60555E-011
   1.38	4.6046E-011
   1.41	4.63885E-011
   1.44	3.43712E-011
   1.47	2.52568E-011
   1.50	1.51836E-011
   1.53	1.3229E-011
   1.56	1.90138E-011
   1.59	2.15689E-011
   1.63	2.73168E-011
   1.66	2.99299E-011
   1.69	3.53986E-011
   1.72	4.69101E-011
   1.75	6.25204E-011
   1.78	8.47058E-011
   1.81	1.08164E-010
   1.84	1.34292E-010
   1.88	1.72014E-010
   1.91	2.10368E-010
   1.94	2.57035E-010
   1.97	2.87972E-010
   2.00	3.24272E-010
   2.03	3.53933E-010
   2.06	3.74427E-010
   2.09	3.97661E-010
