ASCII SCAN ANALOG DATA:			complete desorption measurement_no em.sac
DATE:	12/10/2022	TIME:	14:11:23 pm
Number of stored SCA cycles			30
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  0.00
Scan Width	50
Values/Mass	32
Zoom Start	  0.00
Zoom End	 50.00
Cycle	CycleDate	CycleTime	
1	12/10/2022	14:11:23:72 pm
ScanData	1
   0.00	3.58622E-013
   0.03	3.43677E-013
   0.06	4.25109E-013
   0.09	3.40952E-013
   0.13	2.55478E-013
   0.16	1.81682E-013
   0.19	2.52193E-013
   0.22	3.12813E-013
   0.25	3.97397E-013
   0.28	5.48906E-013
   0.31	1.60973E-013
   0.34	3.69314E-013
   0.38	2.63319E-013
   0.41	9.36561E-014
   0.44	-4.6585E-014
   0.47	8.46847E-013
   0.50	1.33074E-013
   0.53	3.23956E-013
   0.56	3.21954E-013
   0.59	1.41907E-013
   0.63	2.4024E-013
   0.66	2.87788E-013
   0.69	2.94795E-013
   0.72	3.05305E-013
   0.75	-9.00131E-014
   0.78	1.29451E-012
   0.81	9.40017E-013
   0.84	6.98699E-013
   0.88	6.78428E-013
   0.91	2.24889E-012
   0.94	1.93134E-012
   0.97	4.61461E-012
   1.00	7.25336E-012
   1.03	7.04371E-012
   1.06	9.00901E-012
   1.09	1.31921E-011
   1.13	1.665E-011
   1.16	1.84963E-011
   1.19	1.96641E-011
   1.22	2.11267E-011
   1.25	2.37849E-011
   1.28	2.40662E-011
   1.31	2.30125E-011
   1.34	2.01201E-011
   1.38	1.40351E-011
   1.41	1.5231E-011
   1.44	9.30931E-012
   1.47	7.50084E-012
   1.50	3.74819E-012
   1.53	2.6163E-012
   1.56	3.20209E-012
   1.59	4.67134E-012
   1.63	4.47009E-012
   1.66	5.86531E-012
   1.69	6.26627E-012
   1.72	6.91692E-012
   1.75	9.30931E-012
   1.78	1.30964E-011
   1.81	1.74543E-011
   1.84	2.09789E-011
   1.88	2.55203E-011
   1.91	3.05937E-011
   1.94	3.79485E-011
   1.97	4.57984E-011
   2.00	4.92861E-011
   2.03	5.27211E-011
   2.06	5.54502E-011
   2.09	5.96807E-011
