F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	5.50
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/01/16 15:29:38.718	0.00000000010884300000	2023/01/16 15:29:38.968	0.00000000002327370000	2023/01/16 15:29:39.218	0.00000000002316620000	2023/01/16 15:29:39.468	0.00000000002375750000	2023/01/16 15:29:39.718	0.00000000002348870000	2023/01/16 15:29:39.968	0.00000000002402620000	2023/01/16 15:29:40.219	0.00000000002520870000	2023/01/16 15:29:40.469	0.00000000002483250000	2023/01/16 15:29:40.719	0.00000000002348870000	2023/01/16 15:29:40.970	0.00000000002327370000	2023/01/16 15:29:41.220	0.00000000002381120000
2023/01/16 15:29:41.541	0.00000000011625500000	2023/01/16 15:29:41.791	0.00000000003245960000	2023/01/16 15:29:42.041	0.00000000003251330000	2023/01/16 15:29:42.291	0.00000000003276060000	2023/01/16 15:29:42.541	0.00000000003262620000	2023/01/16 15:29:42.792	0.00000000003297560000	2023/01/16 15:29:43.042	0.00000000003407750000	2023/01/16 15:29:43.292	0.00000000003390010000	2023/01/16 15:29:43.543	0.00000000003237900000	2023/01/16 15:29:43.793	0.00000000003224460000	2023/01/16 15:29:44.043	0.00000000002391870000
2023/01/16 15:29:44.364	0.00000000011534200000	2023/01/16 15:29:47.865	0.00000000000000645000	2023/01/16 15:29:48.115	0.00000000000024456200	2023/01/16 15:29:48.365	0.00000000000011180000	2023/01/16 15:29:48.615	0.00000000000062618700	2023/01/16 15:29:48.865	0.00000000000170333000	2023/01/16 15:29:49.116	0.00000000000157272000	2023/01/16 15:29:49.366	0.00000000000010105000	2023/01/16 15:29:49.616	0.00000000000001827500	2023/01/16 15:29:50.367	0.00000000002429500000
2023/01/16 15:29:50.688	0.00000000011506800000	2023/01/16 15:29:53.939	0.00000000000010798300	2023/01/16 15:29:54.189	0.00000000000009782500	2023/01/16 15:29:54.439	0.00000000000032207000	2023/01/16 15:29:54.690	0.00000000000017823500	2023/01/16 15:29:54.940	0.00000000000069482600	2023/01/16 15:29:55.190	0.00000000000184534000	2023/01/16 15:29:55.440	0.00000000000166587000	2023/01/16 15:29:55.690	0.00000000000019758500	2023/01/16 15:29:55.940	0.00000000000008540880	2023/01/16 15:29:56.692	0.00000000002370370000
2023/01/16 15:29:57.013	0.00000000011417000000	2023/01/16 15:30:00.264	0.00000000000010214600	2023/01/16 15:30:00.514	0.00000000000011002000	2023/01/16 15:30:00.764	0.00000000000033004100	2023/01/16 15:30:01.015	0.00000000000020243300	2023/01/16 15:30:01.265	0.00000000000069879300	2023/01/16 15:30:01.515	0.00000000000177391000	2023/01/16 15:30:01.765	0.00000000000166103000	2023/01/16 15:30:02.015	0.00000000000016412000	2023/01/16 15:30:02.266	0.00000000000011303000	2023/01/16 15:30:03.017	0.00000000002386500000
2023/01/16 15:30:03.338	0.00000000011354100000	2023/01/16 15:30:06.589	0.00000000000013000500	2023/01/16 15:30:06.839	0.00000000000010611800	2023/01/16 15:30:07.089	0.00000000000033298600	2023/01/16 15:30:07.340	0.00000000000018977500	2023/01/16 15:30:07.590	0.00000000000072623800	2023/01/16 15:30:07.840	0.00000000000170269000	2023/01/16 15:30:08.090	0.00000000000170016000	2023/01/16 15:30:08.340	0.00000000000017871300	2023/01/16 15:30:08.591	0.00000000000010615000	2023/01/16 15:30:09.342	0.00000000002386500000
2023/01/16 15:30:09.663	0.00000000011338000000	2023/01/16 15:30:12.914	0.00000000000010488200	2023/01/16 15:30:13.164	0.00000000000011991600	2023/01/16 15:30:13.414	0.00000000000031879100	2023/01/16 15:30:13.665	0.00000000000017700900	2023/01/16 15:30:13.915	0.00000000000070498000	2023/01/16 15:30:14.165	0.00000000000172145000	2023/01/16 15:30:14.415	0.00000000000168081000	2023/01/16 15:30:14.665	0.00000000000018517900	2023/01/16 15:30:14.916	0.00000000000010081800	2023/01/16 15:30:15.667	0.00000000002381120000
2023/01/16 15:30:15.988	0.00000000011367000000	2023/01/16 15:30:19.239	0.00000000000012069000	2023/01/16 15:30:19.489	0.00000000000008222140	2023/01/16 15:30:19.739	0.00000000000032291900	2023/01/16 15:30:19.990	0.00000000000018936100	2023/01/16 15:30:20.240	0.00000000000071005400	2023/01/16 15:30:20.490	0.00000000000176176000	2023/01/16 15:30:20.740	0.00000000000164835000	2023/01/16 15:30:20.990	0.00000000000017845000	2023/01/16 15:30:21.241	0.00000000000009799700	2023/01/16 15:30:21.992	0.00000000002397250000
2023/01/16 15:30:22.313	0.00000000011334200000	2023/01/16 15:30:25.564	0.00000000000011627700	2023/01/16 15:30:25.814	0.00000000000002860140	2023/01/16 15:30:26.064	0.00000000000031820500	2023/01/16 15:30:26.315	0.00000000000018533500	2023/01/16 15:30:26.565	0.00000000000069519200	2023/01/16 15:30:26.815	0.00000000000171693000	2023/01/16 15:30:27.065	0.00000000000163523000	2023/01/16 15:30:27.315	0.00000000000018879600	2023/01/16 15:30:27.566	0.00000000000011170300	2023/01/16 15:30:28.317	0.00000000002397250000
2023/01/16 15:30:28.638	0.00000000011301400000	2023/01/16 15:30:31.889	0.00000000000008348990	2023/01/16 15:30:32.139	0.00000000000004124670	2023/01/16 15:30:32.390	0.00000000000034102700	2023/01/16 15:30:32.640	0.00000000000016512500	2023/01/16 15:30:32.890	0.00000000000073804700	2023/01/16 15:30:33.140	0.00000000000174741000	2023/01/16 15:30:33.390	0.00000000000168393000	2023/01/16 15:30:33.640	0.00000000000018185200	2023/01/16 15:30:33.891	0.00000000000010062500	2023/01/16 15:30:34.642	0.00000000002397250000
