	Timestamp, mass 2	mass 2.0_value	Timestamp, mass 4	mass 4.0_value	Timestamp, mass 5.5	mass 5.5_value	Timestamp, mass 12	mass 12.0_value	Timestamp, mass 15	mass 15.0_value	Timestamp, mass 16	mass 16.0_value	Timestamp, mass 18	mass 18.0_value	Timestamp, mass 28	mass 28.0_value	Timestamp, mass 32	mass 32.0_value	Timestamp, mass 40	mass 40.0_value	Timestamp, mass 44	mass 44.0_value
0	2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358		2022-12-13 17:34:31.358	
1	2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.683		2022-12-13 17:34:37.684		2022-12-13 17:34:37.683		2022-12-13 17:34:31.358	
2	2022-12-13 17:34:44.008		2022-12-13 17:34:44.008		2022-12-13 17:34:44.008		2022-12-13 17:34:44.008		2022-12-13 17:34:44.008		2022-12-13 17:34:44.009		2022-12-13 17:34:44.008		2022-12-13 17:34:44.008		2022-12-13 17:34:44.009		2022-12-13 17:34:44.008		2022-12-13 17:34:31.358	
3	2022-12-13 17:34:50.333		2022-12-13 17:34:50.333		2022-12-13 17:34:50.333		2022-12-13 17:34:50.333		2022-12-13 17:34:50.333		2022-12-13 17:34:50.334		2022-12-13 17:34:50.333		2022-12-13 17:34:50.333		2022-12-13 17:34:50.334		2022-12-13 17:34:50.333		2022-12-13 17:34:31.358	
4	2022-12-13 17:34:56.658		2022-12-13 17:34:56.658		2022-12-13 17:34:56.658		2022-12-13 17:34:56.658		2022-12-13 17:34:56.658		2022-12-13 17:34:56.659		2022-12-13 17:34:56.658		2022-12-13 17:34:56.658		2022-12-13 17:34:56.659		2022-12-13 17:34:56.658		2022-12-13 17:34:31.358	
5	2022-12-13 17:35:02.983		2022-12-13 17:35:02.983		2022-12-13 17:35:02.983		2022-12-13 17:35:02.983		2022-12-13 17:35:02.983		2022-12-13 17:35:02.984		2022-12-13 17:35:02.983		2022-12-13 17:35:02.983		2022-12-13 17:35:02.984		2022-12-13 17:35:02.983		2022-12-13 17:34:31.358	
6	2022-12-13 17:35:09.308		2022-12-13 17:35:09.308		2022-12-13 17:35:09.308		2022-12-13 17:35:09.308		2022-12-13 17:35:09.308		2022-12-13 17:35:09.309		2022-12-13 17:35:09.308		2022-12-13 17:35:09.308		2022-12-13 17:35:09.309		2022-12-13 17:35:09.308		2022-12-13 17:34:31.358	
7	2022-12-13 17:35:15.633		2022-12-13 17:35:15.633		2022-12-13 17:35:15.633		2022-12-13 17:35:15.633		2022-12-13 17:35:15.633		2022-12-13 17:35:15.634		2022-12-13 17:35:15.633		2022-12-13 17:35:15.633		2022-12-13 17:35:15.634		2022-12-13 17:35:15.633		2022-12-13 17:34:31.358	
8	2022-12-13 17:35:21.958		2022-12-13 17:35:21.958		2022-12-13 17:35:21.958		2022-12-13 17:35:21.958		2022-12-13 17:35:21.958		2022-12-13 17:35:21.959		2022-12-13 17:35:21.958		2022-12-13 17:35:21.958		2022-12-13 17:35:21.959		2022-12-13 17:35:21.958		2022-12-13 17:34:31.358	
9	2022-12-13 17:35:28.283		2022-12-13 17:35:28.283		2022-12-13 17:35:28.283		2022-12-13 17:35:28.283		2022-12-13 17:35:28.283		2022-12-13 17:35:28.284		2022-12-13 17:35:28.283		2022-12-13 17:35:28.283		2022-12-13 17:35:28.284		2022-12-13 17:35:28.283		2022-12-13 17:34:31.358	
10	2022-12-13 17:35:34.608		2022-12-13 17:35:34.608		2022-12-13 17:35:34.608		2022-12-13 17:35:34.608		2022-12-13 17:35:34.608		2022-12-13 17:35:34.609		2022-12-13 17:35:34.608		2022-12-13 17:35:34.608		2022-12-13 17:35:34.609		2022-12-13 17:35:34.608		2022-12-13 17:34:31.358	
11	2022-12-13 17:35:40.933		2022-12-13 17:35:40.933		2022-12-13 17:35:40.933		2022-12-13 17:35:40.933		2022-12-13 17:35:40.933		2022-12-13 17:35:40.934		2022-12-13 17:35:40.933		2022-12-13 17:35:40.933		2022-12-13 17:35:40.934		2022-12-13 17:35:40.933		2022-12-13 17:34:31.358	
12	2022-12-13 17:35:47.258		2022-12-13 17:35:47.258		2022-12-13 17:35:47.258		2022-12-13 17:35:47.258		2022-12-13 17:35:47.258		2022-12-13 17:35:47.259		2022-12-13 17:35:47.258		2022-12-13 17:35:47.258		2022-12-13 17:35:47.259		2022-12-13 17:35:47.258		2022-12-13 17:34:31.358	
13	2022-12-13 17:35:53.583		2022-12-13 17:35:53.583		2022-12-13 17:35:53.583		2022-12-13 17:35:53.583		2022-12-13 17:35:53.583		2022-12-13 17:35:53.584		2022-12-13 17:35:53.583		2022-12-13 17:35:53.583		2022-12-13 17:35:53.584		2022-12-13 17:35:53.583		2022-12-13 17:34:31.358	
