F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	32.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/12 17:26:56.560	0.00000000019608000000	2022/12/12 17:26:56.810	0.00000000000043000000	2022/12/12 17:26:57.060	0.00000000000026875000	2022/12/12 17:26:57.310	0.00000000000129000000	2022/12/12 17:26:57.560	0.00000000000102125000	2022/12/12 17:26:57.810	0.00000000000327875000	2022/12/12 17:26:58.061	0.00000000001171750000	2022/12/12 17:26:58.311	0.00000000001241620000	2022/12/12 17:26:58.561	0.00000000000032250000	2022/12/12 17:26:58.812	0.00000000000037625000	2022/12/12 17:26:59.062	0.00000000000317125000
2022/12/12 17:26:59.383	0.00000000019553700000	2022/12/12 17:26:59.633	0.00000000000074175000	2022/12/12 17:26:59.883	0.00000000000087075000	2022/12/12 17:27:00.133	0.00000000000201562000	2022/12/12 17:27:00.383	0.00000000000151575000	2022/12/12 17:27:00.634	0.00000000000402587000	2022/12/12 17:27:00.884	0.00000000001204000000	2022/12/12 17:27:01.134	0.00000000001314180000	2022/12/12 17:27:01.385	0.00000000000090300000	2022/12/12 17:27:01.635	0.00000000000095137500	2022/12/12 17:27:01.885	0.00000000000317125000
2022/12/12 17:27:02.206	0.00000000019426800000	2022/12/12 17:27:05.457	0.00000000000001397500	2022/12/12 17:27:05.957	0.00000000000091805000	2022/12/12 17:27:06.207	0.00000000000064715000	2022/12/12 17:27:06.457	0.00000000000284606000	2022/12/12 17:27:06.707	0.00000000001065430000	2022/12/12 17:27:06.958	0.00000000001208240000	2022/12/12 17:27:07.208	0.00000000000065091200	2022/12/12 17:27:07.458	0.00000000000002472500	2022/12/12 17:27:08.209	0.00000000000327875000
2022/12/12 17:27:08.530	0.00000000019125800000	2022/12/12 17:27:12.281	0.00000000000091917900	2022/12/12 17:27:12.532	0.00000000000058286500	2022/12/12 17:27:12.782	0.00000000000274205000	2022/12/12 17:27:13.032	0.00000000001052850000	2022/12/12 17:27:13.282	0.00000000001204590000	2022/12/12 17:27:13.532	0.00000000000059732400	2022/12/12 17:27:14.534	0.00000000000317125000
2022/12/12 17:27:14.855	0.00000000018889300000	2022/12/12 17:27:18.606	0.00000000000091192300	2022/12/12 17:27:18.857	0.00000000000057963400	2022/12/12 17:27:19.107	0.00000000000278495000	2022/12/12 17:27:19.357	0.00000000001036460000	2022/12/12 17:27:19.607	0.00000000001198240000	2022/12/12 17:27:19.857	0.00000000000047819700	2022/12/12 17:27:20.108	0.00000000000001697420	2022/12/12 17:27:20.859	0.00000000000317125000
2022/12/12 17:27:21.180	0.00000000018645800000	2022/12/12 17:27:24.931	0.00000000000095637400	2022/12/12 17:27:25.182	0.00000000000062147900	2022/12/12 17:27:25.432	0.00000000000277323000	2022/12/12 17:27:25.682	0.00000000001031570000	2022/12/12 17:27:25.932	0.00000000001188620000	2022/12/12 17:27:26.182	0.00000000000049020500	2022/12/12 17:27:27.184	0.00000000000322500000
2022/12/12 17:27:27.505	0.00000000018505000000	2022/12/12 17:27:31.256	0.00000000000092186600	2022/12/12 17:27:31.507	0.00000000000060131200	2022/12/12 17:27:31.757	0.00000000000279048000	2022/12/12 17:27:32.007	0.00000000001006570000	2022/12/12 17:27:32.257	0.00000000001194370000	2022/12/12 17:27:32.508	0.00000000000047410700	2022/12/12 17:27:33.509	0.00000000000365500000
2022/12/12 17:27:33.830	0.00000000018195400000	2022/12/12 17:27:37.581	0.00000000000094562400	2022/12/12 17:27:37.832	0.00000000000061121300	2022/12/12 17:27:38.082	0.00000000000278199000	2022/12/12 17:27:38.332	0.00000000001002330000	2022/12/12 17:27:38.582	0.00000000001203300000	2022/12/12 17:27:38.833	0.00000000000050849100	2022/12/12 17:27:39.834	0.00000000000354750000
2022/12/12 17:27:40.155	0.00000000018024500000	2022/12/12 17:27:43.906	0.00000000000091170800	2022/12/12 17:27:44.157	0.00000000000058991700	2022/12/12 17:27:44.407	0.00000000000271727000	2022/12/12 17:27:44.657	0.00000000000986474000	2022/12/12 17:27:44.907	0.00000000001177440000	2022/12/12 17:27:45.158	0.00000000000046298100	2022/12/12 17:27:46.159	0.00000000000381625000
2022/12/12 17:27:46.480	0.00000000017803600000	2022/12/12 17:27:50.231	0.00000000000093019800	2022/12/12 17:27:50.482	0.00000000000060298900	2022/12/12 17:27:50.732	0.00000000000270335000	2022/12/12 17:27:50.982	0.00000000000966694000	2022/12/12 17:27:51.232	0.00000000001187060000	2022/12/12 17:27:51.482	0.00000000000050731400	2022/12/12 17:27:52.484	0.00000000000349375000
2022/12/12 17:27:52.805	0.00000000017611100000	2022/12/12 17:27:56.556	0.00000000000096561900	2022/12/12 17:27:56.807	0.00000000000056309600	2022/12/12 17:27:57.057	0.00000000000268492000	2022/12/12 17:27:57.307	0.00000000000976208000	2022/12/12 17:27:57.557	0.00000000001184000000	2022/12/12 17:27:57.807	0.00000000000047353700	2022/12/12 17:27:58.809	0.00000000000344000000
2022/12/12 17:27:59.130	0.00000000017280000000	2022/12/12 17:28:02.881	0.00000000000093385300	2022/12/12 17:28:03.132	0.00000000000057816200	2022/12/12 17:28:03.382	0.00000000000267874000	2022/12/12 17:28:03.632	0.00000000000954224000	2022/12/12 17:28:03.882	0.00000000001176310000	2022/12/12 17:28:04.132	0.00000000000046187400	2022/12/12 17:28:05.134	0.00000000000327875000
2022/12/12 17:28:05.455	0.00000000017120900000	2022/12/12 17:28:09.206	0.00000000000087386800	2022/12/12 17:28:09.457	0.00000000000062938500	2022/12/12 17:28:09.707	0.00000000000262036000	2022/12/12 17:28:09.957	0.00000000000941808000	2022/12/12 17:28:10.207	0.00000000001164110000	2022/12/12 17:28:10.457	0.00000000000044837200	2022/12/12 17:28:11.459	0.00000000000349375000
