F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/30 17:47:45.954	0.00000000037141200000	2022/11/30 17:47:46.204	0.00000000000026875000	2022/11/30 17:47:46.454	0.00000000000123625000	2022/11/30 17:47:46.704	0.00000000000306375000	2022/11/30 17:47:46.954	0.00000000000575125000	2022/11/30 17:47:47.204	0.00000000001058870000	2022/11/30 17:47:47.455	0.00000000000048375000	2022/11/30 17:47:47.705	0.00000000000037625000	2022/11/30 17:47:47.955	0.00000000000279500000
2022/11/30 17:47:48.348	0.00000000036702100000	2022/11/30 17:47:48.598	0.00000000000066112500	2022/11/30 17:47:48.848	0.00000000000139750000	2022/11/30 17:47:49.098	0.00000000000325187000	2022/11/30 17:47:49.348	0.00000000000644462000	2022/11/30 17:47:49.598	0.00000000001069620000	2022/11/30 17:47:49.849	0.00000000000043537500	2022/11/30 17:47:50.099	0.00000000000034400000	2022/11/30 17:47:50.349	0.00000000000291325000
2022/11/30 17:47:50.741	0.00000000036630100000	2022/11/30 17:47:53.992	0.00000000000002096250	2022/11/30 17:47:54.242	0.00000000000083366300	2022/11/30 17:47:54.492	0.00000000000255688000	2022/11/30 17:47:54.743	0.00000000000555237000	2022/11/30 17:47:54.993	0.00000000000981368000	2022/11/30 17:47:55.243	0.00000000000050525000	2022/11/30 17:47:55.493	0.00000000000001558750	2022/11/30 17:47:55.743	0.00000000000238972000
2022/11/30 17:47:56.636	0.00000000037368000000	2022/11/30 17:48:00.137	0.00000000000083264100	2022/11/30 17:48:00.387	0.00000000000254576000	2022/11/30 17:48:00.638	0.00000000000557715000	2022/11/30 17:48:00.888	0.00000000001018340000	2022/11/30 17:48:01.138	0.00000000000049186600	2022/11/30 17:48:01.638	0.00000000000242944000
2022/11/30 17:48:02.531	0.00000000037728700000	2022/11/30 17:48:05.782	0.00000000000000015587	2022/11/30 17:48:06.032	0.00000000000088153200	2022/11/30 17:48:06.282	0.00000000000258516000	2022/11/30 17:48:06.533	0.00000000000559226000	2022/11/30 17:48:06.783	0.00000000001026730000	2022/11/30 17:48:07.033	0.00000000000042493700	2022/11/30 17:48:07.283	0.00000000000001071770	2022/11/30 17:48:07.533	0.00000000000241574000
2022/11/30 17:48:08.427	0.00000000038100100000	2022/11/30 17:48:11.928	0.00000000000086046200	2022/11/30 17:48:12.178	0.00000000000262079000	2022/11/30 17:48:12.428	0.00000000000570346000	2022/11/30 17:48:12.678	0.00000000001042580000	2022/11/30 17:48:12.929	0.00000000000040519400	2022/11/30 17:48:13.429	0.00000000000245653000
2022/11/30 17:48:14.322	0.00000000038485500000	2022/11/30 17:48:17.823	0.00000000000087423300	2022/11/30 17:48:18.073	0.00000000000261725000	2022/11/30 17:48:18.323	0.00000000000572539000	2022/11/30 17:48:18.573	0.00000000001029090000	2022/11/30 17:48:18.824	0.00000000000041442800	2022/11/30 17:48:19.324	0.00000000000252109000
2022/11/30 17:48:20.217	0.00000000038556500000	2022/11/30 17:48:23.718	0.00000000000082530400	2022/11/30 17:48:23.968	0.00000000000263923000	2022/11/30 17:48:24.218	0.00000000000575141000	2022/11/30 17:48:24.468	0.00000000001057960000	2022/11/30 17:48:24.719	0.00000000000042263100	2022/11/30 17:48:25.219	0.00000000000254097000
2022/11/30 17:48:26.112	0.00000000038829000000	2022/11/30 17:48:29.613	0.00000000000090662300	2022/11/30 17:48:29.863	0.00000000000261338000	2022/11/30 17:48:30.113	0.00000000000590245000	2022/11/30 17:48:30.363	0.00000000001075100000	2022/11/30 17:48:30.614	0.00000000000042609800	2022/11/30 17:48:31.114	0.00000000000258661000
2022/11/30 17:48:32.007	0.00000000038916000000	2022/11/30 17:48:35.508	0.00000000000087249700	2022/11/30 17:48:35.758	0.00000000000262117000	2022/11/30 17:48:36.008	0.00000000000575523000	2022/11/30 17:48:36.258	0.00000000001068170000	2022/11/30 17:48:36.509	0.00000000000042804300	2022/11/30 17:48:37.009	0.00000000000260832000
2022/11/30 17:48:37.902	0.00000000039067100000	2022/11/30 17:48:41.403	0.00000000000083378600	2022/11/30 17:48:41.653	0.00000000000266449000	2022/11/30 17:48:41.903	0.00000000000583682000	2022/11/30 17:48:42.153	0.00000000001061610000	2022/11/30 17:48:42.404	0.00000000000043806800	2022/11/30 17:48:42.904	0.00000000000256522000
2022/11/30 17:48:43.797	0.00000000039111700000	2022/11/30 17:48:47.298	0.00000000000087142200	2022/11/30 17:48:47.548	0.00000000000270201000	2022/11/30 17:48:47.798	0.00000000000589412000	2022/11/30 17:48:48.048	0.00000000001069730000	2022/11/30 17:48:48.299	0.00000000000042531300	2022/11/30 17:48:48.549	0.00000000000000124162	2022/11/30 17:48:48.799	0.00000000000258618000
2022/11/30 17:48:49.692	0.00000000039197200000	2022/11/30 17:48:53.193	0.00000000000085851700	2022/11/30 17:48:53.443	0.00000000000261596000	2022/11/30 17:48:53.693	0.00000000000585912000	2022/11/30 17:48:53.943	0.00000000001081120000	2022/11/30 17:48:54.194	0.00000000000043420800	2022/11/30 17:48:54.694	0.00000000000255629000
