F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	12.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/01 14:21:39.595	0.00000000014781200000	2022/12/01 14:21:39.845	0.00000000000059125000	2022/12/01 14:21:40.095	0.00000000000129000000	2022/12/01 14:21:40.346	0.00000000000231125000	2022/12/01 14:21:40.596	0.00000000000435375000	2022/12/01 14:21:40.846	0.00000000000784750000	2022/12/01 14:21:41.096	0.00000000000059125000	2022/12/01 14:21:41.346	0.00000000000043000000	2022/12/01 14:21:41.597	0.00000000000263375000
2022/12/01 14:21:41.918	0.00000000014729100000	2022/12/01 14:21:42.168	0.00000000000035475000	2022/12/01 14:21:42.418	0.00000000000105350000	2022/12/01 14:21:42.668	0.00000000000223062000	2022/12/01 14:21:42.918	0.00000000000437525000	2022/12/01 14:21:43.168	0.00000000000779912000	2022/12/01 14:21:43.419	0.00000000000034937500	2022/12/01 14:21:43.669	0.00000000000047837500	2022/12/01 14:21:43.919	0.00000000000265525000
2022/12/01 14:21:44.240	0.00000000014705400000	2022/12/01 14:21:47.491	0.00000000000002257500	2022/12/01 14:21:47.741	0.00000000000073798700	2022/12/01 14:21:47.991	0.00000000000180707000	2022/12/01 14:21:48.241	0.00000000000399631000	2022/12/01 14:21:48.491	0.00000000000724227000	2022/12/01 14:21:48.741	0.00000000000035206200	2022/12/01 14:21:48.992	0.00000000000002472500	2022/12/01 14:21:49.242	0.00000000000219568000
2022/12/01 14:21:50.064	0.00000000014887100000	2022/12/01 14:21:53.565	0.00000000000076830200	2022/12/01 14:21:53.815	0.00000000000183244000	2022/12/01 14:21:54.066	0.00000000000401641000	2022/12/01 14:21:54.316	0.00000000000736117000	2022/12/01 14:21:54.566	0.00000000000035120200	2022/12/01 14:21:55.066	0.00000000000216016000
2022/12/01 14:21:55.888	0.00000000015183800000	2022/12/01 14:21:59.389	0.00000000000076760900	2022/12/01 14:21:59.639	0.00000000000186340000	2022/12/01 14:21:59.889	0.00000000000404323000	2022/12/01 14:22:00.139	0.00000000000737461000	2022/12/01 14:22:00.390	0.00000000000037383100	2022/12/01 14:22:00.640	0.00000000000000121475	2022/12/01 14:22:00.890	0.00000000000217660000
2022/12/01 14:22:01.713	0.00000000015308500000	2022/12/01 14:22:05.214	0.00000000000077194100	2022/12/01 14:22:05.464	0.00000000000186001000	2022/12/01 14:22:05.714	0.00000000000406484000	2022/12/01 14:22:05.964	0.00000000000745378000	2022/12/01 14:22:06.215	0.00000000000034700400	2022/12/01 14:22:06.716	0.00000000000222578000
2022/12/01 14:22:07.538	0.00000000015433200000	2022/12/01 14:22:11.039	0.00000000000079105500	2022/12/01 14:22:11.289	0.00000000000186888000	2022/12/01 14:22:11.539	0.00000000000405124000	2022/12/01 14:22:11.789	0.00000000000761568000	2022/12/01 14:22:12.040	0.00000000000034081200	2022/12/01 14:22:12.541	0.00000000000220004000
2022/12/01 14:22:13.363	0.00000000015529400000	2022/12/01 14:22:16.864	0.00000000000075682700	2022/12/01 14:22:17.114	0.00000000000182836000	2022/12/01 14:22:17.364	0.00000000000406936000	2022/12/01 14:22:17.614	0.00000000000760939000	2022/12/01 14:22:17.865	0.00000000000034967000	2022/12/01 14:22:18.365	0.00000000000226857000
2022/12/01 14:22:19.188	0.00000000015620200000	2022/12/01 14:22:22.689	0.00000000000075195200	2022/12/01 14:22:22.939	0.00000000000188635000	2022/12/01 14:22:23.189	0.00000000000418997000	2022/12/01 14:22:23.439	0.00000000000762304000	2022/12/01 14:22:23.690	0.00000000000034532700	2022/12/01 14:22:24.191	0.00000000000230329000
2022/12/01 14:22:25.013	0.00000000015765900000	2022/12/01 14:22:28.514	0.00000000000077880500	2022/12/01 14:22:28.764	0.00000000000183744000	2022/12/01 14:22:29.014	0.00000000000419712000	2022/12/01 14:22:29.264	0.00000000000758402000	2022/12/01 14:22:29.515	0.00000000000034301100	2022/12/01 14:22:30.015	0.00000000000232479000
2022/12/01 14:22:30.838	0.00000000015809400000	2022/12/01 14:22:34.339	0.00000000000080552400	2022/12/01 14:22:34.589	0.00000000000189522000	2022/12/01 14:22:34.839	0.00000000000413133000	2022/12/01 14:22:35.089	0.00000000000773591000	2022/12/01 14:22:35.340	0.00000000000036304900	2022/12/01 14:22:35.840	0.00000000000229582000
2022/12/01 14:22:36.663	0.00000000015856700000	2022/12/01 14:22:40.164	0.00000000000079396800	2022/12/01 14:22:40.414	0.00000000000191731000	2022/12/01 14:22:40.664	0.00000000000426001000	2022/12/01 14:22:40.914	0.00000000000775870000	2022/12/01 14:22:41.165	0.00000000000035428200	2022/12/01 14:22:41.665	0.00000000000237596000
2022/12/01 14:22:42.488	0.00000000015931500000	2022/12/01 14:22:45.989	0.00000000000078612100	2022/12/01 14:22:46.239	0.00000000000191479000	2022/12/01 14:22:46.489	0.00000000000417643000	2022/12/01 14:22:46.739	0.00000000000787738000	2022/12/01 14:22:46.990	0.00000000000037158400	2022/12/01 14:22:47.490	0.00000000000231028000
2022/12/01 14:22:48.313	0.00000000016063700000	2022/12/01 14:22:51.814	0.00000000000078659900	2022/12/01 14:22:52.064	0.00000000000189979000	2022/12/01 14:22:52.314	0.00000000000426323000	2022/12/01 14:22:52.564	0.00000000000788201000	2022/12/01 14:22:52.815	0.00000000000036679000	2022/12/01 14:22:53.315	0.00000000000236333000
2022/12/01 14:22:54.138	0.00000000016016400000	2022/12/01 14:22:57.639	0.00000000000076211000	2022/12/01 14:22:57.889	0.00000000000194440000	2022/12/01 14:22:58.139	0.00000000000425818000	2022/12/01 14:22:58.389	0.00000000000785207000	2022/12/01 14:22:58.640	0.00000000000035178800	2022/12/01 14:22:59.140	0.00000000000235032000
2022/12/01 14:22:59.963	0.00000000016076600000	2022/12/01 14:23:03.464	0.00000000000080074600	2022/12/01 14:23:03.714	0.00000000000191554000	2022/12/01 14:23:03.964	0.00000000000424249000	2022/12/01 14:23:04.214	0.00000000000785567000	2022/12/01 14:23:04.465	0.00000000000036119400	2022/12/01 14:23:04.965	0.00000000000232436000
2022/12/01 14:23:05.788	0.00000000016163700000	2022/12/01 14:23:09.289	0.00000000000076397600	2022/12/01 14:23:09.539	0.00000000000187555000	2022/12/01 14:23:09.789	0.00000000000421153000	2022/12/01 14:23:10.039	0.00000000000789147000	2022/12/01 14:23:10.290	0.00000000000034243600	2022/12/01 14:23:10.790	0.00000000000234312000
2022/12/01 14:23:11.613	0.00000000016203400000	2022/12/01 14:23:15.114	0.00000000000078132100	2022/12/01 14:23:15.364	0.00000000000194129000	2022/12/01 14:23:15.614	0.00000000000428006000	2022/12/01 14:23:15.864	0.00000000000794543000	2022/12/01 14:23:16.115	0.00000000000037001500	2022/12/01 14:23:16.615	0.00000000000235425000
2022/12/01 14:23:17.438	0.00000000016211500000	2022/12/01 14:23:20.939	0.00000000000081609700	2022/12/01 14:23:21.189	0.00000000000191350000	2022/12/01 14:23:21.439	0.00000000000422824000	2022/12/01 14:23:21.689	0.00000000000787400000	2022/12/01 14:23:21.940	0.00000000000038053400	2022/12/01 14:23:22.440	0.00000000000238978000
2022/12/01 14:23:23.263	0.00000000016216900000	2022/12/01 14:23:26.764	0.00000000000080221300	2022/12/01 14:23:27.014	0.00000000000184217000	2022/12/01 14:23:27.264	0.00000000000435300000	2022/12/01 14:23:27.514	0.00000000000792350000	2022/12/01 14:23:27.765	0.00000000000037414300	2022/12/01 14:23:28.266	0.00000000000242504000
2022/12/01 14:23:29.088	0.00000000016291600000	2022/12/01 14:23:32.589	0.00000000000081413000	2022/12/01 14:23:32.839	0.00000000000188522000	2022/12/01 14:23:33.089	0.00000000000426092000	2022/12/01 14:23:33.339	0.00000000000798575000	2022/12/01 14:23:33.590	0.00000000000035362600	2022/12/01 14:23:34.090	0.00000000000244557000
2022/12/01 14:23:34.913	0.00000000016297000000	2022/12/01 14:23:38.414	0.00000000000076861400	2022/12/01 14:23:38.664	0.00000000000187668000	2022/12/01 14:23:38.914	0.00000000000430586000	2022/12/01 14:23:39.164	0.00000000000811942000	2022/12/01 14:23:39.415	0.00000000000036415600	2022/12/01 14:23:39.916	0.00000000000241165000
2022/12/01 14:23:40.738	0.00000000016352900000	2022/12/01 14:23:44.239	0.00000000000080564300	2022/12/01 14:23:44.489	0.00000000000190801000	2022/12/01 14:23:44.739	0.00000000000428425000	2022/12/01 14:23:44.989	0.00000000000794737000	2022/12/01 14:23:45.240	0.00000000000036770900	2022/12/01 14:23:45.740	0.00000000000242547000
2022/12/01 14:23:46.563	0.00000000016282400000	2022/12/01 14:23:50.064	0.00000000000084860000	2022/12/01 14:23:50.314	0.00000000000190463000	2022/12/01 14:23:50.564	0.00000000000426979000	2022/12/01 14:23:50.814	0.00000000000792678000	2022/12/01 14:23:51.065	0.00000000000036537600	2022/12/01 14:23:51.565	0.00000000000242401000
2022/12/01 14:23:52.388	0.00000000016318500000	2022/12/01 14:23:55.889	0.00000000000079904800	2022/12/01 14:23:56.139	0.00000000000191661000	2022/12/01 14:23:56.389	0.00000000000429328000	2022/12/01 14:23:56.639	0.00000000000801988000	2022/12/01 14:23:56.890	0.00000000000037423900	2022/12/01 14:23:57.390	0.00000000000245782000
2022/12/01 14:23:58.213	0.00000000016335700000	2022/12/01 14:24:01.714	0.00000000000081094200	2022/12/01 14:24:01.964	0.00000000000193876000	2022/12/01 14:24:02.214	0.00000000000436536000	2022/12/01 14:24:02.464	0.00000000000806406000	2022/12/01 14:24:02.715	0.00000000000037544900	2022/12/01 14:24:03.215	0.00000000000250093000
2022/12/01 14:24:04.038	0.00000000016408800000	2022/12/01 14:24:07.539	0.00000000000079614000	2022/12/01 14:24:07.789	0.00000000000194709000	2022/12/01 14:24:08.039	0.00000000000429693000	2022/12/01 14:24:08.289	0.00000000000802445000	2022/12/01 14:24:08.540	0.00000000000036300000	2022/12/01 14:24:09.040	0.00000000000251603000
2022/12/01 14:24:09.863	0.00000000016428600000	2022/12/01 14:24:13.364	0.00000000000082484200	2022/12/01 14:24:13.614	0.00000000000191425000	2022/12/01 14:24:13.864	0.00000000000436756000	2022/12/01 14:24:14.114	0.00000000000805540000	2022/12/01 14:24:14.365	0.00000000000036425300	2022/12/01 14:24:14.865	0.00000000000242321000
2022/12/01 14:24:15.688	0.00000000016508200000	2022/12/01 14:24:19.189	0.00000000000078113800	2022/12/01 14:24:19.439	0.00000000000190801000	2022/12/01 14:24:19.689	0.00000000000435730000	2022/12/01 14:24:19.939	0.00000000000810373000	2022/12/01 14:24:20.190	0.00000000000037210000	2022/12/01 14:24:20.690	0.00000000000241369000
2022/12/01 14:24:21.513	0.00000000016413100000	2022/12/01 14:24:25.014	0.00000000000076637800	2022/12/01 14:24:25.264	0.00000000000192236000	2022/12/01 14:24:25.514	0.00000000000430473000	2022/12/01 14:24:25.764	0.00000000000807621000	2022/12/01 14:24:26.015	0.00000000000036645600	2022/12/01 14:24:26.515	0.00000000000239053000
2022/12/01 14:24:27.338	0.00000000016442100000	2022/12/01 14:24:30.839	0.00000000000078297100	2022/12/01 14:24:31.089	0.00000000000193881000	2022/12/01 14:24:31.339	0.00000000000422690000	2022/12/01 14:24:31.589	0.00000000000806078000	2022/12/01 14:24:31.840	0.00000000000036074300	2022/12/01 14:24:32.340	0.00000000000244374000
2022/12/01 14:24:33.163	0.00000000016453900000	2022/12/01 14:24:36.664	0.00000000000080030000	2022/12/01 14:24:36.914	0.00000000000191194000	2022/12/01 14:24:37.164	0.00000000000426264000	2022/12/01 14:24:37.414	0.00000000000796763000	2022/12/01 14:24:37.665	0.00000000000034776200	2022/12/01 14:24:38.165	0.00000000000245723000
2022/12/01 14:24:38.988	0.00000000016494200000	2022/12/01 14:24:42.489	0.00000000000079752600	2022/12/01 14:24:42.739	0.00000000000187678000	2022/12/01 14:24:42.989	0.00000000000435767000	2022/12/01 14:24:43.239	0.00000000000814581000	2022/12/01 14:24:43.490	0.00000000000036412900	2022/12/01 14:24:43.990	0.00000000000246589000
