F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	12.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/01 17:03:04.992	0.00000000011174600000	2022/12/01 17:03:05.242	0.00000000000102125000	2022/12/01 17:03:05.493	0.00000000000166625000	2022/12/01 17:03:05.743	0.00000000000220375000	2022/12/01 17:03:05.993	0.00000000000344000000	2022/12/01 17:03:06.243	0.00000000000602000000	2022/12/01 17:03:06.493	0.00000000000118250000	2022/12/01 17:03:06.744	0.00000000000112875000	2022/12/01 17:03:06.994	0.00000000000247250000
2022/12/01 17:03:07.315	0.00000000010966000000	2022/12/01 17:03:07.565	0.00000000000111800000	2022/12/01 17:03:07.815	0.00000000000188662000	2022/12/01 17:03:08.065	0.00000000000247787000	2022/12/01 17:03:08.315	0.00000000000373025000	2022/12/01 17:03:08.566	0.00000000000617587000	2022/12/01 17:03:08.816	0.00000000000126312000	2022/12/01 17:03:09.066	0.00000000000129537000	2022/12/01 17:03:09.317	0.00000000000283800000
2022/12/01 17:03:09.638	0.00000000010835400000	2022/12/01 17:03:13.139	0.00000000000053911200	2022/12/01 17:03:13.389	0.00000000000105726000	2022/12/01 17:03:13.640	0.00000000000230157000	2022/12/01 17:03:13.890	0.00000000000471441000	2022/12/01 17:03:14.140	0.00000000000026498700	2022/12/01 17:03:14.640	0.00000000000134482000
2022/12/01 17:03:15.462	0.00000000010706400000	2022/12/01 17:03:18.963	0.00000000000050148700	2022/12/01 17:03:19.213	0.00000000000104764000	2022/12/01 17:03:19.463	0.00000000000228276000	2022/12/01 17:03:19.713	0.00000000000466786000	2022/12/01 17:03:19.963	0.00000000000020102500	2022/12/01 17:03:20.464	0.00000000000129725000
2022/12/01 17:03:21.286	0.00000000010601600000	2022/12/01 17:03:24.787	0.00000000000049891800	2022/12/01 17:03:25.037	0.00000000000104167000	2022/12/01 17:03:25.287	0.00000000000218547000	2022/12/01 17:03:25.537	0.00000000000464201000	2022/12/01 17:03:25.788	0.00000000000025395800	2022/12/01 17:03:26.038	0.00000000000000296700	2022/12/01 17:03:26.288	0.00000000000127398000
2022/12/01 17:03:27.110	0.00000000010567200000	2022/12/01 17:03:30.611	0.00000000000052713700	2022/12/01 17:03:30.861	0.00000000000102834000	2022/12/01 17:03:31.112	0.00000000000213398000	2022/12/01 17:03:31.362	0.00000000000463594000	2022/12/01 17:03:31.612	0.00000000000022523900	2022/12/01 17:03:32.112	0.00000000000127075000
2022/12/01 17:03:32.935	0.00000000010509700000	2022/12/01 17:03:36.436	0.00000000000048903300	2022/12/01 17:03:36.686	0.00000000000100904000	2022/12/01 17:03:36.937	0.00000000000220273000	2022/12/01 17:03:37.187	0.00000000000457192000	2022/12/01 17:03:37.437	0.00000000000022181000	2022/12/01 17:03:37.937	0.00000000000126559000
2022/12/01 17:03:38.760	0.00000000010430700000	2022/12/01 17:03:42.261	0.00000000000049426300	2022/12/01 17:03:42.512	0.00000000000103140000	2022/12/01 17:03:42.762	0.00000000000218085000	2022/12/01 17:03:43.012	0.00000000000458675000	2022/12/01 17:03:43.262	0.00000000000025473700	2022/12/01 17:03:43.763	0.00000000000124576000
2022/12/01 17:03:44.585	0.00000000010400000000	2022/12/01 17:03:48.086	0.00000000000052317000	2022/12/01 17:03:48.337	0.00000000000101979000	2022/12/01 17:03:48.587	0.00000000000224196000	2022/12/01 17:03:48.837	0.00000000000460627000	2022/12/01 17:03:49.087	0.00000000000022525500	2022/12/01 17:03:49.588	0.00000000000128419000
2022/12/01 17:03:50.410	0.00000000010435500000	2022/12/01 17:03:53.911	0.00000000000048443800	2022/12/01 17:03:54.162	0.00000000000098932300	2022/12/01 17:03:54.412	0.00000000000220380000	2022/12/01 17:03:54.662	0.00000000000462820000	2022/12/01 17:03:54.912	0.00000000000023270500	2022/12/01 17:03:55.413	0.00000000000125484000
2022/12/01 17:03:56.235	0.00000000010375900000	2022/12/01 17:03:59.736	0.00000000000050045000	2022/12/01 17:03:59.986	0.00000000000099055900	2022/12/01 17:04:00.237	0.00000000000224401000	2022/12/01 17:04:00.487	0.00000000000455563000	2022/12/01 17:04:00.737	0.00000000000023074800	2022/12/01 17:04:01.237	0.00000000000123431000
2022/12/01 17:04:02.060	0.00000000010364000000	2022/12/01 17:04:05.561	0.00000000000051932200	2022/12/01 17:04:05.811	0.00000000000097927100	2022/12/01 17:04:06.062	0.00000000000219214000	2022/12/01 17:04:06.312	0.00000000000454112000	2022/12/01 17:04:06.562	0.00000000000022647500	2022/12/01 17:04:07.062	0.00000000000127667000
