F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	12.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/01/23 16:25:37.969	0.00000000004353750000	2023/01/23 16:25:38.219	0.00000000002397250000	2023/01/23 16:25:38.469	0.00000000002408000000	2023/01/23 16:25:38.719	0.00000000002408000000	2023/01/23 16:25:38.969	0.00000000002375750000	2023/01/23 16:25:39.219	0.00000000002413370000	2023/01/23 16:25:39.470	0.00000000002477870000	2023/01/23 16:25:39.720	0.00000000002451000000	2023/01/23 16:25:39.971	0.00000000002381120000	2023/01/23 16:25:40.221	0.00000000002386500000	2023/01/23 16:25:40.471	0.00000000002418750000
2023/01/23 16:25:40.792	0.00000000005351890000	2023/01/23 16:25:41.042	0.00000000003349160000	2023/01/23 16:25:41.292	0.00000000003364210000	2023/01/23 16:25:41.543	0.00000000003385710000	2023/01/23 16:25:41.793	0.00000000003364750000	2023/01/23 16:25:42.043	0.00000000003391620000	2023/01/23 16:25:42.293	0.00000000003463110000	2023/01/23 16:25:42.543	0.00000000003455050000	2023/01/23 16:25:42.794	0.00000000003366900000	2023/01/23 16:25:43.044	0.00000000003374420000	2023/01/23 16:25:43.294	0.00000000002408000000
2023/01/23 16:25:46.616	0.00000000001923060000	2023/01/23 16:25:46.866	0.00000000000090515000	2023/01/23 16:25:47.366	0.00000000000012900000	2023/01/23 16:25:47.616	0.00000000000003332500	2023/01/23 16:25:47.866	0.00000000000036496200	2023/01/23 16:25:48.117	0.00000000000081592500	2023/01/23 16:25:48.367	0.00000000000078206200	2023/01/23 16:25:48.617	0.00000000000006503750	2023/01/23 16:25:48.868	0.00000000000000376250	2023/01/23 16:25:49.619	0.00000000002391870000
2023/01/23 16:25:52.941	0.00000000001954450000	2023/01/23 16:25:53.191	0.00000000000101802000	2023/01/23 16:25:53.441	0.00000000000008159250	2023/01/23 16:25:53.691	0.00000000000022139600	2023/01/23 16:25:53.941	0.00000000000012104500	2023/01/23 16:25:54.192	0.00000000000044994100	2023/01/23 16:25:54.442	0.00000000000094449500	2023/01/23 16:25:54.692	0.00000000000087440500	2023/01/23 16:25:54.943	0.00000000000012518300	2023/01/23 16:25:55.193	0.00000000000009293380	2023/01/23 16:25:55.944	0.00000000002397250000
2023/01/23 16:25:59.266	0.00000000001957250000	2023/01/23 16:25:59.516	0.00000000000097330500	2023/01/23 16:25:59.766	0.00000000000010630600	2023/01/23 16:26:00.016	0.00000000000021870800	2023/01/23 16:26:00.266	0.00000000000010276400	2023/01/23 16:26:00.517	0.00000000000046300200	2023/01/23 16:26:00.767	0.00000000000091224500	2023/01/23 16:26:01.017	0.00000000000086366600	2023/01/23 16:26:01.268	0.00000000000014399600	2023/01/23 16:26:01.518	0.00000000000010378500	2023/01/23 16:26:02.269	0.00000000002402620000
2023/01/23 16:26:05.591	0.00000000001925910000	2023/01/23 16:26:05.841	0.00000000000097115500	2023/01/23 16:26:06.091	0.00000000000011642200	2023/01/23 16:26:06.341	0.00000000000021996600	2023/01/23 16:26:06.591	0.00000000000014625900	2023/01/23 16:26:06.842	0.00000000000045032800	2023/01/23 16:26:07.092	0.00000000000092568300	2023/01/23 16:26:07.342	0.00000000000086114500	2023/01/23 16:26:07.593	0.00000000000015419200	2023/01/23 16:26:07.843	0.00000000000012226500	2023/01/23 16:26:08.594	0.00000000002397250000
2023/01/23 16:26:11.916	0.00000000001951390000	2023/01/23 16:26:12.166	0.00000000000100560000	2023/01/23 16:26:12.416	0.00000000000010397900	2023/01/23 16:26:12.666	0.00000000000020772200	2023/01/23 16:26:12.916	0.00000000000013527200	2023/01/23 16:26:13.167	0.00000000000043823400	2023/01/23 16:26:13.417	0.00000000000093643300	2023/01/23 16:26:13.667	0.00000000000083714000	2023/01/23 16:26:13.918	0.00000000000014799500	2023/01/23 16:26:14.168	0.00000000000011405200	2023/01/23 16:26:14.919	0.00000000002413370000
2023/01/23 16:26:18.241	0.00000000001956440000	2023/01/23 16:26:18.491	0.00000000000101587000	2023/01/23 16:26:18.741	0.00000000000009792180	2023/01/23 16:26:18.991	0.00000000000023418800	2023/01/23 16:26:19.241	0.00000000000013971700	2023/01/23 16:26:19.492	0.00000000000040920400	2023/01/23 16:26:19.742	0.00000000000091590000	2023/01/23 16:26:19.992	0.00000000000083701600	2023/01/23 16:26:20.243	0.00000000000015267100	2023/01/23 16:26:20.493	0.00000000000008805860	2023/01/23 16:26:21.244	0.00000000002391870000
2023/01/23 16:26:24.566	0.00000000001962190000	2023/01/23 16:26:24.816	0.00000000000099792300	2023/01/23 16:26:25.066	0.00000000000010825200	2023/01/23 16:26:25.316	0.00000000000024404100	2023/01/23 16:26:25.566	0.00000000000011152000	2023/01/23 16:26:25.817	0.00000000000043227900	2023/01/23 16:26:26.067	0.00000000000094272100	2023/01/23 16:26:26.317	0.00000000000083185700	2023/01/23 16:26:26.568	0.00000000000014003400	2023/01/23 16:26:26.818	0.00000000000001978370	2023/01/23 16:26:27.569	0.00000000002370370000
2023/01/23 16:26:30.891	0.00000000001957890000	2023/01/23 16:26:31.141	0.00000000000102178000	2023/01/23 16:26:31.391	0.00000000000009412160	2023/01/23 16:26:31.641	0.00000000000021243600	2023/01/23 16:26:31.891	0.00000000000011945900	2023/01/23 16:26:32.141	0.00000000000047395700	2023/01/23 16:26:32.392	0.00000000000092697300	2023/01/23 16:26:32.642	0.00000000000089279300	2023/01/23 16:26:32.893	0.00000000000013606200	2023/01/23 16:26:33.143	0.00000000000002364240	2023/01/23 16:26:33.894	0.00000000002359620000
2023/01/23 16:26:37.216	0.00000000001958650000	2023/01/23 16:26:37.466	0.00000000000099136500	2023/01/23 16:26:37.716	0.00000000000010156600	2023/01/23 16:26:37.966	0.00000000000023347400	2023/01/23 16:26:38.216	0.00000000000013276700	2023/01/23 16:26:38.467	0.00000000000042693100	2023/01/23 16:26:38.717	0.00000000000092982100	2023/01/23 16:26:38.967	0.00000000000086577300	2023/01/23 16:26:39.218	0.00000000000013984100	2023/01/23 16:26:39.468	0.00000000000002621170	2023/01/23 16:26:40.219	0.00000000002365000000
2023/01/23 16:26:43.541	0.00000000001970150000	2023/01/23 16:26:43.791	0.00000000000098937600	2023/01/23 16:26:44.041	0.00000000000008731690	2023/01/23 16:26:44.291	0.00000000000020520100	2023/01/23 16:26:44.541	0.00000000000014854300	2023/01/23 16:26:44.792	0.00000000000045021000	2023/01/23 16:26:45.042	0.00000000000091880300	2023/01/23 16:26:45.292	0.00000000000087257800	2023/01/23 16:26:45.543	0.00000000000014339400	2023/01/23 16:26:45.793	0.00000000000002982800	2023/01/23 16:26:46.544	0.00000000002343500000
2023/01/23 16:26:49.866	0.00000000001972080000	2023/01/23 16:26:50.116	0.00000000000100646000	2023/01/23 16:26:50.366	0.00000000000001464790	2023/01/23 16:26:50.616	0.00000000000023014600	2023/01/23 16:26:50.866	0.00000000000013398200	2023/01/23 16:26:51.117	0.00000000000045984700	2023/01/23 16:26:51.367	0.00000000000088821900	2023/01/23 16:26:51.617	0.00000000000085348600	2023/01/23 16:26:51.868	0.00000000000015145100	2023/01/23 16:26:52.118	0.00000000000001742620	2023/01/23 16:26:52.869	0.00000000002338120000
2023/01/23 16:26:56.191	0.00000000001974610000	2023/01/23 16:26:56.441	0.00000000000101367000	2023/01/23 16:26:56.691	0.00000000000002292860	2023/01/23 16:26:56.941	0.00000000000022669000	2023/01/23 16:26:57.191	0.00000000000013786800	2023/01/23 16:26:57.442	0.00000000000043166100	2023/01/23 16:26:57.692	0.00000000000096612900	2023/01/23 16:26:57.942	0.00000000000087666800	2023/01/23 16:26:58.193	0.00000000000016650600	2023/01/23 16:26:58.443	0.00000000000003378240	2023/01/23 16:26:59.194	0.00000000002332750000
2023/01/23 16:27:02.516	0.00000000001957730000	2023/01/23 16:27:02.766	0.00000000000099480500	2023/01/23 16:27:03.016	0.00000000000002567260	2023/01/23 16:27:03.266	0.00000000000022922200	2023/01/23 16:27:03.516	0.00000000000012358700	2023/01/23 16:27:03.767	0.00000000000044966700	2023/01/23 16:27:04.017	0.00000000000090451600	2023/01/23 16:27:04.267	0.00000000000083401200	2023/01/23 16:27:04.518	0.00000000000015145100	2023/01/23 16:27:04.768	0.00000000000002061790	2023/01/23 16:27:05.519	0.00000000002375750000
2023/01/23 16:27:08.841	0.00000000001974610000	2023/01/23 16:27:09.091	0.00000000000099641800	2023/01/23 16:27:09.341	0.00000000000003123790	2023/01/23 16:27:09.591	0.00000000000023495700	2023/01/23 16:27:09.841	0.00000000000011935700	2023/01/23 16:27:10.092	0.00000000000042555500	2023/01/23 16:27:10.342	0.00000000000094217300	2023/01/23 16:27:10.592	0.00000000000087846900	2023/01/23 16:27:10.843	0.00000000000016794700	2023/01/23 16:27:11.093	0.00000000000002862290	2023/01/23 16:27:11.844	0.00000000002354250000
2023/01/23 16:27:15.166	0.00000000001993260000	2023/01/23 16:27:15.416	0.00000000000101646000	2023/01/23 16:27:15.666	0.00000000000002080660	2023/01/23 16:27:15.916	0.00000000000022744300	2023/01/23 16:27:16.166	0.00000000000015965900	2023/01/23 16:27:16.417	0.00000000000043842200	2023/01/23 16:27:16.667	0.00000000000088448900	2023/01/23 16:27:16.917	0.00000000000084459500	2023/01/23 16:27:17.168	0.00000000000012229200	2023/01/23 16:27:17.418	0.00000000000002099960	2023/01/23 16:27:18.169	0.00000000002348870000
2023/01/23 16:27:21.491	0.00000000001974020000	2023/01/23 16:27:21.741	0.00000000000100544000	2023/01/23 16:27:21.991	0.00000000000004483070	2023/01/23 16:27:22.241	0.00000000000021646200	2023/01/23 16:27:22.491	0.00000000000013535300	2023/01/23 16:27:22.742	0.00000000000048558800	2023/01/23 16:27:22.992	0.00000000000091040100	2023/01/23 16:27:23.242	0.00000000000084996000	2023/01/23 16:27:23.493	0.00000000000014487700	2023/01/23 16:27:23.743	0.00000000000002671860	2023/01/23 16:27:24.494	0.00000000002354250000
2023/01/23 16:27:27.816	0.00000000001975310000	2023/01/23 16:27:28.066	0.00000000000100652000	2023/01/23 16:27:28.316	0.00000000000003281760	2023/01/23 16:27:28.566	0.00000000000023794600	2023/01/23 16:27:28.816	0.00000000000013113900	2023/01/23 16:27:29.067	0.00000000000042271700	2023/01/23 16:27:29.317	0.00000000000087037900	2023/01/23 16:27:29.567	0.00000000000084697100	2023/01/23 16:27:29.818	0.00000000000013258500	2023/01/23 16:27:30.068	0.00000000000002685400	2023/01/23 16:27:30.819	0.00000000002348870000
