F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	32.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/12 16:31:24.777	0.00000000001908120000	2022/12/12 16:31:25.027	0.00000000000037625000	2022/12/12 16:31:25.277	0.00000000000069875000	2022/12/12 16:31:25.528	0.00000000000112875000	2022/12/12 16:31:25.778	0.00000000000086000000	2022/12/12 16:31:26.028	0.00000000000166625000	2022/12/12 16:31:26.278	0.00000000000376250000	2022/12/12 16:31:26.528	0.00000000000381625000	2022/12/12 16:31:26.778	0.00000000000075250000	2022/12/12 16:31:27.029	0.00000000000069875000	2022/12/12 16:31:27.279	0.00000000000166625000
2022/12/12 16:31:27.600	0.00000000001893070000	2022/12/12 16:31:27.850	0.00000000000027950000	2022/12/12 16:31:28.100	0.00000000000054825000	2022/12/12 16:31:28.350	0.00000000000096212500	2022/12/12 16:31:28.600	0.00000000000084387500	2022/12/12 16:31:28.851	0.00000000000201025000	2022/12/12 16:31:29.101	0.00000000000368187000	2022/12/12 16:31:29.351	0.00000000000399900000	2022/12/12 16:31:29.601	0.00000000000045150000	2022/12/12 16:31:29.851	0.00000000000046225000	2022/12/12 16:31:30.101	0.00000000000177375000
2022/12/12 16:31:33.424	0.00000000001918660000	2022/12/12 16:31:33.674	0.00000000000089278800	2022/12/12 16:31:33.924	0.00000000000000537500	2022/12/12 16:31:34.175	0.00000000000047353700	2022/12/12 16:31:34.425	0.00000000000020908700	2022/12/12 16:31:34.675	0.00000000000124861000	2022/12/12 16:31:34.925	0.00000000000326262000	2022/12/12 16:31:35.175	0.00000000000355341000	2022/12/12 16:31:35.425	0.00000000000020532500	2022/12/12 16:31:35.676	0.00000000000003332500	2022/12/12 16:31:36.427	0.00000000000166625000
2022/12/12 16:31:39.749	0.00000000001932850000	2022/12/12 16:31:39.999	0.00000000000090181800	2022/12/12 16:31:40.249	0.00000000000000139750	2022/12/12 16:31:40.500	0.00000000000042478600	2022/12/12 16:31:40.750	0.00000000000015523000	2022/12/12 16:31:41.000	0.00000000000126420000	2022/12/12 16:31:41.250	0.00000000000316087000	2022/12/12 16:31:41.500	0.00000000000352524000	2022/12/12 16:31:41.751	0.00000000000017570800	2022/12/12 16:31:42.752	0.00000000000150500000
2022/12/12 16:31:46.074	0.00000000001974020000	2022/12/12 16:31:46.324	0.00000000000090192500	2022/12/12 16:31:46.575	0.00000000000001004580	2022/12/12 16:31:46.825	0.00000000000043919100	2022/12/12 16:31:47.075	0.00000000000016731300	2022/12/12 16:31:47.325	0.00000000000123388000	2022/12/12 16:31:47.575	0.00000000000326913000	2022/12/12 16:31:47.825	0.00000000000363043000	2022/12/12 16:31:48.076	0.00000000000020863000	2022/12/12 16:31:49.077	0.00000000000134375000
2022/12/12 16:31:52.399	0.00000000002011110000	2022/12/12 16:31:52.649	0.00000000000090773000	2022/12/12 16:31:52.900	0.00000000000000681926	2022/12/12 16:31:53.150	0.00000000000044091600	2022/12/12 16:31:53.400	0.00000000000013964700	2022/12/12 16:31:53.650	0.00000000000127994000	2022/12/12 16:31:53.900	0.00000000000330084000	2022/12/12 16:31:54.150	0.00000000000367773000	2022/12/12 16:31:54.401	0.00000000000012925800	2022/12/12 16:31:54.651	0.00000000000000236016	2022/12/12 16:31:55.402	0.00000000000198875000
2022/12/12 16:31:58.724	0.00000000002016000000	2022/12/12 16:31:58.974	0.00000000000093331500	2022/12/12 16:31:59.224	0.00000000000000073799	2022/12/12 16:31:59.475	0.00000000000044059400	2022/12/12 16:31:59.725	0.00000000000016221700	2022/12/12 16:31:59.975	0.00000000000125382000	2022/12/12 16:32:00.225	0.00000000000339372000	2022/12/12 16:32:00.475	0.00000000000368617000	2022/12/12 16:32:00.726	0.00000000000019931000	2022/12/12 16:32:01.727	0.00000000000182750000
2022/12/12 16:32:05.049	0.00000000002054970000	2022/12/12 16:32:05.299	0.00000000000093460500	2022/12/12 16:32:05.800	0.00000000000047111300	2022/12/12 16:32:06.050	0.00000000000020161100	2022/12/12 16:32:06.300	0.00000000000132515000	2022/12/12 16:32:06.550	0.00000000000335561000	2022/12/12 16:32:06.800	0.00000000000371665000	2022/12/12 16:32:07.051	0.00000000000016749000	2022/12/12 16:32:07.301	0.00000000000000643871	2022/12/12 16:32:08.052	0.00000000000145125000
2022/12/12 16:32:11.374	0.00000000002075550000	2022/12/12 16:32:11.624	0.00000000000096551100	2022/12/12 16:32:12.125	0.00000000000044881200	2022/12/12 16:32:12.375	0.00000000000019188200	2022/12/12 16:32:12.625	0.00000000000123367000	2022/12/12 16:32:12.875	0.00000000000346633000	2022/12/12 16:32:13.125	0.00000000000375986000	2022/12/12 16:32:13.376	0.00000000000020848000	2022/12/12 16:32:14.377	0.00000000000182750000
2022/12/12 16:32:17.699	0.00000000002093450000	2022/12/12 16:32:17.949	0.00000000000095701900	2022/12/12 16:32:18.199	0.00000000000000136955	2022/12/12 16:32:18.450	0.00000000000030199900	2022/12/12 16:32:18.700	0.00000000000020213200	2022/12/12 16:32:18.950	0.00000000000131171000	2022/12/12 16:32:19.200	0.00000000000348945000	2022/12/12 16:32:19.450	0.00000000000375728000	2022/12/12 16:32:19.701	0.00000000000019593500	2022/12/12 16:32:20.702	0.00000000000166625000
2022/12/12 16:32:24.024	0.00000000002101670000	2022/12/12 16:32:24.274	0.00000000000097669100	2022/12/12 16:32:24.525	0.00000000000000138406	2022/12/12 16:32:24.775	0.00000000000046682400	2022/12/12 16:32:25.025	0.00000000000020151900	2022/12/12 16:32:25.275	0.00000000000126527000	2022/12/12 16:32:25.525	0.00000000000337582000	2022/12/12 16:32:25.776	0.00000000000383313000	2022/12/12 16:32:26.026	0.00000000000019324200	2022/12/12 16:32:27.027	0.00000000000188125000
2022/12/12 16:32:30.349	0.00000000002126450000	2022/12/12 16:32:30.599	0.00000000000096121100	2022/12/12 16:32:31.100	0.00000000000047231200	2022/12/12 16:32:31.350	0.00000000000017367100	2022/12/12 16:32:31.600	0.00000000000128725000	2022/12/12 16:32:31.850	0.00000000000341151000	2022/12/12 16:32:32.100	0.00000000000378577000	2022/12/12 16:32:32.351	0.00000000000018684500	2022/12/12 16:32:33.352	0.00000000000177375000
2022/12/12 16:32:36.674	0.00000000002130110000	2022/12/12 16:32:36.924	0.00000000000096814500	2022/12/12 16:32:37.425	0.00000000000037279900	2022/12/12 16:32:37.675	0.00000000000022178300	2022/12/12 16:32:37.925	0.00000000000129661000	2022/12/12 16:32:38.175	0.00000000000350143000	2022/12/12 16:32:38.425	0.00000000000387924000	2022/12/12 16:32:38.676	0.00000000000019645600	2022/12/12 16:32:39.677	0.00000000000177375000
2022/12/12 16:32:42.999	0.00000000002154890000	2022/12/12 16:32:43.249	0.00000000000097384300	2022/12/12 16:32:43.750	0.00000000000039304700	2022/12/12 16:32:44.000	0.00000000000020119100	2022/12/12 16:32:44.250	0.00000000000130300000	2022/12/12 16:32:44.500	0.00000000000347929000	2022/12/12 16:32:44.750	0.00000000000386398000	2022/12/12 16:32:45.001	0.00000000000016642000	2022/12/12 16:32:45.251	0.00000000000000097879	2022/12/12 16:32:46.002	0.00000000000193500000
2022/12/12 16:32:49.324	0.00000000002168160000	2022/12/12 16:32:49.574	0.00000000000099819100	2022/12/12 16:32:50.075	0.00000000000050449200	2022/12/12 16:32:50.325	0.00000000000020870000	2022/12/12 16:32:50.575	0.00000000000124565000	2022/12/12 16:32:50.825	0.00000000000351858000	2022/12/12 16:32:51.075	0.00000000000391617000	2022/12/12 16:32:51.326	0.00000000000019078500	2022/12/12 16:32:52.327	0.00000000000193500000
2022/12/12 16:32:55.649	0.00000000002196920000	2022/12/12 16:32:55.899	0.00000000000100571000	2022/12/12 16:32:56.400	0.00000000000047501500	2022/12/12 16:32:56.650	0.00000000000018821600	2022/12/12 16:32:56.900	0.00000000000125877000	2022/12/12 16:32:57.150	0.00000000000349842000	2022/12/12 16:32:57.400	0.00000000000380410000	2022/12/12 16:32:57.651	0.00000000000017309100	2022/12/12 16:32:57.901	0.00000000000000816140	2022/12/12 16:32:58.652	0.00000000000182750000
2022/12/12 16:33:01.974	0.00000000002186390000	2022/12/12 16:33:02.224	0.00000000000098572100	2022/12/12 16:33:02.474	0.00000000000000667682	2022/12/12 16:33:02.725	0.00000000000042184100	2022/12/12 16:33:02.975	0.00000000000018164200	2022/12/12 16:33:03.225	0.00000000000132531000	2022/12/12 16:33:03.475	0.00000000000355325000	2022/12/12 16:33:03.725	0.00000000000388811000	2022/12/12 16:33:03.976	0.00000000000017270900	2022/12/12 16:33:04.226	0.00000000000000180492	2022/12/12 16:33:04.977	0.00000000000182750000
2022/12/12 16:33:08.299	0.00000000002212560000	2022/12/12 16:33:08.549	0.00000000000100345000	2022/12/12 16:33:09.050	0.00000000000048747500	2022/12/12 16:33:09.300	0.00000000000019527900	2022/12/12 16:33:09.550	0.00000000000132192000	2022/12/12 16:33:09.800	0.00000000000355948000	2022/12/12 16:33:10.050	0.00000000000389187000	2022/12/12 16:33:10.301	0.00000000000019990700	2022/12/12 16:33:11.302	0.00000000000139750000
