Surface coverage [molecules per cm^2]	Pressure [Torr]	Pressure [mbar]	Relative surface coverage	Comment
8.00E+14		2.61E-12	4.79E-01	less than 10% over background
9.00E+14		4.64E-12	5.39E-01	less than 10% over background
1.00E+15		4.35E-12	5.99E-01	less than 10% over background
1.10E+15		5.22E-12	6.59E-01	less than 10% over background
1.20E+15	6.00E-12	8.00E-12	7.19E-01	
1.30E+15	1.00E-11	1.33E-11	7.78E-01	
1.41E+15	1.30E-11	1.73E-11	8.44E-01	
1.51E+15	1.90E-11	2.53E-11	9.04E-01	
1.60E+15	3.00E-11	4.00E-11	9.58E-01	
1.67E+15	4.10E-11	5.47E-11	1.00E+00	
1.80E+15	5.30E-10	7.07E-10	1.08E+00	
1.90E+15	1.20E-09	1.60E-09	1.14E+00	
2.01E+15	2.80E-09	3.73E-09	1.20E+00	
2.10E+15	5.30E-09	7.07E-09	1.26E+00	
2.20E+15	1.10E-08	1.47E-08	1.32E+00	
2.30E+15	2.50E-08	3.33E-08	1.38E+00	
2.40E+15	4.80E-08	6.40E-08	1.44E+00	
2.50E+15	7.00E-08	9.33E-08	1.50E+00	
2.70E+15	1.70E-07	2.27E-07	1.62E+00	
2.90E+15	3.00E-07	4.00E-07	1.74E+00	
3.10E+15	4.20E-07	5.60E-07	1.86E+00	
3.20E+15	5.00E-07	6.67E-07	1.92E+00	
3.35E+15	6.00E-07	8.00E-07	2.01E+00	
4.00E+15	6.00E-07	8.00E-07	2.40E+00	
