	Live comments	Elapsed time	Coverage	Time	Base_p corrected BA1	Base_p corrected BA2	H2 4K BA2	H2 4K BA1	corr BA2	corr BA1	injection 100mbar	Barion_2	Barion_1	DUAL experiment	DUAL insulation	injection 1mbar	helium	T-platinum	T-CERNOX	I_emission	I_grid
633		0.0	0.0	2022-12-14 16:24:53	2.0516091737608304e-07	2.0822092960662663e-07	3.369565217391304e-07	3.3478260869565214e-07	3.369565217391304e-07	3.3478260869565214e-07	96.302	1.55e-07	1.54e-07	1.336e-07	3.305e-07	1.1	407.0	-5.05	4281.128		
634		8.0	23351706448883.6	2022-12-14 16:25:01	2.6385656954999605e-07	2.3648179917184398e-07	3.652173913043478e-07	3.934782608695652e-07	3.652173913043478e-07	3.934782608695652e-07	96.298	1.68e-07	1.81e-07	1.935e-07	3.309e-07	1.1	408.0	-5.163	4281.24		
635		15.000000000000002	23351706448883.6	2022-12-14 16:25:08	3.725522217239092e-07	3.799600600414092e-07	5.08695652173913e-07	5.021739130434783e-07	5.08695652173913e-07	5.021739130434783e-07	96.298	2.34e-07	2.31e-07	1.139e-07	3.309e-07	1.1	408.0	-5.05	4281.24		
636		22.0	46703412897661.016	2022-12-14 16:25:15	9.211743911521348e-08	9.735136438923532e-08	2.2608695652173913e-07	2.217391304347826e-07	2.2608695652173913e-07	2.217391304347826e-07	96.294	1.04e-07	1.02e-07	7.46e-08	3.309e-07	1.1	408.0	-4.938	4281.24		
637		29.000000000000004	52541339509881.914	2022-12-14 16:25:22	1.6247873897822198e-08	1.9742668737061386e-08	1.484782608695652e-07	1.458695652173913e-07	1.484782608695652e-07	1.458695652173913e-07	96.295	6.83e-08	6.71e-08	4.528e-08	3.309e-07	1.1	408.0	-5.163	4281.464		
638		36.0	58379266122102.81	2022-12-14 16:25:29	9.5735e-10	3.3229999999999994e-09	9.043478260869566e-08	8.891304347826087e-08	9.043478260869566e-08	8.891304347826087e-08	96.294	4.16e-08	4.09e-08	2.502e-08	3.309e-07	1.1	408.0	-5.163	4281.464		
654		151.0	110920605631878.53	2022-12-14 16:27:24	9.5735e-10	3.3229999999999994e-09	1.2021739130434782e-07	1.208695652173913e-07	1.2021739130434782e-07	1.208695652173913e-07	96.303	5.53e-08	5.56e-08	3.813e-08	3.595e-07	1.1	406.0	-5.387	4282.811		
655		158.0	110920605631878.53	2022-12-14 16:27:31	9.5735e-10	3.3229999999999994e-09	1.284782608695652e-07	1.2695652173913043e-07	1.284782608695652e-07	1.2695652173913043e-07	96.303	5.91e-08	5.84e-08	3.85e-08	3.394e-07	1.1	406.0	-5.275	4282.923		
656		166.0	116758532243993.25	2022-12-14 16:27:39	9.5735e-10	3.3229999999999994e-09	1.2891304347826086e-07	1.2739130434782608e-07	1.2891304347826086e-07	1.2739130434782608e-07	96.302	5.93e-08	5.86e-08	3.855e-08	3.366e-07	1.1	407.0	-5.163	4283.036		
657		173.0	116758532243993.25	2022-12-14 16:27:46	9.5735e-10	3.3229999999999994e-09	1.2891304347826086e-07	1.2739130434782608e-07	1.2891304347826086e-07	1.2739130434782608e-07	96.302	5.93e-08	5.86e-08	3.855e-08	3.362e-07	1.1	406.0	-5.163	4283.148		
658		180.0	116758532243993.25	2022-12-14 16:27:53	9.5735e-10	3.3229999999999994e-09	1.2934782608695651e-07	1.2782608695652174e-07	1.2934782608695651e-07	1.2782608695652174e-07	96.302	5.95e-08	5.88e-08	3.93e-08	3.358e-07	1.1	407.0	-5.275	4283.036		
659		187.0	116758532243993.25	2022-12-14 16:28:00	9.5735e-10	3.3229999999999994e-09	1.2347826086956522e-07	1.2195652173913042e-07	1.2347826086956522e-07	1.2195652173913042e-07	96.302	5.68e-08	5.61e-08	3.665e-08	3.354e-07	1.1	406.0	-5.163	4283.148		
660		194.0	122596458856107.95	2022-12-14 16:28:07	9.5735e-10	3.3229999999999994e-09	1.232608695652174e-07	1.217391304347826e-07	1.232608695652174e-07	1.217391304347826e-07	96.303	5.67e-08	5.6e-08	3.665e-08	3.358e-07	1.1	407.0	-5.275	4283.372		
661		201.0	128434385468222.66	2022-12-14 16:28:14	9.5735e-10	3.3229999999999994e-09	1.232608695652174e-07	1.217391304347826e-07	1.232608695652174e-07	1.217391304347826e-07	96.302	5.67e-08	5.6e-08	3.665e-08	3.358e-07	1.1	406.0	-5.275	4283.485		
662		208.0	134272312080337.36	2022-12-14 16:28:21	9.5735e-10	3.3229999999999994e-09	1.232608695652174e-07	1.217391304347826e-07	1.232608695652174e-07	1.217391304347826e-07	96.303	5.67e-08	5.6e-08	3.665e-08	3.362e-07	1.1	406.0	-5.163	4283.26		
663		216.0	134272312080337.36	2022-12-14 16:28:29	9.5735e-10	3.3229999999999994e-09	1.232608695652174e-07	1.217391304347826e-07	1.232608695652174e-07	1.217391304347826e-07	96.303	5.67e-08	5.6e-08	3.656e-08	3.362e-07	1.1	406.0	-5.163	4283.709		
664		223.0	140110238692452.1	2022-12-14 16:28:36	9.5735e-10	3.3229999999999994e-09	1.232608695652174e-07	1.217391304347826e-07	1.232608695652174e-07	1.217391304347826e-07	96.302	5.67e-08	5.6e-08	3.665e-08	3.362e-07	1.1	406.0	-5.05	4283.485		
