	Live comments	Elapsed time	Coverage	Time	H2 4K BA2	H2 4K BA1	corr BA2	corr BA1	injection 100mbar	Barion_2	Barion_1	DUAL experiment	DUAL insulation	injection 1mbar	helium	T-platinum	T-CERNOX	I_emission	I_grid
92		0.0	0.0	2023-02-23 12:48:48	1.8e-07	1.83e-07	1.8e-07	1.83e-07	88.986	1.8e-07	1.83e-07	1.026e-07	3.718e-07	1.1	451.0	-5.387	4273.384		
93		7.0	5837926612220.9	2023-02-23 12:48:55	1.3e-07	1.36e-07	1.3e-07	1.36e-07	88.985	1.3e-07	1.36e-07	1.378e-07	3.714e-07	1.1	451.0	-5.275	4273.384		
94		14.0	5837926612220.9	2023-02-23 12:49:02	1.89e-07	2e-07	1.89e-07	2e-07	88.985	1.89e-07	2e-07	1.971e-07	3.718e-07	1.1	451.0	-5.275	4273.496		
95		21.0	5837926612220.9	2023-02-23 12:49:09	2.67e-07	2.76e-07	2.67e-07	2.76e-07	88.985	2.67e-07	2.76e-07	2.297e-07	3.718e-07	1.1	451.0	-5.275	4273.496		
96		28.0	29189633061104.504	2023-02-23 12:49:16	3.11e-07	3.43e-07	3.11e-07	3.43e-07	88.981	3.11e-07	3.43e-07	3.93e-07	3.718e-07	1.1	450.0	-5.05	4273.608		
97		34.0	29189633061104.504	2023-02-23 12:49:22	5.17e-07	5.23e-07	5.17e-07	5.23e-07	88.981	5.17e-07	5.23e-07	4.458e-07	3.714e-07	1.1	450.0	-5.387	4273.608		
98		41.0	75893045958659.31	2023-02-23 12:49:29	5.97e-07	6.07e-07	5.97e-07	6.07e-07	88.973	5.97e-07	6.07e-07	5.032e-07	3.718e-07	1.1	450.0	-5.275	4273.608		
99		48.0	122596458856214.14	2023-02-23 12:49:36	8.88e-07	1.05e-06	8.88e-07	1.05e-06	88.965	8.88e-07	1.05e-06	1.432e-06	3.718e-07	1.1	451.0	-5.163	4273.608		
100		55.0	216003284651430.0	2023-02-23 12:49:43	2.05e-06	2.08e-06	2.05e-06	2.08e-06	88.949	2.05e-06	2.08e-06	1.6e-06	3.718e-07	1.1	450.0	-5.275	4273.72		
101		62.00000000000001	332761816895423.25	2023-02-23 12:49:50	2.09e-06	2.11e-06	2.09e-06	2.11e-06	88.929	2.09e-06	2.11e-06	1.576e-06	3.718e-07	1.1	450.0	-5.275	4273.72		
102		68.0	426168642690639.06	2023-02-23 12:49:56	2.24e-06	2.27e-06	2.24e-06	2.27e-06	88.913	2.24e-06	2.27e-06	1.746e-06	3.718e-07	1.1	451.0	-5.275	4273.72		
103		75.0	537089248322305.25	2023-02-23 12:50:03	2.3e-06	2.33e-06	2.3e-06	2.33e-06	88.894	2.3e-06	2.33e-06	1.767e-06	3.718e-07	1.1	450.0	-5.163	4273.72		
104		82.0	653847780566404.6	2023-02-23 12:50:10	2.32e-06	2.35e-06	2.32e-06	2.35e-06	88.874	2.32e-06	2.35e-06	1.777e-06	3.718e-07	1.1	450.0	-5.387	4273.832		
