F1((1=on,0=off))	0
F2((1=on,0=off))	1
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	12.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 44.0_time	mass 44.0_value
2023/03/10 17:57:58.391	0.00000000089074300000	2023/03/10 17:57:59.592	0.00000000000021499900	2023/03/10 17:58:00.192	0.00000000000010749900	2023/03/10 17:58:00.792	0.00000000000085999800	2023/03/10 17:58:01.393	0.00000000000000000000	2023/03/10 17:58:01.994	0.00000000000042999900
2023/03/10 17:58:02.665	0.00000000087610200000	2023/03/10 17:58:03.266	0.00000000000003224990	2023/03/10 17:58:03.866	0.00000000000020424900	2023/03/10 17:58:04.467	0.00000000000008599980	2023/03/10 17:58:05.067	0.00000000000084924800	2023/03/10 17:58:06.268	0.00000000000042999900
2023/03/10 17:58:06.939	0.00000000087226400000	2023/03/10 17:58:10.540	0.00000000000002579990	2023/03/10 17:58:11.141	0.00000000000023864900	2023/03/10 17:58:11.741	0.00000000000012577400	2023/03/10 17:58:12.341	0.00000000000079119800	2023/03/10 17:58:12.942	0.00000000000000000000	2023/03/10 17:58:14.043	0.00000000000021499900
2023/03/10 17:58:14.514	0.00000000086758800000	2023/03/10 17:58:18.115	0.00000000000001601740	2023/03/10 17:58:18.716	0.00000000000023735900	2023/03/10 17:58:19.316	0.00000000000013491200	2023/03/10 17:58:19.917	0.00000000000083032800	2023/03/10 17:58:21.618	0.00000000000032249900
2023/03/10 17:58:22.289	0.00000000088535700000	2023/03/10 17:58:25.890	0.00000000000002573540	2023/03/10 17:58:26.491	0.00000000000025619300	2023/03/10 17:58:27.091	0.00000000000014841400	2023/03/10 17:58:27.691	0.00000000000090747000	2023/03/10 17:58:29.393	0.00000000000010749900
2023/03/10 17:58:30.064	0.00000000090919000000	2023/03/10 17:58:33.665	0.00000000000003097930	2023/03/10 17:58:34.266	0.00000000000027701600	2023/03/10 17:58:34.866	0.00000000000015649800	2023/03/10 17:58:35.466	0.00000000000097392700	2023/03/10 17:58:36.067	0.00000000000001105090	2023/03/10 17:58:37.168	0.00000000000021499900
2023/03/10 17:58:37.839	0.00000000092655100000	2023/03/10 17:58:41.440	0.00000000000002400140	2023/03/10 17:58:42.041	0.00000000000027302800	2023/03/10 17:58:42.641	0.00000000000016051800	2023/03/10 17:58:43.242	0.00000000000102688000
2023/03/10 17:58:45.614	0.00000000093747300000	2023/03/10 17:58:49.215	0.00000000000003117380	2023/03/10 17:58:49.816	0.00000000000028417500	2023/03/10 17:58:50.416	0.00000000000016480800	2023/03/10 17:58:51.016	0.00000000000106611000	2023/03/10 17:58:51.617	0.00000000000000334109	2023/03/10 17:58:52.718	0.00000000000021499900
2023/03/10 17:58:53.389	0.00000000094575100000	2023/03/10 17:58:56.990	0.00000000000001966810	2023/03/10 17:58:57.591	0.00000000000028915300	2023/03/10 17:58:58.191	0.00000000000018228700	2023/03/10 17:58:58.791	0.00000000000110853000	2023/03/10 17:59:00.493	0.00000000000010749900
2023/03/10 17:59:01.164	0.00000000095104000000	2023/03/10 17:59:05.165	0.00000000000001783090	2023/03/10 17:59:05.766	0.00000000000029854800	2023/03/10 17:59:06.366	0.00000000000018015800	2023/03/10 17:59:06.967	0.00000000000112455000	2023/03/10 17:59:07.567	0.00000000000000653599	2023/03/10 17:59:08.668	0.00000000000010749900
