COMMENT	this is an autosaved scan
Partial pressure	not specified
F1((1=on,0=off))	0
F2((1=on,0=off))	1
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	12.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
input selection	Faraday
aquisition format	Standard aquisition
dwell	200 ms
start mass	1.000000
end mass	50.000000
increment	0.100000
Mass	Current
49.90000152587890620000	0.00000000000000537499
49.79999923706054680000	0.00000000000000913748
49.70000076293945310000	0.00000000000000859998
49.59999847412109370000	0.00000000000000806248
49.50000000000000000000	0.00000000000000376249
49.40000152587890620000	0.00000000000000429999
49.29999923706054680000	0.00000000000000644999
49.20000076293945310000	0.00000000000001021240
49.09999847412109370000	0.00000000000000698748
49.00000000000000000000	0.00000000000000644999
48.90000152587890620000	0.00000000000000913748
48.79999923706054680000	0.00000000000000967498
48.70000076293945310000	0.00000000000000644999
48.59999847412109370000	0.00000000000000214999
48.50000000000000000000	0.00000000000000591249
48.40000152587890620000	0.00000000000000806248
48.29999923706054680000	0.00000000000001074990
48.20000076293945310000	0.00000000000000752498
48.09999847412109370000	0.00000000000000644999
48.00000000000000000000	0.00000000000000537499
47.90000152587890620000	0.00000000000000644999
47.79999923706054680000	0.00000000000000752498
47.70000076293945310000	0.00000000000000698748
47.59999847412109370000	0.00000000000000752498
47.50000000000000000000	0.00000000000000483749
47.40000152587890620000	0.00000000000000698748
47.29999923706054680000	0.00000000000000322499
47.20000076293945310000	0.00000000000000698748
47.09999847412109370000	0.00000000000000537499
47.00000000000000000000	0.00000000000000806248
46.90000152587890620000	0.00000000000000591249
46.79999923706054680000	0.00000000000000322499
46.70000076293945310000	0.00000000000000591249
46.59999847412109370000	0.00000000000000053750
46.50000000000000000000	0.00000000000000644999
46.40000152587890620000	0.00000000000000322499
46.29999923706054680000	0.00000000000000429999
46.20000076293945310000	0.00000000000000429999
46.09999847412109370000	0.00000000000000537499
46.00000000000000000000	0.00000000000000698748
45.90000152587890620000	0.00000000000000806248
45.79999923706054680000	0.00000000000000591249
45.70000076293945310000	0.00000000000000859998
45.59999847412109370000	0.00000000000000752498
45.50000000000000000000	0.00000000000000537499
45.40000152587890620000	0.00000000000000214999
45.29999923706054680000	0.00000000000000859998
45.20000076293945310000	0.00000000000000859998
45.09999847412109370000	0.00000000000000268749
45.00000000000000000000	0.00000000000000322499
44.90000152587890620000	0.00000000000000322499
