ASCII SAMPLE CYCLES :			primary desorption, grid opaque.mdc
DATE :	10/10/2022	TIME :	09:57:53 pm
CONVERTED CYCLES :			363
Number of stored cycles			363
Printed start cycle			1
Printed end cycle			363
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	5.41951E-011	max:	4.29319E-010	
'0/1'	12.00	min:	3.12211E-012	max:	2.99482E-011	
'0/2'	14.00	min:	8.42336E-013	max:	1.54614E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/3'	15.00	min:	8.04134E-013	max:	3.58094E-011	
'0/4'	16.00	min:	7.93774E-012	max:	5.77613E-011	ABS A AND B	T_min:	5E-007	
'0/5'	18.00	min:	7.90488E-011	max:	1.15856E-010	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/6'	28.00	min:	1.16996E-011	max:	1.39434E-010	ABS A AND B	T_min:	5E-007	
'0/7'	32.00	min:	3.52664E-013	max:	5.90086E-013	ABS A	T_min:	5E-007	
'0/8'	40.00	min:	3.72538E-013	max:	1.82801E-012	ABS B	T_min:	5E-007	
'0/9'	44.00	min:	6.45608E-012	max:	4.24035E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	Threshold	'0/3'	'0/4'	Threshold	'0/5'	Threshold	'0/6'	Threshold	'0/7'	Threshold	'0/8'	Threshold	'0/9'	Threshold	
1	10/10/2022	09:57:53:00 pm	0	5.46081E-011	3.1846E-012	9.15001E-013	HL	8.30085E-013	8.26178E-012	L	7.99467E-011	HL	1.18347E-011	L	3.76742E-013	H	3.9162E-013	L	6.49788E-012	HL	
2	10/10/2022	09:58:04:51 pm	11.517	5.46085E-011	3.27177E-012	9.20261E-013	HL	8.39365E-013	8.36675E-012	L	7.96561E-011	HL	1.18693E-011	L	3.89545E-013	H	3.85909E-013	L	6.6132E-012	HL	
3	10/10/2022	09:58:15:96 pm	22.965	5.41951E-011	3.21719E-012	8.59587E-013	HL	8.12989E-013	8.33489E-012	L	7.96201E-011	HL	1.17354E-011	L	3.75068E-013	H	3.91624E-013	L	6.45608E-012	HL	
4	10/10/2022	09:58:27:41 pm	34.413	5.44941E-011	3.15794E-012	8.88846E-013	HL	8.5886E-013	8.51744E-012	L	8.01643E-011	HL	1.16996E-011	L	3.80228E-013	H	3.77253E-013	L	6.51925E-012	HL	
5	10/10/2022	09:58:38:87 pm	45.871	5.49889E-011	3.12211E-012	8.81207E-013	HL	8.73291E-013	8.14489E-012	L	7.96183E-011	HL	1.18245E-011	L	3.67476E-013	H	3.83262E-013	L	6.56066E-012	HL	
6	10/10/2022	09:58:50:31 pm	57.319	5.46349E-011	3.26415E-012	8.51253E-013	HL	8.18409E-013	8.44954E-012	L	7.99257E-011	HL	1.2493E-011	L	3.56141E-013	H	3.86972E-013	L	6.48758E-012	HL	
7	10/10/2022	09:59:01:76 pm	68.766	5.49289E-011	3.22443E-012	9.26197E-013	HL	8.66753E-013	8.1719E-012	L	8.00502E-011	HL	1.19546E-011	L	3.63385E-013	H	3.80449E-013	L	6.5095E-012	HL	
8	10/10/2022	09:59:13:18 pm	80.185	5.51914E-011	3.17205E-012	8.4497E-013	HL	9.14185E-013	7.93774E-012	L	7.99786E-011	HL	1.20018E-011	L	3.72167E-013	H	3.75955E-013	L	6.61584E-012	HL	
9	10/10/2022	09:59:24:66 pm	91.661	5.45448E-011	3.22178E-012	8.44703E-013	HL	8.4082E-013	9.39826E-012	L	8.10311E-011	HL	1.19692E-011	L	3.86415E-013	H	3.96118E-013	L	6.46219E-012	HL	
10	10/10/2022	09:59:36:13 pm	103.139	5.44014E-011	3.15523E-012	8.42336E-013	HL	8.08452E-013	8.07421E-012	L	7.99787E-011	HL	1.18508E-011	L	3.82809E-013	H	3.77593E-013	L	6.54368E-012	HL	
11	10/10/2022	09:59:47:67 pm	114.678	5.50352E-011	3.14408E-012	8.50178E-013	HL	8.41451E-013	8.29567E-012	L	8.02067E-011	HL	1.17637E-011	L	3.79449E-013	H	3.95683E-013	L	6.47876E-012	HL	
12	10/10/2022	09:59:59:12 pm	126.125	5.53234E-011	3.32188E-012	8.79355E-013	HL	8.04134E-013	8.05656E-012	L	8.03937E-011	HL	1.20656E-011	L	3.81853E-013	H	3.77423E-013	L	6.60021E-012	HL	
13	10/10/2022	10:00:10:64 pm	137.642	5.45518E-011	3.13483E-012	8.69849E-013	HL	8.28939E-013	8.20053E-012	L	8.03624E-011	HL	1.19247E-011	L	3.69222E-013	H	3.72538E-013	L	6.62836E-012	HL	
14	10/10/2022	10:00:22:12 pm	149.121	5.49875E-011	3.16993E-012	8.84859E-013	HL	8.65854E-013	8.16022E-012	L	8.02722E-011	HL	1.20432E-011	L	3.8284E-013	H	3.92585E-013	L	6.73355E-012	HL	
15	10/10/2022	10:00:33:58 pm	160.588	5.42121E-011	3.24153E-012	8.62671E-013	HL	8.18135E-013	8.18205E-012	L	8.0114E-011	HL	1.20594E-011	L	3.7014E-013	H	3.82203E-013	L	6.55459E-012	HL	
16	10/10/2022	10:00:45:01 pm	172.016	5.49392E-011	3.28163E-012	1.53587E-012	HL	5.88248E-012	3.35147E-011	L	1.07231E-010	HL	1.02861E-010	L	5.42666E-013	H	1.64476E-012	L	4.24035E-011	HL	
17	10/10/2022	10:00:56:43 pm	183.434	3.6521E-010	2.5551E-011	1.15608E-011	HL	2.43651E-011	4.52398E-011	L	1.10485E-010	HL	1.06546E-010	L	5.59085E-013	H	1.57511E-012	L	4.04738E-011	HL	
18	10/10/2022	10:01:07:70 pm	194.701	3.54337E-010	2.49616E-011	1.15608E-011	HL	2.53183E-011	4.60924E-011	L	1.11117E-010	HL	1.06567E-010	L	4.98473E-013	H	1.53339E-012	L	3.9514E-011	HL	
19	10/10/2022	10:01:18:83 pm	205.839	3.56002E-010	2.48484E-011	1.20864E-011	HL	2.63076E-011	4.71486E-011	L	1.11267E-010	HL	1.08008E-010	L	5.35554E-013	H	1.54652E-012	L	3.92009E-011	HL	
20	10/10/2022	10:01:30:04 pm	217.048	3.61273E-010	2.50908E-011	1.23097E-011	HL	2.75153E-011	4.79671E-011	L	1.11115E-010	HL	1.1031E-010	L	5.37191E-013	H	1.55401E-012	L	3.87924E-011	HL	
21	10/10/2022	10:01:41:18 pm	228.185	3.67894E-010	2.55097E-011	1.27809E-011	HL	2.82285E-011	4.91076E-011	L	1.1165E-010	HL	1.11991E-010	L	5.57881E-013	H	1.57008E-012	L	3.90991E-011	HL	
22	10/10/2022	10:01:52:19 pm	239.193	3.75101E-010	2.57692E-011	1.29607E-011	HL	2.90527E-011	5.049E-011	L	1.11246E-010	HL	1.14386E-010	L	5.40617E-013	H	1.63048E-012	L	3.87965E-011	HL	
23	10/10/2022	10:02:03:27 pm	250.271	3.81651E-010	2.61398E-011	1.3339E-011	HL	2.99645E-011	5.10362E-011	L	1.1178E-010	HL	1.15953E-010	L	5.56492E-013	H	1.67952E-012	L	3.8977E-011	HL	
