ASCII SCAN ANALOG DATA:			complete desorption measurement_em on_grid on.sac
DATE:	12/10/2022	TIME:	15:08:23 pm
Number of stored SCA cycles			30
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  0.00
Scan Width	50
Values/Mass	32
Zoom Start	  0.00
Zoom End	 50.00
Cycle	CycleDate	CycleTime	
1	12/10/2022	15:08:23:39 pm
ScanData	1
   0.00	4.58903E-013
   0.03	4.08686E-013
   0.06	5.73386E-013
   0.09	4.32808E-013
   0.13	5.04922E-013
   0.16	7.95629E-013
   0.19	3.56023E-013
   0.22	5.97244E-013
   0.25	4.7631E-013
   0.28	1.57912E-012
   0.31	3.37449E-013
   0.34	5.06978E-013
   0.38	4.48154E-013
   0.41	1.16356E-012
   0.44	3.43477E-013
   0.47	9.02188E-013
   0.50	3.5263E-013
   0.53	3.47403E-013
   0.56	3.35891E-013
   0.59	8.0694E-013
   0.63	3.73668E-013
   0.66	3.72549E-013
   0.69	5.73035E-013
   0.72	5.44107E-013
   0.75	5.80217E-013
   0.78	6.89627E-013
   0.81	1.37544E-012
   0.84	1.52205E-012
   0.88	1.70035E-012
   0.91	3.10134E-012
   0.94	6.6105E-012
   0.97	1.43644E-011
   1.00	2.4024E-011
   1.03	2.9296E-011
   1.06	3.66922E-011
   1.09	4.47336E-011
   1.13	5.15905E-011
   1.16	5.77633E-011
   1.19	5.75687E-011
   1.22	6.80523E-011
   1.25	6.88741E-011
   1.28	7.08498E-011
   1.31	6.80207E-011
   1.34	6.09294E-011
   1.38	4.53954E-011
   1.41	4.74053E-011
   1.44	3.49297E-011
   1.47	2.59207E-011
   1.50	1.50782E-011
   1.53	1.4309E-011
   1.56	1.84448E-011
   1.59	2.17428E-011
   1.63	2.79648E-011
   1.66	3.12997E-011
   1.69	3.89284E-011
   1.72	4.65413E-011
   1.75	6.49808E-011
   1.78	8.54697E-011
   1.81	1.10666E-010
   1.84	1.36452E-010
   1.88	1.72436E-010
   1.91	2.16374E-010
   1.94	2.4672E-010
   1.97	2.9872E-010
   2.00	3.3091E-010
   2.03	3.72162E-010
   2.06	3.91339E-010
   2.09	3.95237E-010
